id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_pepper_02_1,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_1,True,Hospital,1,1,1.0,bgm_story_orangepop,,,mary,1,idle,
d_nikke_pepper_02_2,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_2,True,,1,XS_10,1.0,,,,,1,idle,
d_nikke_pepper_02_3,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_3,False,,XS_10,XS_10,1.0,,,,,1,idle,
d_nikke_pepper_02_4,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_4,True,,XS_10,XS_10,1.0,,,,,1,idle,
d_nikke_pepper_02_5,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_5,True,,XS_10,XS_10,1.0,,,,,1,idle,
d_nikke_pepper_02_6,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_6,False,,XS_10,XS_10,1.0,,,,,1,idle,
d_nikke_pepper_02_7,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_7,True,,XS_10,XS_10,1.0,,,,,1,idle,
d_nikke_pepper_02_8,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_8,True,,XS_10,XS_100,1.0,,,,,1,idle,
d_nikke_pepper_02_9,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_9,True,,XS_100,XS_100,1.0,,,,,1,idle,
d_nikke_pepper_02_10,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_10,True,,XS_100,XS_100,1.0,,,,,1,idle,
d_nikke_pepper_02_11,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_11,True,,XS_100,XS_100,1.0,,,,,1,idle,
d_nikke_pepper_02_12,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_12,False,,XS_100,XS_100,1.0,,,,,1,idle,
d_nikke_pepper_02_13,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_13,True,,XS_100,XS_10,0.5,,,,,1,idle,
d_nikke_pepper_02_14,d_nikke_pepper_02,Self,,,Locale_NikkeEpisode:d_nikke_pepper_02_14,False,,XS_10,XS_10,1.0,,,,,1,idle,
d_nikke_pepper_02_15,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_15,True,,XS_10,XS_10,1.0,,,,,1,worry,
d_nikke_pepper_02_16,d_nikke_pepper_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_pepper_02_16,True,,XS_10,XS_10,1.0,,,,,1,worry,
