id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,jump_target,fade,set_filter_01
d_nikke_bready_04_1,d_nikke_bready_04,Narration,bready,Locale_NikkeEpisode:d_nikke_bready_04_1,False,CommanderRoom_n,1,1,1.0,sfx_scn_knock,bgm_story_languor,,,,,,,
d_nikke_bready_04_2,d_nikke_bready_04,Self,bready,Locale_NikkeEpisode:d_nikke_bready_04_2,False,,1,1,1.0,,,,,,,,,
d_nikke_bready_04_3,d_nikke_bready_04,Narration,bready,Locale_NikkeEpisode:d_nikke_bready_04_3,False,,1,S_10,1.3,sfx_scn_autodooropen,,bready,1,idle,,,,
d_nikke_bready_04_4,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_4,True,,S_10,S_10,1.0,,,,1,idle,bready,,,
d_nikke_bready_04_5,d_nikke_bready_04,Self,bready,Locale_NikkeEpisode:d_nikke_bready_04_5,False,,S_10,S_10,1.0,,,,1,idle,,,,
d_nikke_bready_04_6,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_6,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_7,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_7,True,,S_10,S_100,1.3,,,,1,no,bready,,,
d_nikke_bready_04_8,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_8,True,,S_100,S_100,1.0,,,,1,no,bready,,,
d_nikke_bready_04_9,d_nikke_bready_04,Self,bready,Locale_NikkeEpisode:d_nikke_bready_04_9,False,,S_100,S_100,1.0,,,,1,no,,,,
d_nikke_bready_04_10,d_nikke_bready_04,Self,bready,Locale_NikkeEpisode:d_nikke_bready_04_10,False,,S_100,S_100,1.0,,,,1,no,,,,
d_nikke_bready_04_11,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_11,False,,S_100,S_10,1.3,,,,1,no,bready,,,
d_nikke_bready_04_12,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_12,True,,S_10,S_10,1.0,,,,1,sad,bready,,,
d_nikke_bready_04_13,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_13,True,,S_10,S_10,1.0,,,,1,sad,bready,,,
d_nikke_bready_04_14,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_14,True,,S_10,S_10,1.0,,,,1,sad,bready,,,
d_nikke_bready_04_15,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_15,True,,S_10,S_10,1.0,,,,1,sad,bready,,,
d_nikke_bready_04_16,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_16,True,,S_10,S_10,1.0,,,,1,sad,bready,,,
d_nikke_bready_04_17,d_nikke_bready_04,Self,bready,Locale_NikkeEpisode:d_nikke_bready_04_17,False,,S_10,S_10,1.0,,,,1,sad,,,,
d_nikke_bready_04_18,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_18,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_19,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_19,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_20,d_nikke_bready_04,Self,bready,Locale_NikkeEpisode:d_nikke_bready_04_20,False,,S_10,S_10,1.0,,,,1,no,,,,
d_nikke_bready_04_21,d_nikke_bready_04,Choice,bready,Locale_NikkeEpisode:d_nikke_bready_04_21,False,,S_10,S_10,1.0,,,,1,no,,d_nikke_bready_04_23,,
d_nikke_bready_04_22,d_nikke_bready_04,Choice,bready,Locale_NikkeEpisode:d_nikke_bready_04_22,False,,S_10,S_10,1.0,,,,1,no,,d_nikke_bready_04_27,,
d_nikke_bready_04_23,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_23,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_24,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_24,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_25,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_25,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_26,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_26,True,,S_10,S_10,1.0,,,,1,no,bready,d_nikke_bready_04_31,,
d_nikke_bready_04_27,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_27,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_28,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_28,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_29,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_29,True,,S_10,S_10,1.0,,,,1,no,bready,,,
d_nikke_bready_04_30,d_nikke_bready_04,Speech,bready,Locale_NikkeEpisode:d_nikke_bready_04_30,True,,S_10,S_10,1.0,,,,1,no,bready,d_nikke_bready_04_31,,
