id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_filter_01,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_anis_04_1,d_nikke_anis_04,Speech,announcement,announcement,Locale_NikkeEpisode:d_nikke_anis_04_1,True,ElevatorOut,1,10,2.0,bgm_story_fairytalesend_if,,,,,,,,,,,
d_nikke_anis_04_2,d_nikke_anis_04,Speech,announcement,announcement,Locale_NikkeEpisode:d_nikke_anis_04_2,True,,10,10,1.0,,,,,,,,,,,,
d_nikke_anis_04_3,d_nikke_anis_04,Speech,announcement,announcement,Locale_NikkeEpisode:d_nikke_anis_04_3,True,,10,10,1.0,,,,,,,,,,,,
d_nikke_anis_04_4,d_nikke_anis_04,Narration,,Narration,Locale_NikkeEpisode:d_nikke_anis_04_4,False,,black,black,1.0,,sfx_scn_heavydoordrag,,,,,,,,,,
d_nikke_anis_04_5,d_nikke_anis_04,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_anis_04_5,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_anis_04_6,d_nikke_anis_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_04_6,True,,1,1,1.0,,,anis,1,worry,,,,,,,
d_nikke_anis_04_7,d_nikke_anis_04,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_04_7,False,,1,1,1.0,,,,1,worry,,,,,,,
d_nikke_anis_04_8,d_nikke_anis_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_04_8,True,,1,1,1.0,,,,1,worry,,,,,,,
d_nikke_anis_04_9,d_nikke_anis_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_04_9,True,,1,1,1.0,,,,1,worry,,,,,,,
d_nikke_anis_04_10,d_nikke_anis_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_04_10,True,,1,1,1.0,,,,1,worry,,,,,,,
d_nikke_anis_04_11,d_nikke_anis_04,Narration,anis,Narration,Locale_NikkeEpisode:d_nikke_anis_04_11,False,ShoppingMall,1,1,1.0,none,,,1,void,anis,Grey,black,,,,
d_nikke_anis_04_12,d_nikke_anis_04,Self,anis,Self,Locale_NikkeEpisode:d_nikke_anis_04_12,False,,1,1,1.0,bgm_story_leisuretime,,anis,1,worry,,Grey,,,,,
d_nikke_anis_04_13,d_nikke_anis_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_anis_04_13,True,,1,1,1.0,,,,1,worry,,Grey,,,,,
