id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,jump_target,set_filter_01,conversation_id
d_nikke_crow_02_1,d_nikke_crow_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_crow_02_1,False,CommanderRoom_n,4,1,2.0,bgm_enemyclose,,,,,,,,,,,,,,,
d_nikke_crow_02_2,d_nikke_crow_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crow_02_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_crow_02_3,d_nikke_crow_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_crow_02_3,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_crow_02_4,d_nikke_crow_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crow_02_4,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_crow_02_5,d_nikke_crow_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_crow_02_5,False,City,14,14,1.0,,sfx_scn_gunfire,Low_2,black,,,,,,,,,,,,
d_nikke_crow_02_6,d_nikke_crow_02,Speech,outlaw,Locale_NikkeEpisode:d_nikke_crow_02_6,True,,14,14,1.0,,,,,outlaw,outlaw,14,idle,,,,,,,,
d_nikke_crow_02_7,d_nikke_crow_02,Speech,outlaw,Locale_NikkeEpisode:d_nikke_crow_02_7,True,,14,14,1.0,,,,,outlaw,,14,idle,,,,,,,,
d_nikke_crow_02_8,d_nikke_crow_02,Speech,youngwoman,Locale_NikkeEpisode:d_nikke_crow_02_8,True,,black,black,1.0,,sfx_scn_gunfire,,,youngwoman,,14,idle,,,,,,,,
d_nikke_crow_02_9,d_nikke_crow_02,Speech,oldman,Locale_NikkeEpisode:d_nikke_crow_02_9,True,,black,black,1.0,,sfx_scn_run,,,oldman,,14,idle,,,,,,,,
d_nikke_crow_02_10,d_nikke_crow_02,Speech,outlaw,Locale_NikkeEpisode:d_nikke_crow_02_10,True,,14,14,1.0,,,,,outlaw,,14,idle,,,,,,,,
d_nikke_crow_02_11,d_nikke_crow_02,Speech,outlaw,Locale_NikkeEpisode:d_nikke_crow_02_11,True,,14,L_140,1.5,,,,,outlaw,,14,idle,,,,,,,,
d_nikke_crow_02_12,d_nikke_crow_02,Speech,outlaw,Locale_NikkeEpisode:d_nikke_crow_02_12,True,,L_140,L_1400,1.5,,,,,outlaw,,14,idle,crow,1,idle,,,,,
d_nikke_crow_02_13,d_nikke_crow_02,Speech,youngwoman,Locale_NikkeEpisode:d_nikke_crow_02_13,False,,L_1400,1,0.5,,,,,crow,,14,idle,,1,idle,,,,,
d_nikke_crow_02_14,d_nikke_crow_02,Speech,oldman,Locale_NikkeEpisode:d_nikke_crow_02_14,False,,1,1,1.0,,,,,crow,,14,idle,,1,idle,,,,,
d_nikke_crow_02_15,d_nikke_crow_02,Speech,oldman,Locale_NikkeEpisode:d_nikke_crow_02_15,False,,1,1,1.0,,,,,crow,,14,idle,,1,idle,,,,,
d_nikke_crow_02_16,d_nikke_crow_02,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_02_16,False,,1,10,2.0,,,,,crow,,14,idle,,1,idle,,,,,
d_nikke_crow_02_17,d_nikke_crow_02,Speech,youngwoman,Locale_NikkeEpisode:d_nikke_crow_02_17,False,,10,10,2.0,,,,,crow,,14,idle,,1,idle,,,,,
d_nikke_crow_02_18,d_nikke_crow_02,Speech,youngwoman,Locale_NikkeEpisode:d_nikke_crow_02_18,False,,10,10,1.0,,,,,crow,,14,idle,,1,idle,,,,,
