id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_maxwell_05_1,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_1,True,Office,3,S_30,0.5,bgm_story_epicjazzymoods,,,,maxwell,1,idle,,syuen,3,angry,
d_nikke_maxwell_05_2,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_2,True,,S_30,S_30,1.0,,,,,,1,idle,,,3,angry,
d_nikke_maxwell_05_3,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_3,True,,S_30,S_30,1.0,,,,,,1,idle,,,3,angry,
d_nikke_maxwell_05_4,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_4,True,,10,10,1.0,,,,,,1,delight,,,3,angry,
d_nikke_maxwell_05_5,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_5,True,,10,2,1.0,,,,,,1,idle,,,3,think,
d_nikke_maxwell_05_6,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_6,True,,2,2,1.0,,,,,,1,idle,,,3,think,
d_nikke_maxwell_05_7,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_7,False,,2,2,1.0,,,,,,1,idle,,,3,think,
d_nikke_maxwell_05_8,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_8,True,,2,10,2.0,,,,,,1,idle,,,3,think,
d_nikke_maxwell_05_9,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_9,True,,10,10,1.0,,,,,,1,idle,,,3,think,
d_nikke_maxwell_05_10,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_10,True,,S_30,S_30,1.0,,,,,,1,idle,,,3,surprise,
d_nikke_maxwell_05_11,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_11,True,,10,10,1.0,,,,,,1,delight,,,3,surprise,
d_nikke_maxwell_05_12,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_12,True,,black,black,0.5,none,,,,,1,idle,,,3,surprise,
d_nikke_maxwell_05_13,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_13,True,,S_30,S_300,2.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_14,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_14,True,,S_300,S_300,1.0,bgm_recognition_underworld,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_15,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_15,True,,S_300,S_300,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_16,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_16,True,,S_300,S_300,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_17,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_17,True,,S_300,S_300,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_18,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_18,True,,S_300,S_300,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_19,d_nikke_maxwell_05,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_05_19,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_maxwell_05_20,d_nikke_maxwell_05,Speech,syuen,syuen,Locale_NikkeEpisode:d_nikke_maxwell_05_20,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
