id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,fade
d_nikke_mihara_bondingchain_05_1,d_nikke_mihara_bondingchain_05,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_1,True,mihara_b,1,pain,littlemermaid,3,idle,TreeOfWater,300,30,1.0,bgm_frostpillar,,
d_nikke_mihara_bondingchain_05_2,d_nikke_mihara_bondingchain_05,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_2,True,,1,pain,,3,idle,,30,30,1.0,,,
d_nikke_mihara_bondingchain_05_3,d_nikke_mihara_bondingchain_05,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_3,True,,1,pain,,3,idle,,30,31,1.0,,,
d_nikke_mihara_bondingchain_05_4,d_nikke_mihara_bondingchain_05,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_4,True,,1,pain,,3,idle,,31,31,1.0,,,
d_nikke_mihara_bondingchain_05_5,d_nikke_mihara_bondingchain_05,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_5,True,,1,idle,,3,idle,,31,31,1.0,,,
d_nikke_mihara_bondingchain_05_6,d_nikke_mihara_bondingchain_05,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_6,True,,1,idle,,3,idle,,31,31,1.0,,,
d_nikke_mihara_bondingchain_05_7,d_nikke_mihara_bondingchain_05,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_7,True,,1,idle,,3,idle,,31,31,1.0,,,
d_nikke_mihara_bondingchain_05_8,d_nikke_mihara_bondingchain_05,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_8,True,,1,idle,,3,idle,,31,31,1.0,,,
d_nikke_mihara_bondingchain_05_9,d_nikke_mihara_bondingchain_05,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_9,True,,1,idle,,3,idle,,31,10,1.0,,,
d_nikke_mihara_bondingchain_05_10,d_nikke_mihara_bondingchain_05,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_05_10,True,,1,idle,,3,idle,,L_30,L_30,1.0,,,
