id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_trony_04_1,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_1,True,Park,1,1,1.0,bgm_story_backtonormal,,trony,1,sad,,,
d_nikke_trony_04_2,d_nikke_trony_04,Self,,,Locale_NikkeEpisode:d_nikke_trony_04_2,False,,1,1,1.0,,,,1,sad,,,
d_nikke_trony_04_3,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_3,True,,1,1,1.0,,,,1,think,,,
d_nikke_trony_04_4,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_4,True,,1,10,0.7,,,,1,no,,,
d_nikke_trony_04_5,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_5,True,,10,10,1.0,,,,1,no,,,
d_nikke_trony_04_6,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_6,True,,10,10,1.0,,,,1,no,,,
d_nikke_trony_04_7,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_7,True,,10,100,0.7,,,,1,shy,,,
d_nikke_trony_04_8,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_8,True,,100,100,1.0,,,,1,shy,,,
d_nikke_trony_04_9,d_nikke_trony_04,Self,,,Locale_NikkeEpisode:d_nikke_trony_04_9,False,,100,100,1.0,,,,1,shy,,,
d_nikke_trony_04_10,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_10,True,,100,10,1.0,,,,1,no,,,
d_nikke_trony_04_11,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_11,True,,10,10,1.0,,,,1,no,,,
d_nikke_trony_04_12,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_12,True,,10,10,1.0,,,,1,no,,,
d_nikke_trony_04_13,d_nikke_trony_04,Self,,,Locale_NikkeEpisode:d_nikke_trony_04_13,False,,10,10,1.0,,,,1,no,,,
d_nikke_trony_04_14,d_nikke_trony_04,Monologue,,,Locale_NikkeEpisode:d_nikke_trony_04_14,False,,10,10,1.0,,,,1,no,,,
d_nikke_trony_04_15,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_15,True,,10,10,1.0,,,,1,no,,,
d_nikke_trony_04_16,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_16,True,,10,10,1.0,,,,1,no,,,
d_nikke_trony_04_17,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_17,True,,10,10,1.0,,,,1,delight,,,
d_nikke_trony_04_18,d_nikke_trony_04,Monologue,,,Locale_NikkeEpisode:d_nikke_trony_04_18,False,,10,10,1.0,,,,1,delight,,,
d_nikke_trony_04_19,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_19,True,,13,S_1300,0.7,none,,,1,idle,laplace,13,delight
d_nikke_trony_04_20,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_20,True,,S_1300,S_1300,1.0,,,,1,idle,,13,delight
d_nikke_trony_04_21,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_21,True,,S_1300,10,1.0,bgm_story_kneeldownfools,,,1,idle,,13,delight
d_nikke_trony_04_22,d_nikke_trony_04,Monologue,trony,,Locale_NikkeEpisode:d_nikke_trony_04_22,False,,10,18,1.7,,,,1,idle,,13,delight
d_nikke_trony_04_23,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_23,True,,18,10,1.7,,,,1,think,,13,delight
d_nikke_trony_04_24,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_24,True,,10,10,1.0,,,,1,think,,13,delight
d_nikke_trony_04_25,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_25,True,,10,10,1.0,,,,1,idle,,13,delight
d_nikke_trony_04_26,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_26,True,,10,12,1.0,,,,1,idle,,13,think
d_nikke_trony_04_27,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_27,True,,12,12,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_28,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_28,True,,12,12,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_29,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_29,True,,12,12,1.0,,,,1,think,,13,idle
d_nikke_trony_04_30,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_30,True,,12,12,1.0,,,,1,think,,13,idle
d_nikke_trony_04_31,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_31,True,,12,12,1.0,,,,1,think,,13,idle
d_nikke_trony_04_32,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_32,True,,12,12,1.0,,,,1,think,,13,idle
d_nikke_trony_04_33,d_nikke_trony_04,Monologue,,,Locale_NikkeEpisode:d_nikke_trony_04_33,False,,black,black,1.0,,,,1,think,,13,idle
d_nikke_trony_04_34,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_34,True,,S_130,S_130,1.0,,,,1,no,,13,idle
d_nikke_trony_04_35,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_35,True,,S_130,S_130,1.0,,,,1,no,,13,idle
d_nikke_trony_04_36,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_36,True,,S_130,10,1.0,,,,1,shy,,13,idle
d_nikke_trony_04_37,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_37,True,,10,12,1.0,,,,1,shy,,13,idle
d_nikke_trony_04_38,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_38,True,,12,12,1.0,,,,1,shy,,13,idle
d_nikke_trony_04_39,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_39,True,,12,12,1.0,,,,1,shy,,13,idle
d_nikke_trony_04_40,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_40,True,,12,12,1.0,,,,1,shy,,13,idle
d_nikke_trony_04_41,d_nikke_trony_04,Monologue,,,Locale_NikkeEpisode:d_nikke_trony_04_41,False,,black,black,1.0,,,,1,shy,,13,idle
d_nikke_trony_04_42,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_42,True,,12,12,1.0,,,,1,shy,,13,idle
d_nikke_trony_04_43,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_43,True,,12,12,1.0,,,,1,shy,,13,idle
d_nikke_trony_04_44,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_44,True,,12,12,1.0,,,,1,think,,13,idle
d_nikke_trony_04_45,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_45,True,,13,S_130,0.7,,,,1,think,,13,idle
d_nikke_trony_04_46,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_46,True,,S_130,S_130,1.0,,,,1,think,,13,idle
d_nikke_trony_04_47,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_47,True,,S_130,S_130,1.0,,,,1,sad,,13,idle
d_nikke_trony_04_48,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_48,True,,S_130,S_130,1.0,,,,1,sad,,13,delight
d_nikke_trony_04_49,d_nikke_trony_04,Self,laplace,,Locale_NikkeEpisode:d_nikke_trony_04_49,False,,S_130,S_130,1.0,,,,1,sad,,13,delight
d_nikke_trony_04_50,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_50,True,,S_130,S_130,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_51,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_51,True,,S_130,S_130,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_52,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_52,True,,S_130,S_130,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_53,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_53,True,,S_130,S_130,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_54,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_54,True,,S_130,12,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_55,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_55,True,,12,12,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_56,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_56,True,,12,12,1.0,,,,1,think,,13,idle
d_nikke_trony_04_57,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_57,True,,12,S_130,1.0,,,,1,think,,13,idle
d_nikke_trony_04_58,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_58,True,,S_130,S_130,1.0,,,,1,think,,13,idle
d_nikke_trony_04_59,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_59,True,,S_130,S_130,1.0,,,,1,think,,13,delight
d_nikke_trony_04_60,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_60,True,,S_130,10,1.0,,,,1,idle,,13,delight
d_nikke_trony_04_61,d_nikke_trony_04,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_04_61,True,,10,100,0.7,,,,1,idle,,13,delight
d_nikke_trony_04_62,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_62,True,,13,S_130,0.7,,,,1,idle,,13,idle
d_nikke_trony_04_63,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_63,True,,S_130,S_130,1.0,,,,1,idle,,13,idle
d_nikke_trony_04_64,d_nikke_trony_04,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_04_64,True,,S_130,S_1300,0.7,,,,1,idle,,13,idle
d_nikke_trony_04_65,d_nikke_trony_04,Monologue,,,Locale_NikkeEpisode:d_nikke_trony_04_65,False,,black,black,1.0,none,,,1,idle,,13,idle
