id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_guillotine_01_1,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_1,True,NikkeRoom,1,1,1.0,bgm_story_languor,,,,exia,1,delight,
d_nikke_guillotine_01_2,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_2,True,,1,10,0.5,,,,,,1,delight,
d_nikke_guillotine_01_3,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_3,True,,10,10,1.0,,,,,,1,delight,
d_nikke_guillotine_01_4,d_nikke_guillotine_01,Self,exia,,Locale_NikkeEpisode:d_nikke_guillotine_01_4,False,,10,10,1.0,,,,,,1,delight,
d_nikke_guillotine_01_5,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_5,True,,10,10,1.0,,,,,,1,good,
d_nikke_guillotine_01_6,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_6,True,,10,10,1.0,,,,,,1,good,
d_nikke_guillotine_01_7,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_7,True,,10,10,1.0,,,,,,1,surprise,
d_nikke_guillotine_01_8,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_8,True,,10,10,1.0,,,,,,1,surprise,
d_nikke_guillotine_01_9,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_9,True,,10,10,1.0,,,,,,1,surprise,
d_nikke_guillotine_01_10,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_10,True,,10,10,1.0,,,,,,1,surprise,
d_nikke_guillotine_01_11,d_nikke_guillotine_01,Self,exia,,Locale_NikkeEpisode:d_nikke_guillotine_01_11,False,,10,10,1.0,,,,,,1,surprise,
d_nikke_guillotine_01_12,d_nikke_guillotine_01,Narration,exia,,Locale_NikkeEpisode:d_nikke_guillotine_01_12,False,,black,black,1.0,,m_nikke_guillotine_01_01,sfx_scn_phonevibration,,,1,surprise,exia
d_nikke_guillotine_01_13,d_nikke_guillotine_01,Narration,,,Locale_NikkeEpisode:d_nikke_guillotine_01_13,False,,1,1,1.0,,,,,,,,
d_nikke_guillotine_01_14,d_nikke_guillotine_01,Narration,,,Locale_NikkeEpisode:d_nikke_guillotine_01_14,False,,1,1,1.0,,,,,,,,
d_nikke_guillotine_01_15,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_15,True,,1,1,1.0,,,,,exia,1,delight,
d_nikke_guillotine_01_16,d_nikke_guillotine_01,Choice,exia,,Locale_NikkeEpisode:d_nikke_guillotine_01_16,False,,1,1,1.0,,,,d_nikke_guillotine_01_18,,1,delight,
d_nikke_guillotine_01_17,d_nikke_guillotine_01,Choice,exia,,Locale_NikkeEpisode:d_nikke_guillotine_01_17,False,,1,1,1.0,,,,d_nikke_guillotine_01_20,,1,delight,
d_nikke_guillotine_01_18,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_18,True,,1,10,1.0,,,,,,1,delight,
d_nikke_guillotine_01_19,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_19,True,,10,10,1.0,,,,d_nikke_guillotine_01_21,,1,delight,
d_nikke_guillotine_01_20,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_20,True,,1,10,1.0,,,,d_nikke_guillotine_01_21,,1,delight,
d_nikke_guillotine_01_21,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_21,True,,10,10,1.0,,,,,,1,delight,
d_nikke_guillotine_01_22,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_22,True,,10,10,1.0,,,,,,1,delight,
d_nikke_guillotine_01_23,d_nikke_guillotine_01,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_guillotine_01_23,True,,10,10,1.0,,,,,,1,good,
d_nikke_guillotine_01_24,d_nikke_guillotine_01,Self,exia,,Locale_NikkeEpisode:d_nikke_guillotine_01_24,False,,10,10,1.0,,,,,,1,good,
d_nikke_guillotine_01_25,d_nikke_guillotine_01,Narration,,,Locale_NikkeEpisode:d_nikke_guillotine_01_25,False,,10,10,1.0,bgm_story_darklord,m_nikke_guillotine_01_02,,,,1,good,exia
