id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_camera_shake
d_nikke_vesti_02_1,d_nikke_vesti_02,Speech,cameraman,Locale_NikkeEpisode:d_nikke_vesti_02_1,True,Cafe,16,16,1.0,bgm_story_stormbreakers,,,,,,,,,,
d_nikke_vesti_02_2,d_nikke_vesti_02,Speech,cameraman,Locale_NikkeEpisode:d_nikke_vesti_02_2,True,,16,16,1.0,,,,,,,,,,,
d_nikke_vesti_02_3,d_nikke_vesti_02,Speech,glasseswoman,Locale_NikkeEpisode:d_nikke_vesti_02_3,True,,16,16,1.0,,,,,,,,,,,
d_nikke_vesti_02_4,d_nikke_vesti_02,Speech,cameraman,Locale_NikkeEpisode:d_nikke_vesti_02_4,True,,16,16,1.0,,,,,,,,,,,
d_nikke_vesti_02_5,d_nikke_vesti_02,Speech,glasseswoman,Locale_NikkeEpisode:d_nikke_vesti_02_5,True,,16,16,1.0,,,,,,,,,,,
d_nikke_vesti_02_6,d_nikke_vesti_02,Speech,glasseswoman,Locale_NikkeEpisode:d_nikke_vesti_02_6,True,,16,160,0.3,,,,,,,,,,,
d_nikke_vesti_02_7,d_nikke_vesti_02,Speech,glasseswoman,Locale_NikkeEpisode:d_nikke_vesti_02_7,True,,160,1600,0.3,,,,,,,,,,,
d_nikke_vesti_02_8,d_nikke_vesti_02,Speech,cameraman,Locale_NikkeEpisode:d_nikke_vesti_02_8,True,,1600,16,1.0,,,,,,,,,,,
d_nikke_vesti_02_9,d_nikke_vesti_02,Speech,cameraman,Locale_NikkeEpisode:d_nikke_vesti_02_9,True,,16,16,0.3,,,,,,,,,,,
d_nikke_vesti_02_10,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_10,True,,16,16,1.0,none,vesti,,,,,,,,,
d_nikke_vesti_02_11,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_11,True,,XS_100,XS_100,1.0,,vesti,vesti,1,idle,,,,,,
d_nikke_vesti_02_12,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_12,True,,XS_100,XS_100,1.0,bgm_story_leisuretime,vesti,,1,idle,,,,,,
d_nikke_vesti_02_13,d_nikke_vesti_02,Choice,,Locale_NikkeEpisode:d_nikke_vesti_02_13,False,,XS_100,XS_100,1.0,,vesti,,1,idle,d_nikke_vesti_02_15,,,,,
d_nikke_vesti_02_14,d_nikke_vesti_02,Choice,,Locale_NikkeEpisode:d_nikke_vesti_02_14,False,,XS_100,XS_100,1.0,,vesti,,1,idle,d_nikke_vesti_02_15,,,,,
d_nikke_vesti_02_15,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_15,True,,XS_100,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_16,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_16,True,,XS_10,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_17,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_17,True,,XS_10,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_18,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_18,True,,XS_10,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_19,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_19,True,,XS_10,XS_10,1.0,,vesti,,1,sad,,,,,,
d_nikke_vesti_02_20,d_nikke_vesti_02,Choice,,Locale_NikkeEpisode:d_nikke_vesti_02_20,False,,XS_10,XS_10,1.0,,vesti,,1,sad,d_nikke_vesti_02_22,,,,,
d_nikke_vesti_02_21,d_nikke_vesti_02,Choice,,Locale_NikkeEpisode:d_nikke_vesti_02_21,False,,XS_10,XS_10,1.0,,vesti,,1,sad,d_nikke_vesti_02_22,,,,,
d_nikke_vesti_02_22,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_22,True,,XS_10,XS_10,1.0,,vesti,,1,idle,,,,,,
d_nikke_vesti_02_23,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_23,True,,XS_10,31,1.0,,exia,,1,idle,,exia,3,idle,,
d_nikke_vesti_02_24,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_24,False,,31,31,1.0,,vesti,,1,idle,,,3,idle,,
d_nikke_vesti_02_25,d_nikke_vesti_02,Self,,Locale_NikkeEpisode:d_nikke_vesti_02_25,False,,31,XS_10,1.0,,vesti,,1,idle,,,3,idle,,
d_nikke_vesti_02_26,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_26,True,,XS_10,XS_100,0.5,,vesti,,1,shy,,,3,idle,,
d_nikke_vesti_02_27,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_27,False,,XS_100,S_30,1.0,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_28,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_28,True,,S_30,S_30,1.0,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_29,d_nikke_vesti_02,Self,,Locale_NikkeEpisode:d_nikke_vesti_02_29,False,,S_30,S_30,1.0,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_30,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_30,True,,S_30,S_30,1.0,,exia,,1,shy,,,3,sad,,
d_nikke_vesti_02_31,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_31,True,,S_30,S_300,0.5,,exia,,1,shy,,,3,idle,,
d_nikke_vesti_02_32,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_32,True,,S_300,31,0.5,,vesti,,1,idle,,,3,idle,,
d_nikke_vesti_02_33,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_33,True,,31,31,1.0,,exia,,1,idle,,,3,surprise,,
d_nikke_vesti_02_34,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_34,True,,31,31,1.0,,exia,,1,idle,,,3,idle,,
d_nikke_vesti_02_35,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_35,True,,31,31,1.0,,exia,,1,idle,,,3,idle,,
d_nikke_vesti_02_36,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_36,True,,31,31,1.0,,vesti,,1,idle,,,3,idle,,
d_nikke_vesti_02_37,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_37,True,,31,31,1.0,,exia,,1,idle,,,3,idle,,
d_nikke_vesti_02_38,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_38,True,,31,31,1.0,,vesti,,1,idle,,,3,idle,,
d_nikke_vesti_02_39,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_39,True,,31,31,1.0,,exia,,1,idle,,,3,idle,,
d_nikke_vesti_02_40,d_nikke_vesti_02,Speech,vesti,Locale_NikkeEpisode:d_nikke_vesti_02_40,True,,31,31,1.0,none,vesti,,1,idle,,,3,idle,,
d_nikke_vesti_02_41,d_nikke_vesti_02,Speech,exia,Locale_NikkeEpisode:d_nikke_vesti_02_41,True,,31,31,1.0,,exia,,1,idle,,,3,idle,,
