id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade
d_nikke_ludmilla_04_1,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_1,False,NikkeRoom,black,black,1.0,bgm_story_weare,,,,,,,,,,,
d_nikke_ludmilla_04_2,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_2,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_3,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_3,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_4,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_4,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_5,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_5,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_6,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_6,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_7,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_7,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_8,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_8,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_9,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_9,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_ludmilla_04_10,d_nikke_ludmilla_04,Narration,Locale_NikkeEpisode:d_nikke_ludmilla_04_10,False,,black,black,1.0,,,,,,,,,,,,
