id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker
treasurestory_exia_05_1,treasurestory_exia_05,Narration,Locale_NikkeEpisode:treasurestory_exia_05_1,False,exia,1,idle,Park_n,S_10,S_10,1.0,bgm_story_weare,,
treasurestory_exia_05_2,treasurestory_exia_05,Self,Locale_NikkeEpisode:treasurestory_exia_05_2,False,,1,idle,,S_10,S_10,1.0,,,
treasurestory_exia_05_3,treasurestory_exia_05,Speech,Locale_NikkeEpisode:treasurestory_exia_05_3,True,,1,idle,,S_10,S_10,1.0,,exia,exia
treasurestory_exia_05_4,treasurestory_exia_05,Speech,Locale_NikkeEpisode:treasurestory_exia_05_4,True,,1,idle,,S_10,S_10,1.0,,exia,exia
treasurestory_exia_05_5,treasurestory_exia_05,Self,Locale_NikkeEpisode:treasurestory_exia_05_5,False,,1,idle,,S_10,S_10,1.0,,,
treasurestory_exia_05_6,treasurestory_exia_05,Speech,Locale_NikkeEpisode:treasurestory_exia_05_6,True,,1,idle,,S_10,S_10,1.0,,exia,exia
treasurestory_exia_05_7,treasurestory_exia_05,Speech,Locale_NikkeEpisode:treasurestory_exia_05_7,True,,1,idle,,S_10,S_10,1.0,,exia,exia
treasurestory_exia_05_8,treasurestory_exia_05,Self,Locale_NikkeEpisode:treasurestory_exia_05_8,False,,1,idle,,S_10,S_10,1.0,,,
treasurestory_exia_05_9,treasurestory_exia_05,Self,Locale_NikkeEpisode:treasurestory_exia_05_9,False,,1,idle,,S_10,S_10,1.0,,,
treasurestory_exia_05_10,treasurestory_exia_05,Speech,Locale_NikkeEpisode:treasurestory_exia_05_10,False,,1,surprise,,S_10,S_10,1.0,,exia,exia
treasurestory_exia_05_11,treasurestory_exia_05,Speech,Locale_NikkeEpisode:treasurestory_exia_05_11,True,,1,idle,,S_10,S_10,1.0,,exia,exia
treasurestory_exia_05_12,treasurestory_exia_05,Self,Locale_NikkeEpisode:treasurestory_exia_05_12,False,,1,idle,,S_10,S_10,1.0,,,
treasurestory_exia_05_13,treasurestory_exia_05,Monologue,Locale_NikkeEpisode:treasurestory_exia_05_13,False,,5,idle,,black,black,1.0,,,
treasurestory_exia_05_14,treasurestory_exia_05,Speech,Locale_NikkeEpisode:treasurestory_exia_05_14,False,,5,idle,,5,5,1.0,,exia,exia
treasurestory_exia_05_15,treasurestory_exia_05,Speech,Locale_NikkeEpisode:treasurestory_exia_05_15,True,,5,idle,,5,5,1.0,,exia,exia
treasurestory_exia_05_16,treasurestory_exia_05,Monologue,Locale_NikkeEpisode:treasurestory_exia_05_16,False,,5,idle,,5,5,1.0,,,
treasurestory_exia_05_17,treasurestory_exia_05,Self,Locale_NikkeEpisode:treasurestory_exia_05_17,False,,5,idle,,5,5,1.0,,,
