id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,fade,characters/0/hide_char_id,play_sound
d_nikke_vesti_tactical_04_1,d_nikke_vesti_tactical_04,Monologue,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_1,False,ShoppingMall,XS_10,XS_10,1.0,bgm_story_cottoncandy,,,,,,,
d_nikke_vesti_tactical_04_2,d_nikke_vesti_tactical_04,Monologue,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_2,False,,XS_10,XS_10,1.0,,vesti_t,1,worry,,,,
d_nikke_vesti_tactical_04_3,d_nikke_vesti_tactical_04,Monologue,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_3,False,,XS_10,XS_10,1.0,,,1,worry,,,,
d_nikke_vesti_tactical_04_4,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_4,True,,XS_10,XS_10,1.0,,,1,worry,vesti_t,,,
d_nikke_vesti_tactical_04_5,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_5,True,,XS_10,XS_10,1.0,,,1,worry,vesti_t,,,
d_nikke_vesti_tactical_04_6,d_nikke_vesti_tactical_04,Self,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_6,False,,XS_10,XS_10,1.0,,,1,worry,,,,
d_nikke_vesti_tactical_04_7,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_7,True,,XS_10,XS_10,1.0,,,1,idle,vesti_t,,,
d_nikke_vesti_tactical_04_8,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_8,False,,XS_10,XS_10,1.0,,,1,worry,vesti_t,,,
d_nikke_vesti_tactical_04_9,d_nikke_vesti_tactical_04,Self,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_9,False,,XS_10,XS_10,1.0,,,1,worry,,,,
d_nikke_vesti_tactical_04_10,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_10,True,,XS_10,XS_10,1.0,,,1,worry,vesti_t,,,
d_nikke_vesti_tactical_04_11,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_11,True,,XS_10,XS_100,1.5,,,1,idle,vesti_t,,,
d_nikke_vesti_tactical_04_12,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_12,True,,XS_100,XS_100,1.0,,,1,idle,vesti_t,,,
d_nikke_vesti_tactical_04_13,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_13,True,,XS_100,XS_100,1.0,,,1,worry,vesti_t,,,
d_nikke_vesti_tactical_04_14,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_14,True,,XS_100,XS_100,1.0,,,1,worry,vesti_t,,,
d_nikke_vesti_tactical_04_15,d_nikke_vesti_tactical_04,Self,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_15,False,,XS_100,XS_100,1.0,,,1,worry,,,,
d_nikke_vesti_tactical_04_16,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_16,True,,XS_100,XS_100,1.0,,,1,idle,vesti_t,,,
d_nikke_vesti_tactical_04_17,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_17,True,,XS_100,XS_100,1.0,,,1,idle,vesti_t,,,
d_nikke_vesti_tactical_04_18,d_nikke_vesti_tactical_04,Speech,vesti_t,Locale_NikkeEpisode:d_nikke_vesti_tactical_04_18,True,,XS_100,XS_100,1.0,,,1,idle,vesti_t,,,
