id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_nikke_anchor_01_1,d_nikke_anchor_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_anchor_01_1,False,CommanderRoom,1,1,1.0,sfx_scn_knock,bgm_story_orangepop,,,,,,,,,,
d_nikke_anchor_01_2,d_nikke_anchor_01,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_01_2,False,,1,1,1.0,,,,,,,,,,,,
d_nikke_anchor_01_3,d_nikke_anchor_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_anchor_01_3,False,,black,black,1.0,sfx_scn_autodooropen,,,,,,,,,,,
d_nikke_anchor_01_4,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_4,True,,1,1,1.0,,,helm,helm,1,surprise,,,,,,
d_nikke_anchor_01_5,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_5,True,,1,1,1.0,,,helm,,1,surprise,,,,,,
d_nikke_anchor_01_6,d_nikke_anchor_01,Choice,,Locale_NikkeEpisode:d_nikke_anchor_01_6,False,,1,1,1.0,,,,,1,surprise,d_nikke_anchor_01_8,,,,,
d_nikke_anchor_01_7,d_nikke_anchor_01,Choice,,Locale_NikkeEpisode:d_nikke_anchor_01_7,False,,1,1,1.0,,,,,1,surprise,d_nikke_anchor_01_14,,,,,
d_nikke_anchor_01_8,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_8,True,,1,1,1.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_9,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_9,True,,1,1,1.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_10,d_nikke_anchor_01,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_01_10,False,,1,1,1.0,,,,,1,idle,,,,,,
d_nikke_anchor_01_11,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_11,False,,1,10,2.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_12,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_12,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_13,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_13,True,,10,10,1.0,,,helm,,1,no,d_nikke_anchor_01_17,,,,,
d_nikke_anchor_01_14,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_14,True,,1,1,1.0,,,helm,,1,delight,,,,,,
d_nikke_anchor_01_15,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_15,True,,1,1,1.0,,,helm,,1,delight,,,,,,
d_nikke_anchor_01_16,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_16,True,,1,10,2.0,,,helm,,1,delight,,,,,,
d_nikke_anchor_01_17,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_17,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_18,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_18,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_19,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_19,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_20,d_nikke_anchor_01,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_01_20,False,,10,10,1.0,,,,,1,no,,,,,,
d_nikke_anchor_01_21,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_21,False,,10,100,2.0,,,helm,,1,surprise,,,,,,
d_nikke_anchor_01_22,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_22,True,,100,100,1.0,,,helm,,1,shy,,,,,,
d_nikke_anchor_01_23,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_23,True,,100,100,1.0,,,helm,,1,shy,,,,,,
d_nikke_anchor_01_24,d_nikke_anchor_01,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_01_24,False,,100,100,1.0,,,,,1,shy,,,,,,
d_nikke_anchor_01_25,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_25,True,,100,100,1.0,,,helm,,1,angry,,,,,,
d_nikke_anchor_01_26,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_26,True,,100,100,1.0,,,helm,,1,angry,,,,,,
d_nikke_anchor_01_27,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_27,True,,100,100,1.0,,,helm,,1,angry,,,,,,
d_nikke_anchor_01_28,d_nikke_anchor_01,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_01_28,False,,100,100,1.0,,,,,1,angry,,,,,,
d_nikke_anchor_01_29,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_29,True,,100,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_30,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_30,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_31,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_31,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_32,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_32,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_33,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_33,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_34,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_34,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_35,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_35,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_36,d_nikke_anchor_01,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_01_36,False,,10,10,1.0,,,,,1,no,,,,,,
d_nikke_anchor_01_37,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_37,True,,10,10,1.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_38,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_38,True,,10,10,1.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_39,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_39,True,,10,10,1.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_40,d_nikke_anchor_01,Choice,,Locale_NikkeEpisode:d_nikke_anchor_01_40,False,,10,10,1.0,,,,,1,idle,d_nikke_anchor_01_42,,,,,
d_nikke_anchor_01_41,d_nikke_anchor_01,Choice,,Locale_NikkeEpisode:d_nikke_anchor_01_41,False,,10,10,1.0,,,,,1,idle,d_nikke_anchor_01_49,,,,,
d_nikke_anchor_01_42,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_42,True,,10,10,1.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_43,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_43,True,,10,10,1.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_44,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_44,True,,10,10,1.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_45,d_nikke_anchor_01,Self,Self,Locale_NikkeEpisode:d_nikke_anchor_01_45,False,,10,10,1.0,,,,,1,idle,,,,,,
d_nikke_anchor_01_46,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_46,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_47,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_47,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_48,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_48,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_49,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_49,False,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_50,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_50,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_51,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_51,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_52,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_52,True,,10,10,1.0,,,helm,,1,no,,,,,,
d_nikke_anchor_01_53,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_53,True,,10,100,2.0,,,helm,,1,idle,,,,,,
d_nikke_anchor_01_54,d_nikke_anchor_01,Speech,helm,Locale_NikkeEpisode:d_nikke_anchor_01_54,True,,100,100,1.0,,,helm,,1,idle,,,,,,
