id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_mihara_bondingchain_03_1,d_nikke_mihara_bondingchain_03,Narration,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_1,False,TreeOfWater,L_30,L_300,1.0,bgm_story_treatment,,,mihara_b,1,idle,littlemermaid,3,idle
d_nikke_mihara_bondingchain_03_2,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_2,True,,L_300,L_300,1.0,,littlemermaid,littlemermaid,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_3,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_3,True,,L_300,L_300,1.0,,littlemermaid,littlemermaid,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_4,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_4,True,,L_300,L_300,1.0,,littlemermaid,littlemermaid,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_5,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_5,True,,L_300,100,1.0,,mihara_b,mihara_b,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_6,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_6,True,,100,10,1.0,,mihara_b,mihara_b,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_7,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_7,True,,10,31,1.0,,littlemermaid,littlemermaid,,1,idle,,3,delight
d_nikke_mihara_bondingchain_03_8,d_nikke_mihara_bondingchain_03,Narration,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_8,False,,black,black,1.0,,littlemermaid,,,1,idle,,3,delight
d_nikke_mihara_bondingchain_03_9,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_9,True,,L_30,L_30,1.0,,littlemermaid,littlemermaid,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_10,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_10,True,,L_30,L_300,0.5,,littlemermaid,littlemermaid,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_11,d_nikke_mihara_bondingchain_03,Narration,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_11,False,,black,black,1.0,,littlemermaid,,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_12,d_nikke_mihara_bondingchain_03,Narration,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_12,False,,black,black,1.0,,littlemermaid,,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_13,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_13,True,,100,10,1.0,,mihara_b,mihara_b,,1,surprise,,3,idle
d_nikke_mihara_bondingchain_03_14,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_14,True,,10,10,1.0,,mihara_b,mihara_b,,1,surprise,,3,idle
d_nikke_mihara_bondingchain_03_15,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_15,True,,10,10,1.0,,mihara_b,mihara_b,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_16,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_16,True,,10,31,1.0,,littlemermaid,littlemermaid,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_17,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_17,True,,31,31,1.0,,mihara_b,mihara_b,,1,idle,,3,idle
d_nikke_mihara_bondingchain_03_18,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_18,True,,31,31,1.0,,littlemermaid,littlemermaid,,1,idle,,3,delight
d_nikke_mihara_bondingchain_03_19,d_nikke_mihara_bondingchain_03,Narration,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_19,False,,31,31,1.0,,littlemermaid,,,1,idle,,3,delight
d_nikke_mihara_bondingchain_03_20,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_20,True,,31,31,1.0,,littlemermaid,littlemermaid,,1,idle,,3,delight
d_nikke_mihara_bondingchain_03_21,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_21,True,,31,31,1.0,,mihara_b,mihara_b,,1,idle,,3,delight
d_nikke_mihara_bondingchain_03_22,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_22,True,,31,L_30,1.0,,littlemermaid,mihara_b,,1,idle,,3,delight
d_nikke_mihara_bondingchain_03_23,d_nikke_mihara_bondingchain_03,Speech,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_03_23,True,,L_30,L_300,1.0,,littlemermaid,littlemermaid,,1,idle,,3,idle
