id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id,fade
d_nikke_rosanna_chicocean_02_1,d_nikke_rosanna_chicocean_02,Narration,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_1,False,UninhabitedIsland_d,2,2,1.0,sfx_scn_wavebreak,bgm_story_voicesofthesea,,,,,,,
d_nikke_rosanna_chicocean_02_2,d_nikke_rosanna_chicocean_02,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_2,False,,2,2,1.0,,,,,,,,,
d_nikke_rosanna_chicocean_02_3,d_nikke_rosanna_chicocean_02,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_3,False,,2,2,1.0,,,,,,,,,
d_nikke_rosanna_chicocean_02_4,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_4,True,,2,20,1.0,,,rosanna_s,rosanna_s,2,idle,,,
d_nikke_rosanna_chicocean_02_5,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_5,True,,20,20,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_6,d_nikke_rosanna_chicocean_02,Self,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_6,False,,20,20,1.0,,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_7,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_7,True,,20,20,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_8,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_8,True,,20,20,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_9,d_nikke_rosanna_chicocean_02,Self,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_9,False,,20,20,1.0,,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_10,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_10,True,,20,200,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_11,d_nikke_rosanna_chicocean_02,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_11,False,,200,200,1.0,,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_12,d_nikke_rosanna_chicocean_02,Narration,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_12,False,,black,black,1.0,,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_13,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_13,True,,20,2,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_14,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_14,True,,2,2,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_15,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_15,True,,2,2,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_16,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_16,True,,2,2,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_17,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_17,True,,2,2,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_18,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_18,True,,2,2,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_19,d_nikke_rosanna_chicocean_02,Narration,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_19,False,,2,20,1.0,sfx_scn_handtouch,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_20,d_nikke_rosanna_chicocean_02,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_20,False,,20,20,1.0,,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_21,d_nikke_rosanna_chicocean_02,Self,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_21,False,,20,20,1.0,,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_22,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_22,True,,20,20,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_23,d_nikke_rosanna_chicocean_02,Speech,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_23,True,,20,20,1.0,,,rosanna_s,,2,idle,,,
d_nikke_rosanna_chicocean_02_24,d_nikke_rosanna_chicocean_02,Narration,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_24,False,,20,200,1.0,sfx_scn_handtouch,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_25,d_nikke_rosanna_chicocean_02,Monologue,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_25,False,,200,200,1.0,,,,,2,idle,,,
d_nikke_rosanna_chicocean_02_26,d_nikke_rosanna_chicocean_02,Narration,rosanna_s,Locale_NikkeEpisode:d_nikke_rosanna_chicocean_02_26,False,,200,20,0.5,,,,,2,idle,,,
