id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_viper_02_1,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_1,True,OuterRim,1,10,1.0,bgm_story_orangepop,,,,viper,1,idle,,,,,
d_nikke_viper_02_2,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_2,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_viper_02_3,d_nikke_viper_02,Self,viper,Self,Locale_NikkeEpisode:d_nikke_viper_02_3,False,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_viper_02_4,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_4,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_viper_02_5,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_5,True,,10,10,1.0,,,,,,1,good,,,,,
d_nikke_viper_02_6,d_nikke_viper_02,Self,viper,Self,Locale_NikkeEpisode:d_nikke_viper_02_6,False,,10,10,1.0,,,,,,1,good,,,,,
d_nikke_viper_02_7,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_7,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_viper_02_8,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_8,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_viper_02_9,d_nikke_viper_02,Self,viper,Self,Locale_NikkeEpisode:d_nikke_viper_02_9,False,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_viper_02_10,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_10,True,,10,10,1.0,,,,,,1,delight,,,,,
d_nikke_viper_02_11,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_11,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_viper_02_12,d_nikke_viper_02,Choice,viper,,Locale_NikkeEpisode:d_nikke_viper_02_12,False,,10,10,1.0,,d_nikke_viper_02_14,,,,1,idle,,,,,
d_nikke_viper_02_13,d_nikke_viper_02,Choice,viper,,Locale_NikkeEpisode:d_nikke_viper_02_13,False,,10,10,1.0,,d_nikke_viper_02_16,,,,1,idle,,,,,
d_nikke_viper_02_14,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_14,True,,10,10,1.0,,,,,,1,idle,,,,,
d_nikke_viper_02_15,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_15,True,,10,10,1.0,,d_nikke_viper_02_17,,,,1,good,,,,,
d_nikke_viper_02_16,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_16,True,,10,10,1.0,,,,,,1,good,,,,,
d_nikke_viper_02_17,d_nikke_viper_02,Monologue,viper,Monologue,Locale_NikkeEpisode:d_nikke_viper_02_17,False,,10,10,1.0,,,,,,1,good,,,,,
d_nikke_viper_02_18,d_nikke_viper_02,Self,viper,Self,Locale_NikkeEpisode:d_nikke_viper_02_18,False,,10,10,1.0,,,,,,1,good,,,,,
d_nikke_viper_02_19,d_nikke_viper_02,Speech,viper,viper,Locale_NikkeEpisode:d_nikke_viper_02_19,True,,10,10,1.0,,,,,,1,idle,,,,,
