id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id
d_nikke_rapi_redhood_01_1,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_1,False,CommanderRoom,2,2,1.0,sfx_scn_knock,none,,,,,,,,,,,
d_nikke_rapi_redhood_01_2,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_2,True,,2,2,1.0,,,rapi_red,,,,,,,,,,
d_nikke_rapi_redhood_01_3,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_3,False,,2,2,1.0,,,,,,,,,,,,,
d_nikke_rapi_redhood_01_4,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_4,False,,2,2,1.0,sfx_scn_autodooropen,,,rapi_red,rapi_red,2,idle,,,,,,
d_nikke_rapi_redhood_01_5,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_5,True,,2,20,1.3,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_6,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_6,False,,20,20,1.0,,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_7,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_7,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_8,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_8,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_9,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_9,False,,20,20,1.0,,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_10,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_10,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_11,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_11,True,,20,2,1.3,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_12,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_12,False,,2,2,1.0,sfx_scn_autodooropen,,,,,2,idle,rapi_red,,,,,
d_nikke_rapi_redhood_01_13,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_13,False,,2,2,1.0,,,,,,,,,,,,,
d_nikke_rapi_redhood_01_14,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_14,False,,black,black,1.0,,bgm_story_tepidappleade,,,,,,,,,,,
d_nikke_rapi_redhood_01_15,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_15,False,,2,2,1.0,sfx_scn_knock,,,,,,,,,,,,
d_nikke_rapi_redhood_01_16,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_16,True,,2,2,1.0,,,rapi_red,,,,,,,,,,
d_nikke_rapi_redhood_01_17,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_17,False,,2,2,1.0,,,,,,,,,,,,,
d_nikke_rapi_redhood_01_18,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_18,False,,2,2,1.0,sfx_scn_autodooropen,,,rapi_red,rapi_red,2,idle,,,,,,
d_nikke_rapi_redhood_01_19,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_19,True,,2,20,1.3,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_20,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_20,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_21,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_21,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_22,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_22,False,,20,20,1.0,sfx_scn_slidingdoor,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_23,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_23,True,,20,2,1.3,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_24,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_24,False,,2,2,1.0,,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_25,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_25,False,,2,2,1.0,sfx_scn_autodooropen,,,rapi_red,,2,idle,rapi_red,,,,,
d_nikke_rapi_redhood_01_26,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_26,False,,2,2,1.0,,,,,,,,,,,,,
d_nikke_rapi_redhood_01_27,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_27,False,,black,black,1.0,,,,,,,,,,,,,
d_nikke_rapi_redhood_01_28,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_28,False,,2,2,1.0,sfx_scn_knock,,,,,,,,,,,,
d_nikke_rapi_redhood_01_29,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_29,True,,2,2,1.0,,,rapi_red,rapi_red,,,,,,,,,
d_nikke_rapi_redhood_01_30,d_nikke_rapi_redhood_01,Narration,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_30,False,,2,20,0.7,sfx_scn_autodooropen,none,,rapi_red,rapi_red,2,idle,,,,,,
d_nikke_rapi_redhood_01_31,d_nikke_rapi_redhood_01,Monologue,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_31,False,,20,20,1.0,,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_32,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_32,False,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_33,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_33,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_34,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_34,False,,20,20,1.0,,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_35,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_35,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_36,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_36,False,,20,20,1.0,,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_37,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_37,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_38,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_38,False,,20,20,1.0,,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_39,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_39,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_40,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_40,False,,20,20,1.0,,,,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_41,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_41,True,,20,20,1.0,,,rapi_red,rapi_red,,2,idle,,,,,,
d_nikke_rapi_redhood_01_42,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_42,False,,20,20,1.0,,,rapi_red,rapi_red,,2,think,,,,,,
d_nikke_rapi_redhood_01_43,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_43,True,,20,20,1.0,,,rapi_red,rapi_red,,2,think,,,,,,
d_nikke_rapi_redhood_01_44,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_44,True,,20,20,1.0,,,rapi_red,rapi_red,,2,think,,,,,,
d_nikke_rapi_redhood_01_45,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_45,True,,20,20,1.0,,,rapi_red,rapi_red,,2,think,,,,,,
d_nikke_rapi_redhood_01_46,d_nikke_rapi_redhood_01,Speech,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_46,True,,20,200,1.3,,bgm_story_cottoncandy,rapi_red,rapi_red,,2,shy,,,,,,
d_nikke_rapi_redhood_01_47,d_nikke_rapi_redhood_01,Self,Locale_NikkeEpisode:d_nikke_rapi_redhood_01_47,False,,200,200,1.0,,,,rapi_red,,2,shy,,,,,,
