id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_isabel_01_1,d_nikke_isabel_01,Speech,isabel,unknown,Locale_NikkeEpisode:d_nikke_isabel_01_1,True,ArkRuinIndoor,S_100,S_100,1.0,bgm_story_sunshinesorrow,Blur_High,,,,,,isabel,1,surprise,,,,,,,,,
d_nikke_isabel_01_2,d_nikke_isabel_01,Speech,isabel,unknown,Locale_NikkeEpisode:d_nikke_isabel_01_2,True,,S_100,S_100,1.0,,Blur_High,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_3,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_3,False,,S_100,S_100,1.0,,Blur_Middle,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_4,d_nikke_isabel_01,Speech,isabel,unknown,Locale_NikkeEpisode:d_nikke_isabel_01_4,True,,S_100,S_10,2.0,,Blur_Middle,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_5,d_nikke_isabel_01,Speech,isabel,unknown,Locale_NikkeEpisode:d_nikke_isabel_01_5,True,,S_10,S_10,1.0,,Blur_Low,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_6,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_6,False,,S_10,S_10,1.0,,Blur_Low,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_7,d_nikke_isabel_01,Speech,isabel,unknown,Locale_NikkeEpisode:d_nikke_isabel_01_7,True,,S_10,1,2.0,,Blur_Low,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_8,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_8,True,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_9,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_9,False,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_10,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_10,False,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_11,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_11,True,,1,1,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_12,d_nikke_isabel_01,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_12,False,IceLand_03,200,20,1.0,,Grey,Blur_Low,black,,,,,1,good,isabel,rapi,2,angry,,anis,12,angry,
d_nikke_isabel_01_13,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_13,False,,20,120,1.0,,Grey,,,sfx_scn_gunfire,Low_2,,,,,,,2,angry,,,12,angry,
d_nikke_isabel_01_14,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_14,True,,120,1,0.5,,Grey,,,sfx_scn_raptureaim,,,,,,,,2,angry,,,12,angry,
d_nikke_isabel_01_15,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_15,False,black,1,1,1.0,,Grey,,,sfx_scn_snowwhiterifle,,,,,,,,2,angry,rapi,,12,angry,anis
d_nikke_isabel_01_16,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_16,True,ArkRuinIndoor,1,1,1.0,,,,,,,,isabel,1,surprise,,,,,,,,,
d_nikke_isabel_01_17,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_17,True,,1,1,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_18,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_18,True,,1,1,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_19,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_19,True,,1,1,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_20,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_20,False,,1,1,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_21,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_21,True,,1,S_10,2.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_22,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_22,True,,S_10,S_10,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_23,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_23,True,,S_10,S_10,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_24,d_nikke_isabel_01,Choice,isabel,,Locale_NikkeEpisode:d_nikke_isabel_01_24,False,,S_10,S_10,1.0,,,,,,,d_nikke_isabel_01_26,,1,surprise,,,,,,,,,
d_nikke_isabel_01_25,d_nikke_isabel_01,Choice,isabel,,Locale_NikkeEpisode:d_nikke_isabel_01_25,False,,S_10,S_10,1.0,,,,,,,d_nikke_isabel_01_27,,1,surprise,,,,,,,,,
d_nikke_isabel_01_26,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_26,True,,S_10,S_10,1.0,,,,,,,d_nikke_isabel_01_32,,1,idle,,,,,,,,,
d_nikke_isabel_01_27,d_nikke_isabel_01,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_27,False,,black,black,1.0,,,,,sfx_scn_sofasheet,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_28,d_nikke_isabel_01,Monologue,isabel,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_28,False,,black,black,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_29,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_29,True,,S_10,S_10,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_30,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_30,True,,S_10,S_10,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_31,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_31,False,,S_10,S_10,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_32,d_nikke_isabel_01,Narration,isabel,Narration,Locale_NikkeEpisode:d_nikke_isabel_01_32,False,,S_10,S_10,1.0,,,,,sfx_scn_hungry,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_33,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_33,True,,S_10,S_10,2.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_34,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_34,True,,S_10,S_10,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_35,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_35,True,,S_10,1,2.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_36,d_nikke_isabel_01,Self,isabel,Self,Locale_NikkeEpisode:d_nikke_isabel_01_36,False,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_37,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_37,True,,1,1,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_38,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_38,True,,1,1,1.0,,,,,,,,,1,surprise,,,,,,,,,
d_nikke_isabel_01_39,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_39,True,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_40,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_40,True,,1,1,1.0,,,,,,,,,1,idle,,,,,,,,,
d_nikke_isabel_01_41,d_nikke_isabel_01,Speech,isabel,isabel,Locale_NikkeEpisode:d_nikke_isabel_01_41,True,,1,1,1.0,,,,,,,,,1,good,,,,,,,,,
d_nikke_isabel_01_42,d_nikke_isabel_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_isabel_01_42,False,,black,black,1.0,none,,,,sfx_scn_doorclose,,,,1,good,isabel,,,,,,,,
d_nikke_isabel_01_43,d_nikke_isabel_01,Choice,,,Locale_NikkeEpisode:d_nikke_isabel_01_43,False,,1,1,1.0,,,,,,,d_nikke_isabel_01_45,,,,,,,,,,,,
d_nikke_isabel_01_44,d_nikke_isabel_01,Choice,,,Locale_NikkeEpisode:d_nikke_isabel_01_44,False,,1,1,1.0,,,,,,,d_nikke_isabel_01_49,,,,,,,,,,,,
d_nikke_isabel_01_45,d_nikke_isabel_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_45,False,,1,1,1.0,,,,,,Low_2,,,,,,,,,,,,,
d_nikke_isabel_01_46,d_nikke_isabel_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_46,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_isabel_01_47,d_nikke_isabel_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_isabel_01_47,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_isabel_01_48,d_nikke_isabel_01,Self,,Self,Locale_NikkeEpisode:d_nikke_isabel_01_48,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
