id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/1/hide_char_id,characters/2/hide_char_id,characters/0/hide_char_id,set_camera_shake,play_sound
d_nikke_c_3_02_1,d_nikke_c_3_02,Speech,c_3,c_3,Locale_NikkeEpisode:d_nikke_c_3_02_1,True,c_3,1,surprise,poli,13,idle,miranda,15,idle,City_d,10,10,1.0,bgm_story_cosmos,,,,,,
d_nikke_c_3_02_2,d_nikke_c_3_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_c_3_02_2,True,,1,surprise,,13,idle,,15,delight,,S_150,S_150,1.0,,,,,,,
d_nikke_c_3_02_3,d_nikke_c_3_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_c_3_02_3,True,,1,surprise,,13,idle,,15,delight,,S_150,S_150,1.0,,,,,,,
d_nikke_c_3_02_4,d_nikke_c_3_02,Speech,c_3,c_3,Locale_NikkeEpisode:d_nikke_c_3_02_4,True,,1,surprise,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_nikke_c_3_02_5,d_nikke_c_3_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_c_3_02_5,True,,1,idle,,13,idle,,15,idle,,S_150,S_150,1.0,,,,,,,
d_nikke_c_3_02_6,d_nikke_c_3_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_c_3_02_6,True,,1,idle,,13,idle,,15,idle,,S_150,14,1.0,,,,,,,
d_nikke_c_3_02_7,d_nikke_c_3_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_c_3_02_7,True,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,,,
d_nikke_c_3_02_8,d_nikke_c_3_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_c_3_02_8,True,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,,,
d_nikke_c_3_02_9,d_nikke_c_3_02,Speech,c_3,c_3,Locale_NikkeEpisode:d_nikke_c_3_02_9,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_nikke_c_3_02_10,d_nikke_c_3_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_c_3_02_10,True,,1,idle,,13,angry,,15,idle,,14,14,1.0,,,,,,,
d_nikke_c_3_02_11,d_nikke_c_3_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_c_3_02_11,True,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,,,
d_nikke_c_3_02_12,d_nikke_c_3_02,Speech,c_3,c_3,Locale_NikkeEpisode:d_nikke_c_3_02_12,True,,1,smile,,13,idle,,15,idle,,10,10,1.0,,,,,,,
d_nikke_c_3_02_13,d_nikke_c_3_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_c_3_02_13,True,,1,good,,13,idle,,15,idle,,10,XS_130,1.0,,,,,,,
d_nikke_c_3_02_14,d_nikke_c_3_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_c_3_02_14,True,,1,good,,13,idle,,15,idle,,XS_130,XS_130,1.0,,,,,,,
d_nikke_c_3_02_15,d_nikke_c_3_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_c_3_02_15,True,,1,good,,13,delight,,15,idle,,XS_130,XS_130,1.0,,,,,,,
d_nikke_c_3_02_16,d_nikke_c_3_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_c_3_02_16,True,,1,good,,13,delight,,15,delight,,XS_130,S_150,1.0,,,,,,,
d_nikke_c_3_02_17,d_nikke_c_3_02,Speech,c_3,c_3,Locale_NikkeEpisode:d_nikke_c_3_02_17,True,,1,good,,13,idle,,15,delight,,10,10,1.0,,,,,,,
d_nikke_c_3_02_18,d_nikke_c_3_02,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_c_3_02_18,True,,1,good,,13,idle,,15,delight,,10,12,1.0,none,,,,,,
d_nikke_c_3_02_19,d_nikke_c_3_02,Self,poli,,Locale_NikkeEpisode:d_nikke_c_3_02_19,False,,1,idle,,13,idle,,15,idle,Park,17,15,2.0,,black,,,,,
d_nikke_c_3_02_20,d_nikke_c_3_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_c_3_02_20,True,,1,idle,,13,idle,,15,idle,,15,S_150,1.0,bgm_story_tuffguys,,,,,,
d_nikke_c_3_02_21,d_nikke_c_3_02,Speech,,citizen,Locale_NikkeEpisode:d_nikke_c_3_02_21,True,,1,idle,,13,idle,,15,idle,,S_150,S_150,1.0,,,,,,,
d_nikke_c_3_02_22,d_nikke_c_3_02,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_c_3_02_22,True,,1,idle,,13,idle,,15,idle,,S_150,S_1500,0.5,,,,,,,
