id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_sakura_bloominsummer_02_1,d_nikke_sakura_bloominsummer_02,Narration,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_1,False,CoralIslandInside_d,2,2,1.0,sfx_scn_walksand,bgm_story_voicesofthesea,,,,,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_2,d_nikke_sakura_bloominsummer_02,Narration,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_2,False,,2,20,1.0,sfx_scn_walksand,,,,,,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_3,d_nikke_sakura_bloominsummer_02,Monologue,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_3,False,,20,20,1.0,,,sakura_s,2,idle,,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_4,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_4,True,,20,20,1.0,,,,2,idle,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_5,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_5,True,,20,20,1.0,,,,2,idle,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_6,d_nikke_sakura_bloominsummer_02,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_6,False,,20,20,1.0,,,,2,idle,sakura_s,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_7,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_7,True,,20,20,1.0,,,,2,smile,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_8,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_8,True,,20,20,1.0,,,,2,smile,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_9,d_nikke_sakura_bloominsummer_02,Monologue,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_9,False,,20,2,1.0,,,,2,smile,sakura_s,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_10,d_nikke_sakura_bloominsummer_02,Monologue,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_10,False,,2,2,1.0,,,,2,smile,sakura_s,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_11,d_nikke_sakura_bloominsummer_02,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_11,False,,2,2,1.0,,,,2,smile,sakura_s,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_12,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_12,True,,2,2,1.0,,,,2,smile,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_13,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_13,True,,2,2,1.0,,,,2,smile,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_14,d_nikke_sakura_bloominsummer_02,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_14,False,,2,2,1.0,,,,2,smile,sakura_s,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_15,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_15,True,,2,20,1.0,,,,2,smile,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_16,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_16,True,,20,20,1.0,,,,2,smile,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_17,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_17,True,,20,20,1.0,,,,2,smile,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_18,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_18,True,,20,20,1.0,,,,2,smile,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_19,d_nikke_sakura_bloominsummer_02,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_19,False,,20,20,1.0,,,,2,smile,sakura_s,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_20,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_20,True,,20,20,1.0,,,,2,delight,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_21,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_21,True,,20,20,1.0,,,,2,delight,sakura_s,sakura_s,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_22,d_nikke_sakura_bloominsummer_02,Self,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_22,False,,20,20,1.0,,,,2,delight,sakura_s,,,,,,,,,,,,,,,
d_nikke_sakura_bloominsummer_02_23,d_nikke_sakura_bloominsummer_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_bloominsummer_02_23,True,,20,20,1.0,,,,2,delight,sakura_s,sakura_s,,,,,,,,,,,,,,
