id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_nikke_sugar_04_1,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_1,True,CommanderRoom,15,15,1.0,bgm_story_whosdumber,,,,,sugar,1,idle,,rapi,17,idle,anis,15,idle,neon,13,idle,,,,
d_nikke_sugar_04_2,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_2,True,,15,13,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_3,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_3,True,,13,15,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_4,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_4,True,,1,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_5,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_5,True,,15,15,1.0,,,,,,,1,idle,,,17,idle,,15,no,,13,idle,,,,
d_nikke_sugar_04_6,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_6,True,,15,17,1.0,,,,,,,1,idle,,,17,idle,,15,no,,13,idle,,,,
d_nikke_sugar_04_7,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_7,True,,17,17,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_8,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_8,True,,1,1,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_9,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_9,True,,17,17,1.0,,,,,,,1,idle,,,17,think,,15,idle,,13,idle,,,,
d_nikke_sugar_04_10,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_10,True,,1,1,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_11,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_11,True,,1,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_12,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_12,True,,12,12,1.0,,black,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_13,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_13,True,,12,12,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_14,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_14,True,,12,12,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,idle,,,,
d_nikke_sugar_04_15,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_15,True,,12,12,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,no,,,,
d_nikke_sugar_04_16,d_nikke_sugar_04,Narration,neon,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_16,False,,12,S_130,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,no,,,,
d_nikke_sugar_04_17,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_17,True,,S_130,S_1300,1.0,,,,,,,1,idle,,,17,idle,,15,idle,,13,no,,,,
d_nikke_sugar_04_18,d_nikke_sugar_04,Narration,neon,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_18,False,,black,black,1.0,,,sfx_scn_torch,Low_2,,,1,idle,,,17,idle,,15,worry,,13,no,,,,
d_nikke_sugar_04_19,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_19,False,,black,black,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,no,,,,
d_nikke_sugar_04_20,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_20,True,,S_10,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_21,d_nikke_sugar_04,Speech,sugar,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_21,False,,S_10,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_22,d_nikke_sugar_04,Speech,sugar,anis,Locale_NikkeEpisode:d_nikke_sugar_04_22,False,,S_10,S_10,1.0,,,,Low_2,,,1,idle,,,17,idle,,15,angry,,13,idle,,,,
d_nikke_sugar_04_23,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_23,True,,S_10,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,angry,,13,idle,,,,
d_nikke_sugar_04_24,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_24,True,,S_10,S_130,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_25,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_25,True,,S_130,S_130,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_26,d_nikke_sugar_04,Narration,neon,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_26,False,,S_130,S_130,1.0,,,sfx_scn_aim,,,,1,idle,,,17,idle,,15,worry,,13,no,,,,
d_nikke_sugar_04_27,d_nikke_sugar_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_sugar_04_27,True,,S_130,S_1300,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,no,,,,
d_nikke_sugar_04_28,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_28,False,,black,black,1.0,,,sfx_scn_3shotgun,Low_2,,,1,idle,,,17,idle,,15,worry,,13,no,,,,
d_nikke_sugar_04_29,d_nikke_sugar_04,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_sugar_04_29,False,,black,black,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,no,,,,
d_nikke_sugar_04_30,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_30,False,,17,17,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_31,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_31,True,,S_10,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_32,d_nikke_sugar_04,Speech,sugar,anis,Locale_NikkeEpisode:d_nikke_sugar_04_32,False,,S_10,S_10,1.0,,,,Low_2,,,1,idle,,,17,idle,,15,angry,,13,idle,,,,
d_nikke_sugar_04_33,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_33,True,,170,170,1.0,,,,,,,1,idle,,,17,think,,15,angry,,13,idle,,,,
d_nikke_sugar_04_34,d_nikke_sugar_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_sugar_04_34,True,,170,1700,1.0,,,,,,,1,idle,,,17,idle,,15,angry,,13,idle,,,,
d_nikke_sugar_04_35,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_35,True,CommanderRoom,3,3,1.0,,black,,,,,1,idle,,,17,idle,,15,worry,,13,idle,emma,3,delight,
d_nikke_sugar_04_36,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_36,True,,3,30,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,3,delight,
d_nikke_sugar_04_37,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_37,True,,30,30,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,3,delight,
d_nikke_sugar_04_38,d_nikke_sugar_04,Self,emma,Self,Locale_NikkeEpisode:d_nikke_sugar_04_38,False,,30,30,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,3,delight,
d_nikke_sugar_04_39,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_39,True,,30,30,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,3,delight,
d_nikke_sugar_04_40,d_nikke_sugar_04,Narration,emma,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_40,False,,30,30,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,9,delight,
d_nikke_sugar_04_41,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_41,True,,30,15,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,9,delight,emma
d_nikke_sugar_04_42,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_42,True,,1,1,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_43,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_43,True,,15,15,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_44,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_44,True,,1,1,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_45,d_nikke_sugar_04,Self,sugar,Self,Locale_NikkeEpisode:d_nikke_sugar_04_45,False,,1,1,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_46,d_nikke_sugar_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_sugar_04_46,True,,15,15,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_47,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_47,False,,1,S_10,3.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_48,d_nikke_sugar_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_sugar_04_48,True,,S_10,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_49,d_nikke_sugar_04,Speech,sugar,anis,Locale_NikkeEpisode:d_nikke_sugar_04_49,False,,S_10,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_50,d_nikke_sugar_04,Speech,emma,emma,Locale_NikkeEpisode:d_nikke_sugar_04_50,True,,S_10,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_51,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_51,False,,S_10,S_10,1.0,,,sfx_scn_glassbreak,Low_2,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
d_nikke_sugar_04_52,d_nikke_sugar_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_sugar_04_52,False,,S_10,S_10,1.0,,,,,,,1,idle,,,17,idle,,15,worry,,13,idle,,,,
