id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_neve_01_1,d_nikke_neve_01,Narration,Locale_NikkeEpisode:d_nikke_neve_01_1,False,CommanderRoom,m_nikke_neve_01,1,1,1.0,sfx_scn_phonevibration,bgm_story_girlstalk,,,,,,,,,,,,,
d_nikke_neve_01_2,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_2,False,,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_neve_01_3,d_nikke_neve_01,Monologue,Locale_NikkeEpisode:d_nikke_neve_01_3,False,,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_neve_01_4,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_4,True,ElevatorOut,,53,53,1.0,,,alice,alice,alice,5,delight,ludmilla,3,idle,black,,,,
d_nikke_neve_01_5,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_5,True,,,53,53,1.0,,,alice,alice,,5,delight,,3,idle,,,,,
d_nikke_neve_01_6,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_6,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_7,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_7,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_8,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_8,False,,,53,53,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_9,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_9,True,,,30,30,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_10,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_10,True,,,S_50,S_50,1.0,,,alice,alice,,5,surprise,,3,idle,,,,,
d_nikke_neve_01_11,d_nikke_neve_01,Monologue,Locale_NikkeEpisode:d_nikke_neve_01_11,False,,,53,53,1.0,,,alice,,,5,surprise,,3,idle,,,,,
d_nikke_neve_01_12,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_12,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,surprise,,3,idle,,,,,
d_nikke_neve_01_13,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_13,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,surprise,,3,idle,,,,,
d_nikke_neve_01_14,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_14,True,,,53,53,1.0,,,alice,alice,,5,surprise,,3,idle,,,,,
d_nikke_neve_01_15,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_15,False,,,53,53,1.0,,,alice,,,5,surprise,,3,idle,,,,,
d_nikke_neve_01_16,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_16,True,,,53,5,1.0,,,alice,alice,,5,surprise,,3,idle,,,,,
d_nikke_neve_01_17,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_17,True,,,5,S_50,3.0,,,alice,alice,,5,idle,,3,idle,,,,,
d_nikke_neve_01_18,d_nikke_neve_01,Choice,Locale_NikkeEpisode:d_nikke_neve_01_18,False,,,S_50,S_50,1.0,,,alice,,,5,idle,,3,idle,,d_nikke_neve_01_20,,,
d_nikke_neve_01_19,d_nikke_neve_01,Choice,Locale_NikkeEpisode:d_nikke_neve_01_19,False,,,S_50,S_50,1.0,,,alice,,,5,idle,,3,idle,,d_nikke_neve_01_21,,,
d_nikke_neve_01_20,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_20,True,,,S_50,S_500,3.0,,,alice,alice,,5,special,,3,idle,,d_nikke_neve_01_22,,,
d_nikke_neve_01_21,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_21,True,,,S_500,S_500,1.0,,,alice,alice,,5,special,,3,idle,,d_nikke_neve_01_22,,,
d_nikke_neve_01_22,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_22,True,,,S_500,53,2.0,,,ludmilla,ludmilla,,5,special,,3,idle,,,,,
d_nikke_neve_01_23,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_23,True,,,53,3,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_24,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_24,True,,,3,3,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_25,d_nikke_neve_01,Monologue,Locale_NikkeEpisode:d_nikke_neve_01_25,False,,,3,3,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_26,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_26,True,,,3,3,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_27,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_27,True,,,3,30,2.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_28,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_28,False,,,30,30,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_29,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_29,True,,,30,30,1.0,,,ludmilla,ludmilla,,5,idle,,3,think,,,,,
d_nikke_neve_01_30,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_30,False,,,30,30,1.0,,,ludmilla,,,5,idle,,3,think,,,,,
d_nikke_neve_01_31,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_31,True,,,30,30,1.0,,,ludmilla,ludmilla,,5,idle,,3,think,,,,,
d_nikke_neve_01_32,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_32,True,,,30,300,2.0,,,ludmilla,ludmilla,,5,idle,,3,think,,,,,
d_nikke_neve_01_33,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_33,False,,,300,300,1.0,,,ludmilla,,,5,idle,,3,think,,,,,
d_nikke_neve_01_34,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_34,True,,,300,300,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_35,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_35,True,,,300,300,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_36,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_36,True,,,300,300,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_37,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_37,False,,,300,300,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_38,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_38,True,,,300,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_39,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_39,True,,,53,53,1.0,,,alice,alice,,5,delight,,3,idle,,,,,
d_nikke_neve_01_40,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_40,True,IceLand_01,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,black,,,,
d_nikke_neve_01_41,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_41,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_42,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_42,False,,,53,53,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_43,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_43,True,,,53,53,1.0,,,alice,alice,,5,idle,,3,idle,,,,,
d_nikke_neve_01_44,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_44,False,,,53,53,1.0,,,alice,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_45,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_45,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_46,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_46,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_47,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_47,True,,,53,53,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_48,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_48,False,,,53,53,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_49,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_49,True,,,53,3,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_50,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_50,True,,,3,3,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_51,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_51,True,,,3,3,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_52,d_nikke_neve_01,Self,Locale_NikkeEpisode:d_nikke_neve_01_52,False,,,3,3,1.0,,,ludmilla,,,5,idle,,3,idle,,,,,
d_nikke_neve_01_53,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_53,True,,,3,30,1.0,,,ludmilla,ludmilla,,5,idle,,3,idle,,,,,
d_nikke_neve_01_54,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_54,True,,,30,S_50,1.0,,,alice,alice,,5,delight,,3,idle,,,,,
d_nikke_neve_01_55,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_55,True,,,S_50,30,1.0,,,ludmilla,ludmilla,,5,delight,,3,delight,,,,,
d_nikke_neve_01_56,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_56,True,,,30,30,1.0,,,ludmilla,ludmilla,,5,delight,,3,idle,,,,,
d_nikke_neve_01_57,d_nikke_neve_01,Narration,Locale_NikkeEpisode:d_nikke_neve_01_57,False,,,30,53,1.0,sfx_scn_successsignal,,ludmilla,,,5,delight,,3,idle,,,,,
d_nikke_neve_01_58,d_nikke_neve_01,Speech,Locale_NikkeEpisode:d_nikke_neve_01_58,True,,,53,53,1.0,,,alice,alice,,5,delight,,3,idle,,,,,
