id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,fade,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_mori_05_1,d_nikke_mori_05,Narration,Locale_NikkeEpisode:d_nikke_mori_05_1,False,GoodOffice,black,black,1.0,sfx_scn_autodooropen,bgm_story_fairytalesend_if,,,,,staff,1,idle,
d_nikke_mori_05_2,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_2,True,,S_100,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_3,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_3,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_4,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_4,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_5,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_5,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_6,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_6,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_7,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_7,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_8,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_8,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_9,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_9,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_10,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_10,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_11,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_11,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_12,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_12,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_13,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_13,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_14,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_14,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_15,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_15,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_16,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_16,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_17,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_17,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_18,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_18,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_19,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_19,True,,S_10,S_100,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_20,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_20,False,,S_100,S_100,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_21,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_21,True,,S_100,S_100,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_22,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_22,True,,S_100,S_100,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_23,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_23,True,,S_100,S_100,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_24,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_24,True,,S_100,S_100,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_25,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_25,False,,S_100,S_100,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_26,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_26,True,,S_100,S_100,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_27,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_27,False,,S_100,S_100,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_28,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_28,True,,S_100,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_29,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_29,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_30,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_30,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_31,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_31,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_32,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_32,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_33,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_33,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_34,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_34,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_35,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_35,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_36,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_36,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_37,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_37,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_38,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_38,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_39,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_39,True,,S_10,S_10,1.0,,,staff,staff,,,,1,idle,
d_nikke_mori_05_40,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_40,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_41,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_41,False,,S_10,S_10,1.0,,,staff,,,,,1,idle,
d_nikke_mori_05_42,d_nikke_mori_05,Monologue,Locale_NikkeEpisode:d_nikke_mori_05_42,False,NikkeCorridor,black,black,1.0,,none,,,black,,,1,idle,staff
d_nikke_mori_05_43,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_43,False,,1,1,1.0,,,,,,,,,,
d_nikke_mori_05_44,d_nikke_mori_05,Narration,Locale_NikkeEpisode:d_nikke_mori_05_44,False,,1,1,1.0,sfx_scn_knock,,,,,,,,,
d_nikke_mori_05_45,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_45,False,,1,1,1.0,,,,,,,,,,
d_nikke_mori_05_46,d_nikke_mori_05,Narration,Locale_NikkeEpisode:d_nikke_mori_05_46,False,ArkCleanIndoor,black,black,1.0,sfx_scn_autodooropen,,,,,,,,,
d_nikke_mori_05_47,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_47,True,,S_10,S_100,1.0,,,mori,mori,,,mori,1,think,
d_nikke_mori_05_48,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_48,False,,S_100,S_100,1.0,,,mori,,,,,1,think,
d_nikke_mori_05_49,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_49,True,,S_100,S_100,1.0,,,mori,mori,,,,1,think,
d_nikke_mori_05_50,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_50,False,,S_100,S_100,1.0,,,mori,,,,,1,think,
d_nikke_mori_05_51,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_51,True,,S_100,S_100,1.0,,bgm_story_sceneofmemory,mori,mori,,,,1,think,
d_nikke_mori_05_52,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_52,True,,S_100,S_100,1.0,,,mori,mori,,,,1,think,
d_nikke_mori_05_53,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_53,True,,S_100,S_10,1.0,,,mori,mori,,,,1,think,
d_nikke_mori_05_54,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_54,True,,S_10,S_10,1.0,,,mori,mori,,,,1,think,
d_nikke_mori_05_55,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_55,True,,S_10,S_10,1.0,,,mori,mori,,,,1,think,
d_nikke_mori_05_56,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_56,True,,S_10,S_10,1.0,,,mori,mori,,,,1,think,
d_nikke_mori_05_57,d_nikke_mori_05,Self,Locale_NikkeEpisode:d_nikke_mori_05_57,False,,S_10,S_10,1.0,,,mori,,,,,1,think,
d_nikke_mori_05_58,d_nikke_mori_05,Speech,Locale_NikkeEpisode:d_nikke_mori_05_58,True,,S_10,S_10,1.0,,,mori,mori,,,,1,think,
