id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_marciana_04_1,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_1,True,Park,13,13,1.0,bgm_story_orangepop,,,,marciana,13,surprise,,,,,,,,,
d_nikke_marciana_04_2,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_2,True,,13,13,1.0,,,,,,13,surprise,,,,,,,,,
d_nikke_marciana_04_3,d_nikke_marciana_04,Self,,,Locale_NikkeEpisode:d_nikke_marciana_04_3,False,,13,13,1.0,,,,,,13,surprise,,,,,,,,,
d_nikke_marciana_04_4,d_nikke_marciana_04,Self,,,Locale_NikkeEpisode:d_nikke_marciana_04_4,False,,13,13,1.0,,,,,,13,surprise,,,,,,,,,
d_nikke_marciana_04_5,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_5,True,,13,130,1.0,,,,,,13,surprise,,,,,,,,,
d_nikke_marciana_04_6,d_nikke_marciana_04,Self,,,Locale_NikkeEpisode:d_nikke_marciana_04_6,False,,130,130,1.0,,,,,,13,surprise,,,,,,,,,
d_nikke_marciana_04_7,d_nikke_marciana_04,Narration,,,Locale_NikkeEpisode:d_nikke_marciana_04_7,False,,black,black,1.0,,sfx_scn_glassdooropen,,,,13,surprise,,,,,,,,,
d_nikke_marciana_04_8,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_8,True,,12,12,1.0,,,,,,13,surprise,,biscuit,1,idle,,,,,
d_nikke_marciana_04_9,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_9,True,,12,12,1.0,,,,,,13,surprise,,,1,idle,,,,,
d_nikke_marciana_04_10,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_10,True,,12,12,1.0,,,,,,13,idle,,,1,idle,,,,,
d_nikke_marciana_04_11,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_11,True,,12,130,1.0,,,,,,13,idle,,,1,idle,,,,,
d_nikke_marciana_04_12,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_12,True,,130,130,1.0,,,,,,13,idle,,,1,idle,,,,,
d_nikke_marciana_04_13,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_13,True,,130,130,1.0,,,,,,13,idle,,,1,idle,,,,,
d_nikke_marciana_04_14,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_14,True,,130,XS_10,1.0,,,,,,13,idle,,,1,delight,,,,,
d_nikke_marciana_04_15,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_15,True,,XS_10,XS_10,1.0,,,,,,13,idle,,,1,delight,,,,,
d_nikke_marciana_04_16,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_16,True,,XS_10,XS_10,1.0,,,,,,13,idle,,,1,delight,,,,,
d_nikke_marciana_04_17,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_17,True,,XS_10,12,1.0,,,,,,13,good,,,1,delight,,,,,
d_nikke_marciana_04_18,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_18,True,,12,12,1.0,,,,,,13,good,,,1,idle,,,,,
d_nikke_marciana_04_19,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_19,True,,12,12,1.0,,,,,,13,good,,,1,idle,,,,,
d_nikke_marciana_04_20,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_20,False,SchoolCorridor,black,black,1.0,,,,,,13,think,,,1,idle,,,,,
d_nikke_marciana_04_21,d_nikke_marciana_04,Speech,puppies,puppies,Locale_NikkeEpisode:d_nikke_marciana_04_21,True,,15,XS_150,0.6,,sfx_scn_bowwow,Low_2,,,13,think,,,1,idle,,puppies,15,idle,
d_nikke_marciana_04_22,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_22,False,,13,130,0.6,,,,,,13,panic,,,1,idle,,,15,idle,
d_nikke_marciana_04_23,d_nikke_marciana_04,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_marciana_04_23,True,,130,130,1.0,,,,,,13,panic,,,1,idle,,,15,idle,
d_nikke_marciana_04_24,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_24,False,,130,130,1.0,,,,,,13,panic,,,1,idle,,,15,idle,
d_nikke_marciana_04_25,d_nikke_marciana_04,Monologue,,,Locale_NikkeEpisode:d_nikke_marciana_04_25,False,,130,130,1.0,,,,,,13,panic,,,1,idle,,,15,idle,
d_nikke_marciana_04_26,d_nikke_marciana_04,Narration,,,Locale_NikkeEpisode:d_nikke_marciana_04_26,False,,XS_10,XS_10,1.0,,sfx_scn_pipe,,,,13,panic,,,1,"expression_0,angry",,,15,idle,
d_nikke_marciana_04_27,d_nikke_marciana_04,Speech,biscuit,biscuit,Locale_NikkeEpisode:d_nikke_marciana_04_27,True,,XS_10,XS_10,1.0,,,,,,13,panic,,,1,angry,,,15,idle,
