id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_sora_01_1,d_nikke_sora_01,Narration,Locale_NikkeEpisode:d_nikke_sora_01_1,False,CommanderRoom,black,black,1.0,bgm_story_cottoncandy,,,,,,,,,,,,,,
d_nikke_sora_01_2,d_nikke_sora_01,Narration,Locale_NikkeEpisode:d_nikke_sora_01_2,False,,black,black,1.0,,sfx_scn_rustle_2,,,,,,,,,,,,,
d_nikke_sora_01_3,d_nikke_sora_01,Self,Locale_NikkeEpisode:d_nikke_sora_01_3,False,,100,10,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_4,d_nikke_sora_01,Self,Locale_NikkeEpisode:d_nikke_sora_01_4,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_5,d_nikke_sora_01,Narration,Locale_NikkeEpisode:d_nikke_sora_01_5,False,,10,10,1.0,,sfx_scn_paperopen,,,,,,,,,,,,,
d_nikke_sora_01_6,d_nikke_sora_01,Self,Locale_NikkeEpisode:d_nikke_sora_01_6,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_7,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_7,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_8,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_8,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_9,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_9,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_10,d_nikke_sora_01,Self,Locale_NikkeEpisode:d_nikke_sora_01_10,False,,10,10,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_11,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_11,False,,black,black,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_13,d_nikke_sora_01,Narration,Locale_NikkeEpisode:d_nikke_sora_01_13,False,Park,black,black,1.0,none,sfx_scn_3step,black,,,,,,,,,,,,
d_nikke_sora_01_14,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_14,False,,5,5,1.0,bgm_story_languor,,,,,,,,,,,,,,
d_nikke_sora_01_15,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_15,False,,5,5,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_16,d_nikke_sora_01,Choice,Locale_NikkeEpisode:d_nikke_sora_01_16,False,,5,5,1.0,,,,d_nikke_sora_01_18,,,,,,,,,,,
d_nikke_sora_01_17,d_nikke_sora_01,Choice,Locale_NikkeEpisode:d_nikke_sora_01_17,False,,5,5,1.0,,,,d_nikke_sora_01_18,,,,,,,,,,,
d_nikke_sora_01_18,d_nikke_sora_01,Narration,Locale_NikkeEpisode:d_nikke_sora_01_18,False,,5,500,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_19,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_19,False,,500,500,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_20,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_20,False,,500,500,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_21,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_21,False,,500,500,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_22,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_22,False,,500,500,1.0,,,,,,,,,,,,,,,
d_nikke_sora_01_23,d_nikke_sora_01,Speech,Locale_NikkeEpisode:d_nikke_sora_01_23,True,,500,500,1.0,,,,,children,children,sora,1,idle,boy,13,idle,girl04,15,idle
d_nikke_sora_01_24,d_nikke_sora_01,Speech,Locale_NikkeEpisode:d_nikke_sora_01_24,True,,500,500,1.0,,,,,sora,sora,,1,idle,,13,idle,,15,idle
d_nikke_sora_01_25,d_nikke_sora_01,Speech,Locale_NikkeEpisode:d_nikke_sora_01_25,True,,500,500,1.0,,,,,sora,sora,,1,idle,,13,idle,,15,idle
d_nikke_sora_01_26,d_nikke_sora_01,Speech,Locale_NikkeEpisode:d_nikke_sora_01_26,True,,500,500,1.0,,,,,children,children,,1,idle,,13,idle,,15,idle
d_nikke_sora_01_27,d_nikke_sora_01,Speech,Locale_NikkeEpisode:d_nikke_sora_01_27,True,,500,500,1.0,,,,,children,children,,1,idle,,13,idle,,15,idle
d_nikke_sora_01_28,d_nikke_sora_01,Self,Locale_NikkeEpisode:d_nikke_sora_01_28,False,,500,500,1.0,,,,,sora,,,1,idle,,13,idle,,15,idle
d_nikke_sora_01_29,d_nikke_sora_01,Monologue,Locale_NikkeEpisode:d_nikke_sora_01_29,False,,500,100,1.5,,,,,sora,,,1,idle,,13,idle,,15,idle
d_nikke_sora_01_30,d_nikke_sora_01,Speech,Locale_NikkeEpisode:d_nikke_sora_01_30,True,,100,10,1.0,,,,,sora,sora,,1,idle,,13,idle,,15,idle
d_nikke_sora_01_31,d_nikke_sora_01,Speech,Locale_NikkeEpisode:d_nikke_sora_01_31,True,,10,10,1.0,,,,,sora,sora,,1,idle2,,13,idle,,15,idle
