id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_filter_01,jump_target
d_nikke_c_1_05_1,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_1,True,andersen,1,idle,Office,1,1,1.0,bgm_story_breakaway,,,,,,,
d_nikke_c_1_05_2,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_2,True,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_c_1_05_3,d_nikke_c_1_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_c_1_05_3,False,,1,idle,,1,1,1.0,,,,,,,,
d_nikke_c_1_05_4,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_4,True,,1,idle,,1,L_10,1.0,,,,,,,,
d_nikke_c_1_05_5,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_5,True,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_6,d_nikke_c_1_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_c_1_05_6,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_7,d_nikke_c_1_05,Narration,andersen,,Locale_NikkeEpisode:d_nikke_c_1_05_7,False,,1,idle,LivingRoom,black,black,1.0,,andersen,c_1,15,think,,,
d_nikke_c_1_05_8,d_nikke_c_1_05,Speech,c_1,c_1,Locale_NikkeEpisode:d_nikke_c_1_05_8,True,,,,,150,150,1.0,,,,15,think,,,
d_nikke_c_1_05_9,d_nikke_c_1_05,Self,,,Locale_NikkeEpisode:d_nikke_c_1_05_9,False,,,,,150,150,1.0,,,,15,think,,,
d_nikke_c_1_05_10,d_nikke_c_1_05,Speech,c_1,c_1,Locale_NikkeEpisode:d_nikke_c_1_05_10,True,,,,,150,150,1.0,,,,15,smile,,,
d_nikke_c_1_05_11,d_nikke_c_1_05,Self,,,Locale_NikkeEpisode:d_nikke_c_1_05_11,False,andersen,1,idle,Office,150,L_10,2.0,,,,15,smile,c_1,,
d_nikke_c_1_05_12,d_nikke_c_1_05,Self,,,Locale_NikkeEpisode:d_nikke_c_1_05_12,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_13,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_13,True,,1,think,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_14,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_14,True,,1,think,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_15,d_nikke_c_1_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_c_1_05_15,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_16,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_16,True,,1,idle,,L_10,L_100,2.0,,,,,,,,
d_nikke_c_1_05_17,d_nikke_c_1_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_c_1_05_17,False,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_c_1_05_18,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_18,True,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_c_1_05_19,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_19,True,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_c_1_05_20,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_20,True,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_c_1_05_21,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_21,True,,1,idle,,L_100,L_10,1.0,,,,,,,,
d_nikke_c_1_05_22,d_nikke_c_1_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_c_1_05_22,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_23,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_23,True,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_24,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_24,True,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_25,d_nikke_c_1_05,Self,andersen,,Locale_NikkeEpisode:d_nikke_c_1_05_25,False,,1,idle,,L_10,L_10,1.0,none,,,,,,,
d_nikke_c_1_05_26,d_nikke_c_1_05,Monologue,,,Locale_NikkeEpisode:d_nikke_c_1_05_26,False,,1,idle,Library,black,black,1.0,,andersen,admi,13,idle,,,
d_nikke_c_1_05_27,d_nikke_c_1_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_c_1_05_27,True,,,,,XS_130,XS_130,1.0,bgm_inark,,,13,idle,,Grey,
d_nikke_c_1_05_28,d_nikke_c_1_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_c_1_05_28,True,,,,,XS_130,XS_130,1.0,,,,13,idle,,Grey,
d_nikke_c_1_05_29,d_nikke_c_1_05,Monologue,,,Locale_NikkeEpisode:d_nikke_c_1_05_29,False,,,,City_d,black,black,1.0,,,,13,idle,admi,Grey,
d_nikke_c_1_05_30,d_nikke_c_1_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_05_30,True,,,,,S_130,S_130,1.0,,,privaty,13,idle,,Grey,
d_nikke_c_1_05_31,d_nikke_c_1_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_05_31,True,,,,,S_130,S_130,1.0,,,,13,idle,,Grey,
d_nikke_c_1_05_32,d_nikke_c_1_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_05_32,True,,,,,S_130,S_130,1.0,,,,13,idle,,Grey,
d_nikke_c_1_05_33,d_nikke_c_1_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_05_33,True,,,,,S_130,S_130,1.0,,,,13,idle,,Grey,
d_nikke_c_1_05_34,d_nikke_c_1_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_05_34,True,,,,,S_130,S_130,1.0,,,,13,delight,,Grey,
d_nikke_c_1_05_35,d_nikke_c_1_05,Monologue,,,Locale_NikkeEpisode:d_nikke_c_1_05_35,False,,,,Park,black,black,1.0,,,,13,idle,privaty,Grey,
d_nikke_c_1_05_36,d_nikke_c_1_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_05_36,True,,,,,L_130,L_130,1.0,,,yulha,13,idle,,Grey,
d_nikke_c_1_05_37,d_nikke_c_1_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_05_37,True,,,,,L_130,L_130,1.0,,,,13,idle,,Grey,
d_nikke_c_1_05_38,d_nikke_c_1_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_05_38,True,,,,,L_130,L_130,1.0,,,,13,idle,,Grey,
d_nikke_c_1_05_39,d_nikke_c_1_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_05_39,True,,,,,L_130,13,1.0,,,,13,idle,,Grey,
d_nikke_c_1_05_40,d_nikke_c_1_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_c_1_05_40,True,,,,,13,13,1.0,,,,13,idle,,Grey,
d_nikke_c_1_05_41,d_nikke_c_1_05,Monologue,,,Locale_NikkeEpisode:d_nikke_c_1_05_41,False,andersen,1,idle,Office,black,black,1.0,,,,13,idle,yulha,Grey,
d_nikke_c_1_05_42,d_nikke_c_1_05,Self,,,Locale_NikkeEpisode:d_nikke_c_1_05_42,False,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_c_1_05_43,d_nikke_c_1_05,Choice,,,Locale_NikkeEpisode:d_nikke_c_1_05_43,False,,1,idle,,L_10,L_10,1.0,,,,,,,,d_nikke_c_1_05_45
d_nikke_c_1_05_44,d_nikke_c_1_05,Choice,,,Locale_NikkeEpisode:d_nikke_c_1_05_44,False,,1,idle,,L_10,L_10,1.0,,,,,,,,d_nikke_c_1_05_48
d_nikke_c_1_05_45,d_nikke_c_1_05,Speech,andersen,andersen,Locale_NikkeEpisode:d_nikke_c_1_05_45,True,,1,idle,,L_10,L_10,1.0,,,,,,,,
