id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_maiden_03_1,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_1,False,CommanderRoom,1,S_10,1.0,bgm_story_whosdumber,,,,maiden,1,shy,,,,,,,,
d_nikke_maiden_03_2,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_2,True,,S_10,S_10,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_3,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_3,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_4,d_nikke_maiden_03,Self,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_4,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_5,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_5,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_6,d_nikke_maiden_03,Self,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_6,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_7,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_7,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_8,d_nikke_maiden_03,Self,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_8,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_9,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_9,True,,S_10,S_100,0.5,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_10,d_nikke_maiden_03,Self,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_10,False,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_11,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_11,True,,S_100,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_12,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_12,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_13,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_13,False,,black,black,1.0,none,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_14,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_14,False,,S_10,S_10,1.0,bgm_story_heynewbie,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_15,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_15,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_16,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_16,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_17,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_17,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_18,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_18,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_19,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_19,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_20,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_20,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_21,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_21,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_22,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_22,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_23,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_23,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_24,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_24,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_25,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_25,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_26,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_26,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_27,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_27,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_28,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_28,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_29,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_29,False,,S_10,S_100,2.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_30,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_30,True,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_31,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_31,True,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_32,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_32,False,,black,black,1.0,none,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_33,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_33,False,,S_50,S_10,2.0,bgm_story_darklord,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_34,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_34,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_35,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_35,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_36,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_36,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_37,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_37,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_38,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_38,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_39,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_39,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_40,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_40,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_41,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_41,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_42,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_42,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_43,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_43,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_44,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_44,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_45,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_45,True,,S_10,S_100,2.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_46,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_46,True,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_47,d_nikke_maiden_03,Narration,,,Locale_NikkeEpisode:d_nikke_maiden_03_47,False,,black,black,1.0,none,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_48,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_48,True,,black,black,1.0,bgm_story_heynewbie,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_49,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_49,True,,S_10,S_10,2.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_50,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_50,True,,S_10,S_10,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_51,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_51,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_52,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_52,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_53,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_53,True,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_54,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_54,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_55,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_55,True,,S_10,S_100,0.5,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_56,d_nikke_maiden_03,Self,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_56,False,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_57,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_57,False,,S_100,S_100,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_58,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_58,False,,black,black,1.0,,,,,,1,shy,,,,,,,,
d_nikke_maiden_03_59,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_59,True,,S_10,S_100,0.5,,,,,,1,angry,,,,,,,,
d_nikke_maiden_03_60,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_60,True,,S_100,S_100,1.0,,,,,,1,angry,,,,,,,,
d_nikke_maiden_03_61,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_61,True,,S_100,S_100,1.0,,,,,,1,angry,,,,,,,,
d_nikke_maiden_03_62,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_62,True,,S_100,S_100,1.0,,,,,,1,angry,,,,,,,,
d_nikke_maiden_03_63,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_63,True,,S_100,S_10,0.5,,,,,,1,angry,,,,,,,,
d_nikke_maiden_03_64,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_64,True,,S_10,S_10,1.0,,,,,,1,angry,,,,,,,,
d_nikke_maiden_03_65,d_nikke_maiden_03,Narration,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_65,False,,black,black,1.0,none,,,,,1,angry,,,,,,,,
d_nikke_maiden_03_66,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_66,False,,S_190,S_10,3.0,bgm_story_herecomestrouble,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_67,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_67,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_68,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_68,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_69,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_69,False,,S_10,S_10,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_70,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_70,True,,S_10,S_100,2.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_71,d_nikke_maiden_03,Speech,maiden,maiden,Locale_NikkeEpisode:d_nikke_maiden_03_71,True,,S_100,S_100,1.0,,,,,,1,idle,,,,,,,,
d_nikke_maiden_03_72,d_nikke_maiden_03,Monologue,maiden,,Locale_NikkeEpisode:d_nikke_maiden_03_72,False,,S_100,S_100,1.0,,,,,,1,idle,,,,,,,,
