id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_filter_01,characters/4/hide_char_id,fade
d_nikke_nihilister_02_1,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_1,True,nihilister,1,idle,rapi,5,idle,anis,3,void,neon,7,idle,Volcano_04,1,1,1.0,bgm_volcanicnest,,,,,,,,,,,
d_nikke_nihilister_02_2,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_2,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_3,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_3,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_4,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_4,False,,1,idle,,5,idle,,3,void,,7,idle,,1,10,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_5,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_5,True,,1,idle,,5,idle,,3,void,,7,idle,,10,10,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_6,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_6,True,,1,idle,,5,idle,,3,void,,7,idle,,10,10,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_7,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_7,True,,1,idle,,5,idle,,3,void,,7,idle,,10,10,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_8,d_nikke_nihilister_02,Choice,nihilister,,Locale_NikkeEpisode:d_nikke_nihilister_02_8,False,,1,idle,,5,idle,,3,void,,7,idle,,10,10,1.0,,d_nikke_nihilister_02_11,,,,,,,,,,
d_nikke_nihilister_02_9,d_nikke_nihilister_02,Choice,nihilister,,Locale_NikkeEpisode:d_nikke_nihilister_02_9,False,,1,idle,,5,idle,,3,void,,7,idle,,10,10,1.0,,d_nikke_nihilister_02_15,,,,,,,,,,
d_nikke_nihilister_02_10,d_nikke_nihilister_02,Choice,nihilister,,Locale_NikkeEpisode:d_nikke_nihilister_02_10,False,,1,idle,,5,idle,,3,void,,7,idle,,10,10,1.0,,d_nikke_nihilister_02_16,,,,,,,,,,
d_nikke_nihilister_02_11,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_11,True,,1,angry2,,5,idle,,3,void,,7,idle,,10,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_12,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_12,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_13,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_13,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_14,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_14,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,d_nikke_nihilister_02_19,,,,,,,,,,
d_nikke_nihilister_02_15,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_15,True,,1,smile,,5,idle,,3,void,,7,idle,,10,1,1.0,,d_nikke_nihilister_02_19,,,,,,,,,,
d_nikke_nihilister_02_16,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_16,True,,1,idle,,5,idle,,3,void,,7,idle,,10,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_17,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_17,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_18,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_18,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,d_nikke_nihilister_02_19,,,,,,,,,,
d_nikke_nihilister_02_19,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_19,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_20,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_20,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_21,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_21,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_22,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_22,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_23,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_23,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_24,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_24,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_25,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_25,True,,1,idle,,5,idle,,3,void,,7,idle,DeepWater,1,1,1.0,,,nihilister,rapi,anis,neon,liberalio,1,idle,Grey,,
d_nikke_nihilister_02_26,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_26,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,1,idle,Grey,,
d_nikke_nihilister_02_27,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_27,True,nihilister,1,idle,rapi,5,idle,anis,3,void,neon,7,idle,Volcano_04,1,1,1.0,,,,,,,,1,idle,,liberalio,
d_nikke_nihilister_02_28,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_28,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_29,d_nikke_nihilister_02,Speech,nihilister,nihilister,Locale_NikkeEpisode:d_nikke_nihilister_02_29,True,,1,idle,,5,idle,,3,void,,7,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_30,d_nikke_nihilister_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_02_30,False,,1,idle,,5,idle,,3,void,,7,idle,,1,4,2.0,,,,,,,,,,,,
d_nikke_nihilister_02_31,d_nikke_nihilister_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_nihilister_02_31,False,,1,idle,,5,idle,,3,void,,7,idle,,4,4,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_32,d_nikke_nihilister_02,Monologue,anis,,Locale_NikkeEpisode:d_nikke_nihilister_02_32,False,,1,idle,,5,idle,,3,void,,7,idle,,4,4,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_33,d_nikke_nihilister_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_02_33,True,,1,idle,,5,idle,,3,void,,7,idle,,4,5,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_34,d_nikke_nihilister_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_02_34,True,,1,idle,,5,idle,,3,void,,7,idle,,5,5,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_35,d_nikke_nihilister_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_02_35,True,,1,idle,,5,idle,,3,void,,7,idle,,5,50,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_36,d_nikke_nihilister_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_02_36,True,,1,idle,,5,idle,,3,void,,7,idle,,50,50,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_37,d_nikke_nihilister_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_nihilister_02_37,True,,1,idle,,5,think,,3,void,,7,idle,,50,50,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_38,d_nikke_nihilister_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_nihilister_02_38,True,,1,idle,,5,think,,3,worry,,7,idle,,50,30,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_39,d_nikke_nihilister_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_nihilister_02_39,True,,1,idle,,5,idle,,3,worry,,7,idle,,30,30,1.0,,,,,,,,,,,,
d_nikke_nihilister_02_40,d_nikke_nihilister_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_nihilister_02_40,True,,1,idle,,5,idle,,3,worry,,7,idle,,30,30,1.0,,,,,,,,,,,,
