id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,play_sound,fade
d_nikke_clay_02_1,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_1,True,frima,12,idle,Cafe,120,120,1.0,bgm_story_leisuretime,,,,,,
d_nikke_clay_02_2,d_nikke_clay_02,Self,,,Locale_NikkeEpisode:d_nikke_clay_02_2,False,,12,idle,,120,120,1.0,,,,,,,
d_nikke_clay_02_3,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_3,True,,12,idle,,120,1,1.0,,clay,2,idle,,,
d_nikke_clay_02_4,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_4,True,,12,delight,,1,1,1.0,,,2,idle,,,
d_nikke_clay_02_5,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_5,True,,12,idle,,1,1,1.0,,,2,idle,,,
d_nikke_clay_02_6,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_6,True,,12,idle,,1,1,1.0,,,2,idle,,,
d_nikke_clay_02_7,d_nikke_clay_02,Self,,,Locale_NikkeEpisode:d_nikke_clay_02_7,False,,12,idle,,1,1,1.0,,,2,idle,,,
d_nikke_clay_02_8,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_8,True,,12,idle,,1,120,1.0,,,2,idle,,,
d_nikke_clay_02_9,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_9,True,,12,idle,,120,120,1.0,,,2,idle,,,
d_nikke_clay_02_10,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_10,True,,12,idle,,120,120,1.0,,,2,idle,,,
d_nikke_clay_02_11,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_11,True,,12,idle,,120,120,1.0,,,2,idle,,,
d_nikke_clay_02_12,d_nikke_clay_02,Self,,,Locale_NikkeEpisode:d_nikke_clay_02_12,False,,12,idle,,120,120,1.0,,,2,idle,,,
d_nikke_clay_02_13,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_13,True,,12,idle,,120,1,1.0,,,2,idle,,,
d_nikke_clay_02_14,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_14,True,,12,idle,,1,1,1.0,,,2,idle,,,
d_nikke_clay_02_15,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_15,True,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_16,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_16,True,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_17,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_17,False,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_18,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_18,True,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_19,d_nikke_clay_02,Monologue,,,Locale_NikkeEpisode:d_nikke_clay_02_19,False,,12,idle,,black,black,1.0,,,2,sad,,,
d_nikke_clay_02_20,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_20,True,,12,think,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_21,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_21,True,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_22,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_22,True,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_23,d_nikke_clay_02,Self,,,Locale_NikkeEpisode:d_nikke_clay_02_23,False,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_24,d_nikke_clay_02,Self,,,Locale_NikkeEpisode:d_nikke_clay_02_24,False,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_25,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_25,False,,12,surprise,,1,1200,1.0,,,2,sad,Low_2,,
d_nikke_clay_02_26,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_26,True,,12,surprise,,1200,1200,1.0,,,2,sad,,,
d_nikke_clay_02_27,d_nikke_clay_02,Self,,,Locale_NikkeEpisode:d_nikke_clay_02_27,False,,12,surprise,,1200,1200,1.0,,,2,sad,,,
d_nikke_clay_02_28,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_28,True,,12,surprise,,1200,1,1.0,,,2,sad,,,
d_nikke_clay_02_29,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_29,True,,12,surprise,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_30,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_30,True,,12,idle,,1,1,1.0,,,2,sad,,,
d_nikke_clay_02_31,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_31,True,,12,idle,,1,1,1.0,,,2,surprise,,,
d_nikke_clay_02_32,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_32,True,,12,idle,,1,1,1.0,,,2,surprise,,,
d_nikke_clay_02_33,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_33,True,,12,idle,,1,1,1.0,,,2,surprise,,,
d_nikke_clay_02_34,d_nikke_clay_02,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_02_34,True,,12,idle,,1,1,1.0,,,2,surprise,,,
d_nikke_clay_02_35,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_35,True,,12,idle,,1,1,1.0,,,2,surprise,,,
d_nikke_clay_02_36,d_nikke_clay_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_clay_02_36,True,,12,idle,,1,1,1.0,,,2,surprise,,,
d_nikke_clay_02_37,d_nikke_clay_02,Monologue,,,Locale_NikkeEpisode:d_nikke_clay_02_37,False,,12,idle,,1,1,1.0,,,2,surprise,,sfx_scn_phonevibration,
d_nikke_clay_02_38,d_nikke_clay_02,Self,,,Locale_NikkeEpisode:d_nikke_clay_02_38,False,,12,idle,,1,1,1.0,,,2,surprise,,,
