id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_nikke_ce005_03_01_1,d_nikke_ce005_03_01,Narration,Locale_NikkeEpisode:d_nikke_ce005_03_01_1,False,Hospital,1,1,1.0,none,,,,,,,,,,,
d_nikke_ce005_03_01_2,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_2,True,,1,event_exnii_talk_14,1.0,bgm_story_backtonormal,ce005_03,ce005_03,ce005_03,1,idle,idollsun,3,idle,,,
d_nikke_ce005_03_01_3,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_3,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,idollsun,npc_massnikke,,1,idle,,3,idle,,,
d_nikke_ce005_03_01_4,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_4,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,idollsun,npc_massnikke,,1,idle,,3,idle,,,
d_nikke_ce005_03_01_5,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_5,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,ce005_03,ce005_03,,1,idle,,3,idle,,,
d_nikke_ce005_03_01_6,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_6,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,ce005_03,ce005_03,,1,idle,,3,idle,,,
d_nikke_ce005_03_01_7,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_7,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,idollsun,npc_massnikke,,1,sad,,3,idle,,,
d_nikke_ce005_03_01_8,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_8,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,ce005_03,ce005_03,,1,sad,,3,idle,,,
d_nikke_ce005_03_01_9,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_9,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,ce005_03,ce005_03,,1,sad,,3,idle,,,
d_nikke_ce005_03_01_10,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_10,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,ce005_03,ce005_03,,1,sad,,3,idle,,,
d_nikke_ce005_03_01_11,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_11,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,ce005_03,ce005_03,,1,sad,,3,idle,,,
d_nikke_ce005_03_01_12,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_12,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,ce005_03,ce005_03,,1,sad,,3,idle,,,
d_nikke_ce005_03_01_13,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_13,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,idollsun,npc_massnikke,,1,sad,,3,idle,,,
d_nikke_ce005_03_01_14,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_14,True,,event_exnii_talk_14,event_exnii_talk_14,1.0,,ce005_03,ce005_03,,1,sad,,3,idle,,,
d_nikke_ce005_03_01_15,d_nikke_ce005_03_01,Monologue,Locale_NikkeEpisode:d_nikke_ce005_03_01_15,False,EzsUp,black,black,1.0,,,,,1,sad,,3,idle,ce005_03,idollsun,
d_nikke_ce005_03_01_16,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_16,True,,1,1,1.0,,ce005_03,ce005_03,ce005_03,1,sad,,,,,,black
d_nikke_ce005_03_01_17,d_nikke_ce005_03_01,Self,Locale_NikkeEpisode:d_nikke_ce005_03_01_17,False,,1,1,1.0,,ce005_03,,,1,sad,,,,,,
d_nikke_ce005_03_01_18,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_18,True,,1,1,1.0,,ce005_03,ce005_03,,1,no,,,,,,
d_nikke_ce005_03_01_19,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_19,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_20,d_nikke_ce005_03_01,Self,Locale_NikkeEpisode:d_nikke_ce005_03_01_20,False,,1,1,1.0,,ce005_03,,,1,idle,,,,,,
d_nikke_ce005_03_01_21,d_nikke_ce005_03_01,Self,Locale_NikkeEpisode:d_nikke_ce005_03_01_21,False,,1,1,1.0,,ce005_03,,,1,idle,,,,,,
d_nikke_ce005_03_01_22,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_22,True,,1,1,1.0,,ce005_03,ce005_03,,1,think,,,,,,
d_nikke_ce005_03_01_23,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_23,True,,1,1,1.0,,ce005_03,ce005_03,,1,think,,,,,,
d_nikke_ce005_03_01_24,d_nikke_ce005_03_01,Self,Locale_NikkeEpisode:d_nikke_ce005_03_01_24,False,,1,1,1.0,,ce005_03,,,1,idle,,,,,,
d_nikke_ce005_03_01_25,d_nikke_ce005_03_01,Self,Locale_NikkeEpisode:d_nikke_ce005_03_01_25,True,,1,1,1.0,,ce005_03,,,1,idle,,,,,,
d_nikke_ce005_03_01_26,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_26,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
d_nikke_ce005_03_01_27,d_nikke_ce005_03_01,Speech,Locale_NikkeEpisode:d_nikke_ce005_03_01_27,True,,1,1,1.0,,ce005_03,ce005_03,,1,idle,,,,,,
