id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,set_camera_shake,characters/0/hide_char_id,fade
d_nikke_phantom_02_1,d_nikke_phantom_02,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_1,False,Library,7,7,1.0,bgm_story_backtonormal,,,,,,,,
d_nikke_phantom_02_2,d_nikke_phantom_02,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_2,False,,7,7,1.0,,,,,,,,,
d_nikke_phantom_02_3,d_nikke_phantom_02,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_3,False,,7,7,1.0,,,,,,,,,
d_nikke_phantom_02_4,d_nikke_phantom_02,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_4,False,,7,7,1.0,,,,,,,,,
d_nikke_phantom_02_5,d_nikke_phantom_02,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_5,False,,7,7,1.0,,,,,,,,,
d_nikke_phantom_02_6,d_nikke_phantom_02,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_6,False,,7,7,1.0,,,,,,,,,
d_nikke_phantom_02_7,d_nikke_phantom_02,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_7,False,,7,7,1.0,,,,,,,,,
d_nikke_phantom_02_8,d_nikke_phantom_02,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_8,False,,7,7,1.0,,,,,,,,,
d_nikke_phantom_02_9,d_nikke_phantom_02,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_9,False,,7,1,1.0,,,,,,,,,
d_nikke_phantom_02_10,d_nikke_phantom_02,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_10,False,,1,17,1.0,,,,,,,,,
d_nikke_phantom_02_11,d_nikke_phantom_02,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_11,False,,black,black,1.0,,,,,,,,,
d_nikke_phantom_02_12,d_nikke_phantom_02,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_12,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_02_13,d_nikke_phantom_02,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_13,False,,1,1,1.0,,sfx_scn_metalbutton,,,,,,,
d_nikke_phantom_02_14,d_nikke_phantom_02,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_14,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_02_15,d_nikke_phantom_02,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_15,False,,black,black,1.0,,sfx_scn_button,,,,,,,
d_nikke_phantom_02_16,d_nikke_phantom_02,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_16,False,,black,black,1.0,,sfx_scn_metalboxopenslowly,,,,,,,
d_nikke_phantom_02_17,d_nikke_phantom_02,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_17,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_02_18,d_nikke_phantom_02,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_18,False,,1,L_10,1.0,,,phantom,1,idle_02,,,,
d_nikke_phantom_02_19,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_19,True,,L_10,L_10,1.0,,,,1,idle_02,phantom,,,
d_nikke_phantom_02_20,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_20,True,,L_10,L_10,1.0,,,,1,idle_02,phantom,,,
d_nikke_phantom_02_21,d_nikke_phantom_02,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_21,False,,L_10,L_10,1.0,,,,1,idle_02,,,,
d_nikke_phantom_02_22,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_22,True,,L_10,L_10,1.0,,,,1,idle_02,phantom,,,
d_nikke_phantom_02_23,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_23,True,,L_10,L_10,1.0,,,,1,idle_02,phantom,,,
d_nikke_phantom_02_24,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_24,True,,L_10,L_10,1.0,,,,1,idle_02,phantom,,,
d_nikke_phantom_02_25,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_25,True,,L_10,L_10,1.0,,,,1,idle_02,phantom,,,
d_nikke_phantom_02_26,d_nikke_phantom_02,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_26,False,,L_10,L_10,1.0,,,,1,idle_02,,,,
d_nikke_phantom_02_27,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_27,True,,L_10,L_100,1.0,,,,1,idle_02,phantom,,,
d_nikke_phantom_02_28,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_28,True,,L_100,L_100,1.0,,,,1,no_02,phantom,,,
d_nikke_phantom_02_29,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_29,True,,L_100,L_100,1.0,,,,1,no_02,phantom,,,
d_nikke_phantom_02_30,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_30,True,,L_100,L_100,1.0,,,,1,no_02,phantom,,,
d_nikke_phantom_02_31,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_31,True,,L_100,L_100,1.0,,,,1,no_02,phantom,,,
d_nikke_phantom_02_32,d_nikke_phantom_02,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_32,False,,L_100,L_100,1.0,,,,1,no_02,,,,
d_nikke_phantom_02_33,d_nikke_phantom_02,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_02_33,True,,L_100,L_10,1.0,,,,1,idle_02,phantom,,,
