id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,play_sound,set_camera_shake,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id
d_nikke_Mary_BayGoddess_03_1,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_1,True,mary_s,1,idle,rapi_s,13,idle,LogHouseOut_d,130,130,1.0,bgm_story_breakaway,,,,,,,,,
d_nikke_Mary_BayGoddess_03_2,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_2,True,,1,idle,,13,idle,,130,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_3,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_3,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_4,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_4,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_5,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_5,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_6,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_6,True,,1,idle,,13,idle,,130,130,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_7,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_7,True,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_8,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_8,True,,1,idle,,13,idle,,130,130,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_9,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_9,True,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_10,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_10,True,,1,idle,,13,idle,,130,130,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_11,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_11,True,,1,idle,,13,idle,,130,130,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_12,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_12,True,,1,idle,,13,idle,,130,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_13,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_13,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_14,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_14,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_15,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_15,True,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_16,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_16,True,,1,idle,,13,idle,,12,130,2.0,none,,,,,,,,,
d_nikke_Mary_BayGoddess_03_17,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_17,True,,1,idle,,13,idle,,130,130,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_18,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_18,True,,1,idle,,13,idle,,10,10,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_19,d_nikke_Mary_BayGoddess_03,Speech,rapi_s,rapi_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_19,True,,1,idle,,13,idle,,130,130,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_20,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_20,True,,1,idle,,13,idle,,130,12,1.0,,,,,,,,,,
d_nikke_Mary_BayGoddess_03_21,d_nikke_Mary_BayGoddess_03,Narration,mary_s,,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_21,False,,1,idle,,13,idle,Beach_d,13,2,2.0,bgm_story_breakaway,volt,3,idle,black,,,,,
d_nikke_Mary_BayGoddess_03_22,d_nikke_Mary_BayGoddess_03,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_22,True,,1,idle,,13,idle,,2,2,1.0,,,3,idle,,,,,,
d_nikke_Mary_BayGoddess_03_23,d_nikke_Mary_BayGoddess_03,Speech,volt,volt,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_23,True,,1,idle,,13,idle,,2,2,1.0,,,3,idle,,sfx_scn_dogbark,,,,
d_nikke_Mary_BayGoddess_03_24,d_nikke_Mary_BayGoddess_03,Speech,volt,volt,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_24,True,,1,idle,,13,idle,,2,volt_30,1.0,,,3,idle,,,Low_2,,,
d_nikke_Mary_BayGoddess_03_25,d_nikke_Mary_BayGoddess_03,Speech,volt,volt,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_03_25,True,,1,idle,,13,idle,,volt_30,volt_300,0.5,,,3,idle,,,,,,
