id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,highlight,speaker,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_nikke_c_1_01_1,d_nikke_c_1_01,Narration,Locale_NikkeEpisode:d_nikke_c_1_01_1,False,andersen,1,idle,Office,black,black,1.0,sfx_scn_autodooropen,,,,,,,,,,,,,,,,,,
d_nikke_c_1_01_2,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_2,True,,1,idle,,1,1,1.0,,andersen,andersen,bgm_story_breakaway,,,,,,,,,,,,,,,
d_nikke_c_1_01_3,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_3,True,,1,idle,,1,1,1.0,,andersen,andersen,,,,,,,,,,,,,,,,
d_nikke_c_1_01_4,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_4,True,,1,idle,,1,L_10,2.0,,andersen,andersen,,,,,,,,,,,,,,,,
d_nikke_c_1_01_5,d_nikke_c_1_01,Choice,Locale_NikkeEpisode:d_nikke_c_1_01_5,False,,1,idle,,L_10,L_10,1.0,,andersen,,,d_nikke_c_1_01_7,,,,,,,,,,,,,,
d_nikke_c_1_01_6,d_nikke_c_1_01,Choice,Locale_NikkeEpisode:d_nikke_c_1_01_6,False,,1,idle,,L_10,L_10,1.0,,andersen,,,d_nikke_c_1_01_8,,,,,,,,,,,,,,
d_nikke_c_1_01_7,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_7,True,,1,idle,,L_10,L_10,1.0,,andersen,andersen,,d_nikke_c_1_01_9,,,,,,,,,,,,,,
d_nikke_c_1_01_8,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_8,True,,1,idle,,L_10,L_10,1.0,,andersen,andersen,,d_nikke_c_1_01_9,,,,,,,,,,,,,,
d_nikke_c_1_01_9,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_9,True,,1,idle,,L_10,L_10,1.0,,andersen,andersen,,,,,,,,,,,,,,,,
d_nikke_c_1_01_10,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_10,True,,1,idle,,L_10,L_100,1.0,,andersen,andersen,,,,,,,,,,,,,,,,
d_nikke_c_1_01_11,d_nikke_c_1_01,Self,Locale_NikkeEpisode:d_nikke_c_1_01_11,False,,1,idle,,L_100,L_100,1.0,,andersen,,,,,,,,,,,,,,,,,
d_nikke_c_1_01_12,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_12,True,,1,idle,,L_100,L_100,1.0,,andersen,andersen,,,,,,,,,,,,,,,,
d_nikke_c_1_01_13,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_13,True,,1,idle,,L_100,L_100,1.0,,andersen,andersen,,,,,,,,,,,,,,,,
d_nikke_c_1_01_14,d_nikke_c_1_01,Speech,Locale_NikkeEpisode:d_nikke_c_1_01_14,True,,1,idle,,L_100,L_10,2.0,,andersen,andersen,,,,,,,,,,,,,,,,
