id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,set_camera_shake
d_nikke_nero_01_1,d_nikke_nero_01,Narration,Locale_NikkeEpisode:d_nikke_nero_01_1,False,CommanderRoom,black,black,1.0,sfx_scn_autodooropen,bgm_story_breakaway,,,,,,,,,
d_nikke_nero_01_2,d_nikke_nero_01,Monologue,Locale_NikkeEpisode:d_nikke_nero_01_2,False,,5,5,1.0,,,,,,,,,,,
d_nikke_nero_01_3,d_nikke_nero_01,Monologue,Locale_NikkeEpisode:d_nikke_nero_01_3,False,,5,5,1.0,,,,,,,,,,,
d_nikke_nero_01_4,d_nikke_nero_01,Monologue,Locale_NikkeEpisode:d_nikke_nero_01_4,False,,5,5,1.0,,,,,,,,,,,
d_nikke_nero_01_5,d_nikke_nero_01,Self,Locale_NikkeEpisode:d_nikke_nero_01_5,False,,5,5,1.0,,,,,,,,,,,
d_nikke_nero_01_6,d_nikke_nero_01,Self,Locale_NikkeEpisode:d_nikke_nero_01_6,False,,5,L_50,1.0,,,,,,,,,,,
d_nikke_nero_01_7,d_nikke_nero_01,Narration,Locale_NikkeEpisode:d_nikke_nero_01_7,False,,L_50,L_50,1.0,,,,,,,,,,,
d_nikke_nero_01_8,d_nikke_nero_01,Monologue,Locale_NikkeEpisode:d_nikke_nero_01_8,False,,L_50,L_50,1.0,,,,,,,,,,,
d_nikke_nero_01_9,d_nikke_nero_01,Monologue,Locale_NikkeEpisode:d_nikke_nero_01_9,False,,L_50,L_50,1.0,,,,,,,,,,,
d_nikke_nero_01_10,d_nikke_nero_01,Self,Locale_NikkeEpisode:d_nikke_nero_01_10,False,,L_50,L_50,1.0,,,,,,,,,,,
d_nikke_nero_01_11,d_nikke_nero_01,Choice,Locale_NikkeEpisode:d_nikke_nero_01_11,False,,L_50,L_50,1.0,,,d_nikke_nero_01_13,,,,,,,,
d_nikke_nero_01_12,d_nikke_nero_01,Choice,Locale_NikkeEpisode:d_nikke_nero_01_12,False,,L_50,L_50,1.0,,,d_nikke_nero_01_13,,,,,,,,
