id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_eleggboomandshock_01_1,d_nikke_eleggboomandshock_01,Monologue,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_1,False,CruiseShipPool_d,black,black,1.0,bgm_story_orangepop,,,,,elegg_s,1,think
d_nikke_eleggboomandshock_01_2,d_nikke_eleggboomandshock_01,Monologue,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_2,False,,black,black,1.0,,,,,,,1,think
d_nikke_eleggboomandshock_01_3,d_nikke_eleggboomandshock_01,Speech,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_3,True,,S_100,S_10,1.0,,elegg_s,elegg_s,,,,1,think
d_nikke_eleggboomandshock_01_4,d_nikke_eleggboomandshock_01,Self,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_4,False,,S_10,S_10,1.0,,elegg_s,,,,,1,think
d_nikke_eleggboomandshock_01_5,d_nikke_eleggboomandshock_01,Speech,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_5,True,,S_10,S_10,1.0,,elegg_s,elegg_s,,,,1,idle
d_nikke_eleggboomandshock_01_6,d_nikke_eleggboomandshock_01,Self,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_6,False,,S_10,S_10,1.0,,elegg_s,,,,,1,idle
d_nikke_eleggboomandshock_01_7,d_nikke_eleggboomandshock_01,Self,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_7,False,,S_10,S_10,1.0,,elegg_s,,,,,1,idle
d_nikke_eleggboomandshock_01_8,d_nikke_eleggboomandshock_01,Speech,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_8,True,,S_10,S_10,1.0,,elegg_s,elegg_s,,,,1,idle
d_nikke_eleggboomandshock_01_9,d_nikke_eleggboomandshock_01,Speech,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_9,True,,S_10,S_10,1.0,,elegg_s,elegg_s,,,,1,idle
d_nikke_eleggboomandshock_01_10,d_nikke_eleggboomandshock_01,Speech,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_10,True,,S_10,S_10,1.0,,elegg_s,elegg_s,,,,1,idle
d_nikke_eleggboomandshock_01_11,d_nikke_eleggboomandshock_01,Self,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_11,False,,S_10,S_10,1.0,,elegg_s,,,,,1,idle
d_nikke_eleggboomandshock_01_12,d_nikke_eleggboomandshock_01,Speech,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_12,True,,S_10,S_10,1.0,,elegg_s,elegg_s,,,,1,idle
d_nikke_eleggboomandshock_01_13,d_nikke_eleggboomandshock_01,Self,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_13,False,,S_10,S_10,1.0,,elegg_s,,,,,1,idle
d_nikke_eleggboomandshock_01_14,d_nikke_eleggboomandshock_01,Speech,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_14,True,,S_10,S_10,1.0,,elegg_s,elegg_s,,,,1,idle
d_nikke_eleggboomandshock_01_15,d_nikke_eleggboomandshock_01,Self,Locale_NikkeEpisode:d_nikke_eleggboomandshock_01_15,False,,S_10,S_10,1.0,,elegg_s,,,,,1,idle
