id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_nikke_liter_03_1,d_nikke_liter_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_03_1,True,NikkeRoom,1,1,1.0,none,,,,,,,,anis,1,idle,,,,,,neon,16,idle,,,,
d_nikke_liter_03_2,d_nikke_liter_03,Narration,,Narration,Locale_NikkeEpisode:d_nikke_liter_03_2,False,,black,black,1.0,,sfx_scn_swing,,,,,,,,1,idle,,,,,,,16,idle,,,,
d_nikke_liter_03_3,d_nikke_liter_03,Narration,,Narration,Locale_NikkeEpisode:d_nikke_liter_03_3,False,,black,black,1.0,,sfx_scn_hit,,,,,,,,1,idle,,,,,,,16,idle,,,,
d_nikke_liter_03_4,d_nikke_liter_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_03_4,True,,1,10,0.7,bgm_story_herecomestrouble,,,,,,,,,1,angry,,,,,,,16,idle,,,,
d_nikke_liter_03_5,d_nikke_liter_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_03_5,True,,10,10,1.0,,,,,,,,,,1,angry,,rapi,14,idle,,,16,idle,,,,
d_nikke_liter_03_6,d_nikke_liter_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_03_6,False,,10,10,1.0,,,,,,,,,,1,angry,,,14,idle,,,16,idle,,,,
d_nikke_liter_03_7,d_nikke_liter_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_03_7,True,,10,10,1.0,,,,,,,,,,1,angry,,,14,idle,,,16,idle,,,,
d_nikke_liter_03_8,d_nikke_liter_03,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_03_8,True,,10,2,1.0,,,,,liter,3,idle,,,1,angry,,,14,idle,,,16,idle,,,,
d_nikke_liter_03_9,d_nikke_liter_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_liter_03_9,True,,2,2,1.0,,,,,,3,idle,,,1,void,,,14,idle,,,16,idle,,,,
d_nikke_liter_03_10,d_nikke_liter_03,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_03_10,True,,2,2,1.0,,,,,,3,delight,,,1,void,,,14,idle,,,16,idle,,,,
d_nikke_liter_03_11,d_nikke_liter_03,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_03_11,True,,2,2,1.0,,,,,,3,delight,,,1,void,,,14,idle,,,16,idle,,,,
