id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,characters/1/hide_char_id
d_nikke_tia_01_1,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_1,True,tia,2,think,naga,12,idle,Classroom,2,2,1.0,bgm_story_orangepop,,,
d_nikke_tia_01_2,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_2,True,,2,think,,12,idle,,2,20,1.0,,,,
d_nikke_tia_01_3,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_3,True,,2,think,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_4,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_4,True,,2,think,,12,worry,,20,1,1.0,,,,
d_nikke_tia_01_5,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_5,True,,2,idle,,12,worry,,1,1,1.0,,,,
d_nikke_tia_01_6,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_6,True,,2,idle,,12,worry,,1,1,1.0,,,,
d_nikke_tia_01_7,d_nikke_tia_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_01_7,False,,2,idle,,12,idle,,black,black,1.0,,,,
d_nikke_tia_01_8,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_8,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_9,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_9,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_10,d_nikke_tia_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_01_10,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_11,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_11,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_12,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_12,True,,2,idle,,12,idle,,1,120,2.0,,,,
d_nikke_tia_01_13,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_13,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_nikke_tia_01_14,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_14,True,,2,idle,,12,idle,,120,120,1.0,,,,
d_nikke_tia_01_15,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_15,True,,2,idle,,12,idle,,120,20,0.5,,,,
d_nikke_tia_01_16,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_16,True,,2,idle,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_17,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_17,True,,2,idle,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_18,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_18,True,,2,idle,,12,idle,,20,200,1.0,,,,
d_nikke_tia_01_19,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_19,True,,2,idle,,12,idle,,200,200,1.0,,,,
d_nikke_tia_01_20,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_20,True,,2,idle,,12,worry,,120,120,1.0,,,,
d_nikke_tia_01_21,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_21,True,,2,idle,,12,worry,,120,120,1.0,,,,
d_nikke_tia_01_22,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_22,True,,2,delight,,12,idle,,120,1,1.0,,,,
d_nikke_tia_01_23,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_23,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_24,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_24,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_25,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_25,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_26,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_26,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_27,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_27,True,,2,idle,,12,surprise,,1,1,1.0,,,,
d_nikke_tia_01_28,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_28,True,,2,idle,,12,surprise,,1,1,1.0,,,,
d_nikke_tia_01_29,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_29,True,,2,idle,,12,worry,,1,1,1.0,,,,
d_nikke_tia_01_30,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_30,True,,2,worry,,12,idle,,1,20,1.0,,,,
d_nikke_tia_01_31,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_31,True,,2,worry,,12,idle,,20,200,1.0,,,,
d_nikke_tia_01_32,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_32,True,,2,idle,,12,idle,,200,20,0.7,,,,
d_nikke_tia_01_33,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_33,True,,2,idle,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_34,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_34,True,,2,delight,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_35,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_35,True,,2,delight,,12,void,,20,1,1.0,,,,
d_nikke_tia_01_36,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_36,True,,2,idle,,12,void,,1,1,1.0,,,,
d_nikke_tia_01_37,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_37,True,,2,sad,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_38,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_38,True,,2,sad,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_39,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_39,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_40,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_40,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_41,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_41,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_42,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_42,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_43,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_43,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_44,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_44,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_45,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_45,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_46,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_46,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_47,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_47,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_48,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_48,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_49,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_49,True,,2,idle,,12,idle,,1,20,1.0,,,,
d_nikke_tia_01_50,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_50,True,,2,idle,,12,idle,,20,20,1.0,,,,
d_nikke_tia_01_51,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_51,True,,2,idle,,12,delight,,20,120,1.0,,,,
d_nikke_tia_01_52,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_52,False,,2,idle,,12,idle,CommanderRoom,1,1,1.0,bgm_story_leisuretime,black,,
d_nikke_tia_01_53,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_53,False,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_54,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_54,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_55,d_nikke_tia_01,Narration,,Narration,Locale_NikkeEpisode:d_nikke_tia_01_55,False,,2,idle,,12,idle,,1,200,1.0,,,,
d_nikke_tia_01_56,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_56,True,,2,delight,,12,idle,,200,200,1.0,,,,
d_nikke_tia_01_57,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_57,False,,2,delight,,12,idle,,200,200,1.0,,,,
d_nikke_tia_01_58,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_58,True,,2,delight,,12,worry,,200,120,1.0,,,,
d_nikke_tia_01_59,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_59,True,,2,delight,,12,worry,,120,120,1.0,,,,
d_nikke_tia_01_60,d_nikke_tia_01,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_tia_01_60,False,,2,idle,,12,worry,,black,black,1.0,,,,
d_nikke_tia_01_61,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_61,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_62,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_62,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_63,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_63,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_64,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_64,True,,2,idle,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_65,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_65,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_66,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_66,True,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_67,d_nikke_tia_01,Self,,Self,Locale_NikkeEpisode:d_nikke_tia_01_67,False,,2,delight,,12,idle,,1,1,1.0,,,,
d_nikke_tia_01_68,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_68,True,,2,idle,,12,worry,,1,1,1.0,,,,
d_nikke_tia_01_69,d_nikke_tia_01,Speech,naga,naga,Locale_NikkeEpisode:d_nikke_tia_01_69,True,,2,idle,,12,delight,,1,1,1.0,,,,
d_nikke_tia_01_70,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_70,True,,2,idle,,12,delight,,1,20,1.0,,,,
d_nikke_tia_01_71,d_nikke_tia_01,Speech,tia,tia,Locale_NikkeEpisode:d_nikke_tia_01_71,True,,2,idle,,12,idle,,20,20,1.0,,,,
