id,group_id,speech_window,highlight,speaker,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_lipSync,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_nikke_eunhwa_01_1,d_nikke_eunhwa_01,Speech,eunhwa,eunhwa,Locale_NikkeEpisode:d_nikke_eunhwa_01_1,Armory,6,60,1.0,bgm_story_fairytalesend_a,,,eunhwa,6,idle,whiteowl,3,idle,purpleowl,1,idle,grayowl,13,idle,yellowowl,15,idle,blueowl,17,idle,redowl,19,idle,,,,
d_nikke_eunhwa_01_2,d_nikke_eunhwa_01,Speech,eunhwa,eunhwa,Locale_NikkeEpisode:d_nikke_eunhwa_01_2,,60,60,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
d_nikke_eunhwa_01_3,d_nikke_eunhwa_01,Speech,eunhwa,eunhwa,Locale_NikkeEpisode:d_nikke_eunhwa_01_3,,60,60,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
d_nikke_eunhwa_01_4,d_nikke_eunhwa_01,Speech,eunhwa,eunhwa,Locale_NikkeEpisode:d_nikke_eunhwa_01_4,,60,60,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
d_nikke_eunhwa_01_5,d_nikke_eunhwa_01,Speech,eunhwa,eunhwa,Locale_NikkeEpisode:d_nikke_eunhwa_01_5,,60,60,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
d_nikke_eunhwa_01_6,d_nikke_eunhwa_01,Speech,eunhwa,eunhwa,Locale_NikkeEpisode:d_nikke_eunhwa_01_6,,60,60,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
d_nikke_eunhwa_01_7,d_nikke_eunhwa_01,Speech,redowl,trainee2,Locale_NikkeEpisode:d_nikke_eunhwa_01_7,,60,19,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
d_nikke_eunhwa_01_8,d_nikke_eunhwa_01,Speech,blueowl,trainee3,Locale_NikkeEpisode:d_nikke_eunhwa_01_8,,19,17,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
d_nikke_eunhwa_01_9,d_nikke_eunhwa_01,Speech,yellowowl,trainee5,Locale_NikkeEpisode:d_nikke_eunhwa_01_9,,17,15,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
d_nikke_eunhwa_01_10,d_nikke_eunhwa_01,Speech,grayowl,trainee8,Locale_NikkeEpisode:d_nikke_eunhwa_01_10,,15,13,1.0,,True,,,6,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,,,
