id,group_id,speech_window,highlight,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,speaker,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,jump_target
d_nikke_maxwell_02_1,d_nikke_maxwell_02,Narration,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_1,none,6006,6006,1.0,bgm_story_herecomestrouble,,,,,,,,,,,,,,,
d_nikke_maxwell_02_2,d_nikke_maxwell_02,Narration,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_2,White,6006,1,1.0,,sfx_scn_snowwhiterifle,Middle,,,,,,,,,,,,,
d_nikke_maxwell_02_3,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_3,TrainingField,3,1,2.0,,,,maxwell,True,maxwell,1,delight,,,,,,,,
d_nikke_maxwell_02_4,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_4,,1,10,0.5,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_5,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_5,,10,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_6,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_6,,10,10,1.0,,,,,,,1,delight,,,,,,,,
d_nikke_maxwell_02_7,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_7,,10,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_8,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_8,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_9,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_9,,100,10,2.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_10,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_10,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_11,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_11,,10,10,1.0,,,,,False,,1,idle,,,,,,,,
d_nikke_maxwell_02_12,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_12,,10,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_13,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_13,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_14,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_14,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_15,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_15,,10,10,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_16,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_16,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_17,d_nikke_maxwell_02,Narration,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_17,,10,100,2.0,none,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_18,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_18,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_19,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_19,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_20,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_20,,100,100,1.0,,,,maxwell,True,,1,angry,,,,,,,,
d_nikke_maxwell_02_21,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_21,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_22,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_22,,100,100,1.0,,,,,False,,1,idle,,,,,,,,
d_nikke_maxwell_02_23,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_23,,100,10,0.5,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_24,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_24,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_25,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_25,,10,10,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_26,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_26,City,6,1,2.0,bgm_story_epicjazzymoods,,,,,,1,idle,black,,,,,,,
d_nikke_maxwell_02_27,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_27,,1,100,2.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_28,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_28,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_29,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_29,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_30,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_30,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_31,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_31,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_32,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_32,,100,100,1.0,,,,maxwell,True,,1,idle,,,,,,,,
d_nikke_maxwell_02_33,d_nikke_maxwell_02,Self,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_33,,100,100,1.0,,,,,,,1,idle,,,,,,,,
d_nikke_maxwell_02_34,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_34,,100,10,0.5,,,,maxwell,True,,1,delight,,,,,,,,
d_nikke_maxwell_02_35,d_nikke_maxwell_02,Speech,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_02_35,,10,10,1.0,,,,maxwell,True,,1,delight,,,,,,,,
