id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/hide_char_id,characters/1/hide_char_id,play_sound,conversation_id
d_nikke_yulha_05_1,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_1,True,admi,13,surprise,privaty,15,surprise,Office,S_150,S_150,1.0,bgm_story_whosdumber,,,,,,,
d_nikke_yulha_05_2,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_2,True,,13,surprise,,15,surprise,,S_150,S_150,1.0,,,,,,,,
d_nikke_yulha_05_3,d_nikke_yulha_05,Self,privaty,,Locale_NikkeEpisode:d_nikke_yulha_05_3,False,,13,surprise,,15,surprise,,S_150,S_150,1.0,,,,,,,,
d_nikke_yulha_05_4,d_nikke_yulha_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_yulha_05_4,True,,13,surprise,,15,surprise,,S_150,XS_130,1.0,,,,,,,,
d_nikke_yulha_05_5,d_nikke_yulha_05,Self,admi,,Locale_NikkeEpisode:d_nikke_yulha_05_5,False,,13,surprise,,15,surprise,,XS_130,XS_130,1.0,,,,,,,,
d_nikke_yulha_05_6,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_6,True,,13,surprise,,15,surprise,,XS_130,14,1.0,,,,,,,,
d_nikke_yulha_05_7,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_7,True,,13,surprise,,15,angry,,14,14,1.0,,,,,,,,
d_nikke_yulha_05_8,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_8,True,,13,surprise,,15,angry,,14,14,1.0,,,,,,,,
d_nikke_yulha_05_9,d_nikke_yulha_05,Self,privaty,,Locale_NikkeEpisode:d_nikke_yulha_05_9,False,,13,surprise,,15,angry,,14,14,1.0,,,,,,,,
d_nikke_yulha_05_10,d_nikke_yulha_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_05_10,True,,13,idle,,15,angry,,14,1,2.0,,yulha,1,angry,,,,
d_nikke_yulha_05_11,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_11,True,,13,idle,,15,angry,,S_150,S_150,1.0,,,1,sad,,,,
d_nikke_yulha_05_12,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_12,False,,13,idle,,15,surprise,,S_150,S_1500,0.5,,,1,sad,,,,
d_nikke_yulha_05_13,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_13,True,,13,idle,,15,surprise,,S_1500,S_1500,1.0,,,1,sad,,,,
d_nikke_yulha_05_14,d_nikke_yulha_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_05_14,True,,13,idle,,15,surprise,,L_10,L_10,1.0,,,1,sad,,,,
d_nikke_yulha_05_15,d_nikke_yulha_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_yulha_05_15,True,,13,idle,,15,surprise,,S_1500,S_1500,1.0,,,1,sad,,,,
d_nikke_yulha_05_16,d_nikke_yulha_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_05_16,True,,13,idle,,15,surprise,,L_10,L_10,1.0,,,1,idle,,,,
