id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,set_camera_shake,characters/1/hide_char_id,characters/0/hide_char_id,jump_target,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_nikke_viper_05_1,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_1,False,OuterRim,3,3,1.0,none,,,,,,,,,,,,,,,,,,,,,
d_nikke_viper_05_2,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_2,True,,3,3,1.0,bgm_inark,jackal,jackal,3,crazy,,,,,,,,,,,,,,,,,
d_nikke_viper_05_3,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_3,True,,3,13,1.0,,crow,,3,crazy,crow,13,idle,,,,,,,,,,,,,,
d_nikke_viper_05_4,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_4,True,,13,12,0.5,,viper,,3,crazy,,13,idle,viper,1,delight,,,,,,,,,,,
d_nikke_viper_05_5,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_5,True,,12,12,1.0,,viper,,3,crazy,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_6,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_6,False,,black,black,1.0,,,,3,crazy,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_7,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_7,False,,12,2,2.0,,,,3,crazy,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_8,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_8,True,,2,2,1.0,,jackal,,3,shy_01,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_9,d_nikke_viper_05,Speech,jackal,Locale_NikkeEpisode:d_nikke_viper_05_9,True,,2,2,1.0,,jackal,,3,angry,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_10,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_10,True,,2,10,1.5,,viper,,3,angry,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_11,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_11,True,,10,10,1.0,,viper,,3,angry,,13,idle,,1,shy,,,,,,,,,,,
d_nikke_viper_05_12,d_nikke_viper_05,Speech,viper,Locale_NikkeEpisode:d_nikke_viper_05_12,True,,10,10,1.0,,viper,,3,angry,,13,idle,,1,delight,,,,,,,,,,,
d_nikke_viper_05_13,d_nikke_viper_05,Speech,crow,Locale_NikkeEpisode:d_nikke_viper_05_13,True,,10,14,2.0,,crow,,3,angry,,13,angry,,1,delight,clubmanager,15,idle,,,,,,,,
d_nikke_viper_05_14,d_nikke_viper_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_viper_05_14,False,,black,black,1.0,,,,3,angry,,13,angry,,1,delight,,15,idle,,,,,,,,
d_nikke_viper_05_15,d_nikke_viper_05,Speech,clubmanager,Locale_NikkeEpisode:d_nikke_viper_05_15,False,,L_1500,15,0.3,,clubmanager,,3,angry,,13,angry,,1,delight,,15,idle,sfx_scn_hit,Low_2,,,,,,
d_nikke_viper_05_16,d_nikke_viper_05,Self,Self,Locale_NikkeEpisode:d_nikke_viper_05_16,False,,15,15,1.0,,,,3,angry,,13,angry,,1,delight,,15,idle,,,,,,,,
