id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/0/hide_char_id,set_filter_01,jump_target,set_camera_shake,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,fade
d_nikke_eunhwa_04_1,d_nikke_eunhwa_04,Narration,Locale_NikkeEpisode:d_nikke_eunhwa_04_1,False,Desert_03,15,333,2.0,bgm_distress_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_2,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_2,True,,333,333,1.0,,eunhwa_op,eunhwa,blueowl,5,idle,whiteowl,3,idle,yellowowl,1,idle,eunhwa_op,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_3,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_3,True,,333,333,1.0,,eunhwa_op,eunhwa,,5,idle,,3,idle,,1,idle,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_4,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_4,True,,8,8,1.0,,eunhwa_op,eunhwa,,5,idle,,3,idle,,1,idle,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_5,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_5,True,,8,4,1.0,,eunhwa_op,eunhwa,,5,idle,,3,idle,,1,idle,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_6,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_6,True,,4,4,1.0,,eunhwa_op,eunhwa,,5,idle,,3,idle,,1,idle,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_7,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_7,True,,4,4,1.0,,eunhwa_op,eunhwa,,5,idle,,3,idle,,1,idle,,OP_leftup,idle,ingrid_op_r,OP_rightup,idle,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_8,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_8,True,,4,2,2.0,,eunhwa_op,eunhwa,,5,idle,,3,idle,,1,idle,,OP_leftup,idle,,OP_rightup,idle,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_9,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_9,True,,2,2,1.0,,eunhwa_op,eunhwa,,5,idle,,3,idle,,1,idle,,OP_leftup,idle,,OP_rightup,idle,,,,,,,,,,,,,,,,,,
d_nikke_eunhwa_04_10,d_nikke_eunhwa_04,Speech,Locale_NikkeEpisode:d_nikke_eunhwa_04_10,True,,2,4,1.0,,eunhwa_op,eunhwa,,5,idle,,3,idle,,1,idle,,OP_leftup,idle,,OP_rightup,idle,sfx_scn_over,,,,,,,,,,,,,,,,,
