id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce006_02_05_1,d_nikke_ce006_02_05,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_1,False,Desert_03,black,black,1.0,none,,,ce006_02,2,no,com,12,idle
d_nikke_ce006_02_05_2,d_nikke_ce006_02_05,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_2,False,,black,black,1.0,,sfx_scn_rockcollapse,,,2,no,,12,idle
d_nikke_ce006_02_05_3,d_nikke_ce006_02_05,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_3,False,,black,black,1.0,,,,,2,no,,12,idle
d_nikke_ce006_02_05_4,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_4,False,,black,black,1.0,bgm_destroyingcalamity,,com,,2,no,,12,idle
d_nikke_ce006_02_05_5,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_5,True,,1,1,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_6,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_6,True,,1,1,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_7,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_7,True,,1,1,1.0,,,ce006_02,,2,surprise,,12,idle
d_nikke_ce006_02_05_8,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_8,True,,1,1,1.0,,,ce006_02,,2,surprise,,12,idle
d_nikke_ce006_02_05_9,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_9,True,,1,1,1.0,,,ce006_02,,2,surprise,,12,idle
d_nikke_ce006_02_05_10,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_10,True,,1,1,1.0,,,com,,2,surprise,,12,idle
d_nikke_ce006_02_05_11,d_nikke_ce006_02_05,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_11,False,,1,120,1.3,,,,,2,surprise,,12,idle
d_nikke_ce006_02_05_12,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_12,False,,black,black,1.0,,,com,,2,surprise,,12,idle
d_nikke_ce006_02_05_13,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_13,True,,1,1,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_05_14,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_14,True,,1,1,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_15,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_15,True,,1,1,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_16,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_16,True,,1,1,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_05_17,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_17,False,,1,1,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_18,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_18,True,,1,1,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_05_19,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_19,True,,1,1,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_20,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_20,True,,1,1,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_05_21,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_21,True,,1,120,1.3,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_22,d_nikke_ce006_02_05,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_22,False,,120,120,1.0,,,,,2,no,,12,idle
d_nikke_ce006_02_05_23,d_nikke_ce006_02_05,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_23,False,,black,black,1.0,,sfx_scn_movingrobot,,,2,no,,12,idle
d_nikke_ce006_02_05_24,d_nikke_ce006_02_05,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_24,False,,black,black,1.0,,,,,2,no,,12,idle
d_nikke_ce006_02_05_25,d_nikke_ce006_02_05,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_05_25,True,,20,20,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_05_26,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_26,True,,20,120,1.3,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_27,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_27,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_28,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_28,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_29,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_29,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_30,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_30,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_31,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_31,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_32,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_32,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_33,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_33,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_34,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_34,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_35,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_35,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_36,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_36,True,,120,120,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_05_37,d_nikke_ce006_02_05,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_05_37,True,,120,120,1.0,,,com,,2,no,,12,idle
