id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_frima_06_1,treasurestory_frima_06,Narration,Locale_NikkeEpisode:treasurestory_frima_06_1,False,CityForest_01,1,1,1.0,bgm_distress,,,,frima,1,idle
treasurestory_frima_06_2,treasurestory_frima_06,Self,Locale_NikkeEpisode:treasurestory_frima_06_2,False,,1,1,1.0,,,,,,1,idle
treasurestory_frima_06_3,treasurestory_frima_06,Monologue,Locale_NikkeEpisode:treasurestory_frima_06_3,False,,1,1,1.0,,,,,,1,idle
treasurestory_frima_06_4,treasurestory_frima_06,Speech,Locale_NikkeEpisode:treasurestory_frima_06_4,True,,1,1,1.0,,frima,frima,,,1,idle
treasurestory_frima_06_5,treasurestory_frima_06,Speech,Locale_NikkeEpisode:treasurestory_frima_06_5,True,,1,1,1.0,,frima,frima,,,1,idle
treasurestory_frima_06_6,treasurestory_frima_06,Self,Locale_NikkeEpisode:treasurestory_frima_06_6,False,,1,1,1.0,,,,,,1,idle
treasurestory_frima_06_7,treasurestory_frima_06,Speech,Locale_NikkeEpisode:treasurestory_frima_06_7,True,,1,1,1.0,,frima,frima,,,1,idle
treasurestory_frima_06_8,treasurestory_frima_06,Monologue,Locale_NikkeEpisode:treasurestory_frima_06_8,False,CityForest_02,black,black,1.0,,,,,,1,idle
treasurestory_frima_06_9,treasurestory_frima_06,Speech,Locale_NikkeEpisode:treasurestory_frima_06_9,True,,1,1,1.0,,frima,frima,,,1,idle
treasurestory_frima_06_10,treasurestory_frima_06,Monologue,Locale_NikkeEpisode:treasurestory_frima_06_10,False,,1,1,1.0,,,,,,1,idle
treasurestory_frima_06_11,treasurestory_frima_06,Speech,Locale_NikkeEpisode:treasurestory_frima_06_11,True,,1,1,1.0,,frima,frima,,,1,idle
treasurestory_frima_06_12,treasurestory_frima_06,Monologue,Locale_NikkeEpisode:treasurestory_frima_06_12,False,,1,1,1.0,,,,,,1,idle
treasurestory_frima_06_13,treasurestory_frima_06,Speech,Locale_NikkeEpisode:treasurestory_frima_06_13,True,,1,10,1.0,,frima,frima,,,1,idle
treasurestory_frima_06_14,treasurestory_frima_06,Self,Locale_NikkeEpisode:treasurestory_frima_06_14,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_06_15,treasurestory_frima_06,Speech,Locale_NikkeEpisode:treasurestory_frima_06_15,True,,10,10,1.0,,frima,frima,,,1,idle
