id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,fade,characters/0/hide_char_id,play_sound
d_nikke_moran_05_1,d_nikke_moran_05,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_moran_05_1,True,moran,1,think,poli,3,idle,sickwoman,13,idle,ArkRuinIndoor,XS_30,XS_30,1.0,bgm_story_fairytalesend_if,,,,,
d_nikke_moran_05_2,d_nikke_moran_05,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_moran_05_2,True,,1,think,,3,idle,,13,idle,,XS_30,XS_30,1.0,,,,,,
d_nikke_moran_05_3,d_nikke_moran_05,Self,,,Locale_NikkeEpisode:d_nikke_moran_05_3,False,,1,think,,3,idle,,13,idle,,XS_30,XS_30,1.0,,,,,,
d_nikke_moran_05_4,d_nikke_moran_05,Speech,moran,moran,Locale_NikkeEpisode:d_nikke_moran_05_4,True,,1,think,,3,idle,,13,idle,,XS_30,31,1.0,,,,,,
d_nikke_moran_05_5,d_nikke_moran_05,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_moran_05_5,True,,1,think,,3,idle,,13,idle,,31,31,1.0,,,,,,
d_nikke_moran_05_6,d_nikke_moran_05,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_moran_05_6,True,,1,think,,3,idle,,13,idle,,31,31,1.0,,,,,,
d_nikke_moran_05_7,d_nikke_moran_05,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_moran_05_7,True,,1,think,,3,idle,,13,idle,,31,31,1.0,,,,,,
d_nikke_moran_05_8,d_nikke_moran_05,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_moran_05_8,True,,1,think,,3,idle,,13,idle,,31,31,1.0,,,,,,
d_nikke_moran_05_9,d_nikke_moran_05,Speech,sickwoman,sickwoman,Locale_NikkeEpisode:d_nikke_moran_05_9,True,,1,think,,3,idle,,13,idle,,31,13,2.0,,,,,,
d_nikke_moran_05_10,d_nikke_moran_05,Monologue,,,Locale_NikkeEpisode:d_nikke_moran_05_10,False,,1,think,,3,idle,,13,idle,,13,13,1.0,,,,,,
