id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/1/hide_char_id,fade,jump_target
d_nikke_soda_01_1,d_nikke_soda_01,Narration,Locale_NikkeEpisode:d_nikke_soda_01_1,False,Cafe,9,7,2.0,sfx_scn_chimebell,bgm_story_orangepop,,,,,,,,,,,,,
d_nikke_soda_01_2,d_nikke_soda_01,Monologue,Locale_NikkeEpisode:d_nikke_soda_01_2,False,,7,7,1.0,,,,,,,,,,,,,,,
d_nikke_soda_01_3,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_3,True,,3,30,1.5,,,ade,ade,ade,3,delight,,,,,,,,
d_nikke_soda_01_4,d_nikke_soda_01,Self,Locale_NikkeEpisode:d_nikke_soda_01_4,False,,30,30,1.0,,,ade,,,3,delight,,,,,,,,
d_nikke_soda_01_5,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_5,True,,30,30,1.0,,,ade,ade,,3,worried,,,,,,,,
d_nikke_soda_01_6,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_6,True,,30,30,1.0,,,ade,ade,,3,worried,,,,,,,,
d_nikke_soda_01_7,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_7,True,,30,30,1.0,,,ade,ade,,3,idle,,,,,,,,
d_nikke_soda_01_8,d_nikke_soda_01,Self,Locale_NikkeEpisode:d_nikke_soda_01_8,False,,30,30,1.0,,,,,,3,idle,,,,,,,,
d_nikke_soda_01_9,d_nikke_soda_01,Monologue,Locale_NikkeEpisode:d_nikke_soda_01_9,False,,7,9,2.0,,,,,,3,idle,ade,,,,,,,
d_nikke_soda_01_10,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_10,True,,130,130,1.0,,,calmguest,calmguest,soda,1,shy,,calmguest,13,idle,,,,
d_nikke_soda_01_11,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_11,True,,130,12,1.0,,,soda,soda,,1,shy,,,13,idle,,,,
d_nikke_soda_01_12,d_nikke_soda_01,Narration,Locale_NikkeEpisode:d_nikke_soda_01_12,False,,5,5,1.0,sfx_scn_trip,,,,,1,shy,,,13,idle,Low_2,,,
d_nikke_soda_01_13,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_13,True,,13,13,1.0,,,calmguest,calmguest,,1,shy,,,13,idle,,,,
d_nikke_soda_01_14,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_14,True,,13,12,0.5,,,soda,soda,,1,shy,,,13,idle,,,,
d_nikke_soda_01_15,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_15,True,,12,12,1.0,,,soda,soda,,1,idle,,,13,idle,,,,
d_nikke_soda_01_16,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_16,True,,12,12,1.0,,,calmguest,calmguest,,1,idle,,,13,idle,,,,
d_nikke_soda_01_17,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_17,True,,12,12,1.0,,,soda,soda,,1,think,,,13,idle,,,,
d_nikke_soda_01_18,d_nikke_soda_01,Narration,Locale_NikkeEpisode:d_nikke_soda_01_18,False,,black,black,1.0,,,,,,1,think,,,13,idle,,,,
d_nikke_soda_01_19,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_19,True,,12,12,1.0,,,soda,soda,,1,think,,,13,idle,,,,
d_nikke_soda_01_20,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_20,True,,12,12,1.0,,,soda,soda,,1,think,,,13,idle,,,,
d_nikke_soda_01_21,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_21,True,,12,130,1.0,,,calmguest,calmguest,,1,think,,,13,idle,,,,
d_nikke_soda_01_22,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_22,True,,130,12,1.0,,,calmguest,calmguest,,1,think,,,13,idle,,,,
d_nikke_soda_01_23,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_23,True,,12,12,1.0,,,soda,soda,,1,think,,,13,idle,,,,
d_nikke_soda_01_24,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_24,True,,12,12,1.0,,,calmguest,calmguest,,1,think,,,13,idle,,,,
d_nikke_soda_01_25,d_nikke_soda_01,Speech,Locale_NikkeEpisode:d_nikke_soda_01_25,True,,12,12,1.0,,,soda,soda,,1,idle,,,13,idle,,,,
