id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,jump_target,characters/0/hide_char_id
d_nikke_privaty_unkindmaid_02_1,d_nikke_privaty_unkindmaid_02,Narration,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_1,False,CommanderRoom,10,10,1.0,sfx_scn_autodooropen,bgm_story_breakaway,,,,,,,,
d_nikke_privaty_unkindmaid_02_2,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_2,False,,10,10,1.0,,,privaty_m,privaty_m,privaty_m,1,idle,,,
d_nikke_privaty_unkindmaid_02_3,d_nikke_privaty_unkindmaid_02,Self,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_3,False,,10,10,1.0,,,privaty_m,,,1,idle,,,
d_nikke_privaty_unkindmaid_02_4,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_4,False,,10,10,1.0,,,privaty_m,privaty_m,,1,idle,,,
d_nikke_privaty_unkindmaid_02_5,d_nikke_privaty_unkindmaid_02,Self,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_5,False,,10,1,1.0,,,privaty_m,,,1,idle,,,
d_nikke_privaty_unkindmaid_02_6,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_6,True,,1,1,1.0,,,privaty_m,privaty_m,,1,surprise,,,
d_nikke_privaty_unkindmaid_02_7,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_7,True,,1,1,1.0,,,privaty_m,privaty_m,,1,surprise,,,
d_nikke_privaty_unkindmaid_02_8,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_8,True,,1,1,1.0,,,privaty_m,privaty_m,,1,surprise,,,
d_nikke_privaty_unkindmaid_02_9,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_9,True,,1,1,1.0,,,privaty_m,privaty_m,,1,shy2,Low_2,,
d_nikke_privaty_unkindmaid_02_10,d_nikke_privaty_unkindmaid_02,Choice,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_10,False,,1,1,1.0,,,privaty_m,,,1,shy2,,d_nikke_privaty_unkindmaid_02_12,
d_nikke_privaty_unkindmaid_02_11,d_nikke_privaty_unkindmaid_02,Choice,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_11,False,,1,1,1.0,,,privaty_m,,,1,shy2,,d_nikke_privaty_unkindmaid_02_18,
d_nikke_privaty_unkindmaid_02_12,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_12,True,,1,100,1.0,,,privaty_m,privaty_m,,1,no,,,
d_nikke_privaty_unkindmaid_02_13,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_13,True,,100,100,1.0,,,privaty_m,privaty_m,,1,no,,,
d_nikke_privaty_unkindmaid_02_14,d_nikke_privaty_unkindmaid_02,Self,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_14,False,,100,100,1.0,,,privaty_m,,,1,no,,d_nikke_privaty_unkindmaid_02_15,
d_nikke_privaty_unkindmaid_02_15,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_15,False,,100,100,1.0,,,privaty_m,privaty_m,,1,shy,,,
d_nikke_privaty_unkindmaid_02_16,d_nikke_privaty_unkindmaid_02,Speech,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_02_16,True,,100,100,1.0,,,privaty_m,privaty_m,,1,shy,,,
