id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_nikke_hongryeon_01_1,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_1,True,ElevatorOut,1,1,1.0,bgm_enemyclose,,,,,hongryeon,1,no,,privaty,16,angry,,rapi,14,idle,,,,,,,,,
d_nikke_hongryeon_01_2,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_2,True,,1,1,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_3,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_3,True,,1,1,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_4,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_4,True,,1,1,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_5,d_nikke_hongryeon_01,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_hongryeon_01_5,True,,1,15,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_6,d_nikke_hongryeon_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_hongryeon_01_6,False,,15,15,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_7,d_nikke_hongryeon_01,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_01_7,False,,10,10,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_8,d_nikke_hongryeon_01,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_01_8,False,,10,10,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_9,d_nikke_hongryeon_01,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_01_9,False,,10,10,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_10,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_10,True,,10,10,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_11,d_nikke_hongryeon_01,Narration,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_01_11,False,,black,black,1.0,,sfx_scn_autodooropen,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_12,d_nikke_hongryeon_01,Narration,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_01_12,False,,black,black,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_13,d_nikke_hongryeon_01,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_hongryeon_01_13,True,,16,160,1.0,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_14,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_14,True,,10,100,0.5,,,,,,,1,no,,,16,angry,,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_15,d_nikke_hongryeon_01,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_01_15,False,,100,100,1.0,,,,,,,1,no,,,16,angry,privaty,,14,idle,,,,,,,,,
d_nikke_hongryeon_01_16,d_nikke_hongryeon_01,Speech,hongryeon,rapi,Locale_NikkeEpisode:d_nikke_hongryeon_01_16,False,,100,100,1.0,,,,,,,1,no,,,,,,,14,idle,rapi,,,,,,,,
d_nikke_hongryeon_01_17,d_nikke_hongryeon_01,Speech,hongryeon,privaty,Locale_NikkeEpisode:d_nikke_hongryeon_01_17,False,,100,100,1.0,,,,,,,1,no,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_01_18,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_18,True,,100,100,1.0,,,,,,,1,no,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_01_19,d_nikke_hongryeon_01,Monologue,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_01_19,False,,100,1,1.0,,,,,,,1,no,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_01_20,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_20,True,,1,1,1.0,,,,,,,1,no,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_01_21,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_21,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_01_22,d_nikke_hongryeon_01,Monologue,,,Locale_NikkeEpisode:d_nikke_hongryeon_01_22,False,none,black,black,1.0,,,,,,,1,idle,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_01_23,d_nikke_hongryeon_01,Narration,,,Locale_NikkeEpisode:d_nikke_hongryeon_01_23,False,,black,black,1.0,,,,,,,1,idle,hongryeon,,,,,,,,,,,,,,,,
d_nikke_hongryeon_01_24,d_nikke_hongryeon_01,Monologue,,,Locale_NikkeEpisode:d_nikke_hongryeon_01_24,False,,black,black,1.0,,,,,,,,,,,,,,rapi,7,idle,,anis,3,no,,neon,5,surprise,
d_nikke_hongryeon_01_25,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_25,False,,black,black,1.0,none,,,,,,,,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_26,d_nikke_hongryeon_01,Narration,,,Locale_NikkeEpisode:d_nikke_hongryeon_01_26,False,CommanderRoom,black,black,1.0,,,black,,,,,,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_27,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_27,True,,1,1,1.0,bgm_menu_commandersroom,,,,,hongryeon,1,idle,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_28,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_28,True,,1,1,1.0,,,,,,,1,idle,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_29,d_nikke_hongryeon_01,Self,hongryeon,,Locale_NikkeEpisode:d_nikke_hongryeon_01_29,False,,1,1,1.0,,,,,,,1,idle,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_30,d_nikke_hongryeon_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_hongryeon_01_30,False,,30,30,1.0,,,,,,,1,idle,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_31,d_nikke_hongryeon_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_hongryeon_01_31,False,,50,50,1.0,,,,,,,1,idle,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_32,d_nikke_hongryeon_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_hongryeon_01_32,False,,70,70,1.0,,,,,,,1,idle,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_33,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_33,True,,1,1,1.0,,,,,,,1,idle,,,,,,,7,idle,,,3,no,,,5,surprise,
d_nikke_hongryeon_01_34,d_nikke_hongryeon_01,Speech,hongryeon,hongryeon,Locale_NikkeEpisode:d_nikke_hongryeon_01_34,True,,1,1,1.0,,,,,,,1,idle,,,,,,,7,idle,rapi,,3,no,,,5,surprise,
d_nikke_hongryeon_01_35,d_nikke_hongryeon_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_hongryeon_01_35,True,,1,2,1.0,,,,,,,1,idle,,,,,,,,,,,3,void,,,5,surprise,
