id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,jump_target,characters/0/hide_char_id,fade
d_nikke_helm_aquamarine_04_1,d_nikke_helm_aquamarine_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_1,False,LogHouseIn_s,5,1,2.0,bgm_story_voicesofthesea,,,,,,,,,
d_nikke_helm_aquamarine_04_2,d_nikke_helm_aquamarine_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_2,False,,black,black,1.0,,sfx_scn_keyboard,,,,,,,,
d_nikke_helm_aquamarine_04_3,d_nikke_helm_aquamarine_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_3,False,,black,black,1.0,,sfx_scn_keyboard,,,,,,,,
d_nikke_helm_aquamarine_04_4,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_4,False,,1,1,1.0,,,helm_s,helm_s,1,idle,,,,
d_nikke_helm_aquamarine_04_5,d_nikke_helm_aquamarine_04,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_5,False,,1,1,1.0,,,,,1,idle,,,,
d_nikke_helm_aquamarine_04_6,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_6,True,,1,1,1.0,,,helm_s,,1,sad,,,,
d_nikke_helm_aquamarine_04_7,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_7,True,,1,1,1.0,,,helm_s,,1,sad,,,,
d_nikke_helm_aquamarine_04_8,d_nikke_helm_aquamarine_04,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_8,False,,1,1,1.0,,,,,1,sad,,,,
d_nikke_helm_aquamarine_04_9,d_nikke_helm_aquamarine_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_9,False,,black,black,1.0,,sfx_scn_keyboard,,,1,sad,,,,
d_nikke_helm_aquamarine_04_10,d_nikke_helm_aquamarine_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_10,False,,black,black,1.0,,sfx_scn_keyboard,,,1,sad,,,,
d_nikke_helm_aquamarine_04_11,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_11,False,,1,1,1.0,,,helm_s,,1,think,,,,
d_nikke_helm_aquamarine_04_12,d_nikke_helm_aquamarine_04,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_12,False,,1,1,1.0,,,,,1,think,,,,
d_nikke_helm_aquamarine_04_13,d_nikke_helm_aquamarine_04,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_13,False,,1,1,1.0,,,,,1,think,,,,
d_nikke_helm_aquamarine_04_14,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_14,True,,1,1,1.0,,,helm_s,,1,idle,,,,
d_nikke_helm_aquamarine_04_15,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_15,True,,1,1,1.0,,,helm_s,,1,idle,,,,
d_nikke_helm_aquamarine_04_16,d_nikke_helm_aquamarine_04,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_16,False,,1,1,1.0,,,,,1,idle,,,,
d_nikke_helm_aquamarine_04_17,d_nikke_helm_aquamarine_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_17,False,,1,10,2.0,,,,,1,idle,,,,
d_nikke_helm_aquamarine_04_18,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_18,False,,10,10,1.0,,,helm_s,,1,shy,Low_2,,,
d_nikke_helm_aquamarine_04_19,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_19,True,,10,10,1.0,,,helm_s,,1,shy,,,,
d_nikke_helm_aquamarine_04_20,d_nikke_helm_aquamarine_04,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_20,False,,10,10,1.0,,,,,1,shy,,,,
d_nikke_helm_aquamarine_04_21,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_21,True,,10,10,1.0,,,helm_s,,1,shy,,,,
d_nikke_helm_aquamarine_04_22,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_22,True,,10,10,1.0,,,helm_s,,1,shy,,,,
d_nikke_helm_aquamarine_04_23,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_23,True,,10,10,1.0,,,helm_s,,1,shy,,,,
d_nikke_helm_aquamarine_04_24,d_nikke_helm_aquamarine_04,Self,Self,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_24,False,,10,10,1.0,,,,,1,shy,,,,
d_nikke_helm_aquamarine_04_25,d_nikke_helm_aquamarine_04,Speech,helm_s,Locale_NikkeEpisode:d_nikke_helm_aquamarine_04_25,True,,10,10,1.0,,,helm_s,,1,think,,,,
