id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/hide_char_id,set_camera_shake,set_filter_01,characters/1/hide_char_id,fade
d_nikke_ce_02_03_05_1,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_1,False,ce_02_03,3,idle,massproduction01,13,idle,WasteLand_02,3,3,1.0,sfx_scn_2rapturestep,event_bgm_ce002_field,,,,,,,
d_nikke_ce_02_03_05_2,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_2,True,,3,idle,,13,idle,,3,L_30,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_3,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_3,True,,3,idle,,13,idle,,L_30,L_30,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_4,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_4,True,,3,idle,,13,idle,,130,130,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_5,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_5,True,,3,idle,,13,idle,,130,130,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_6,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_6,True,,3,idle,,13,idle,,130,130,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_7,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_7,True,,3,idle,,13,idle,,L_30,L_30,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_8,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_8,True,,3,idle,,13,idle,,130,13,0.6,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_9,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_9,True,,3,idle,,13,idle,,13,13,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_10,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_10,True,,3,idle,,13,idle,,L_30,L_30,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_11,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_11,True,,3,idle,,13,idle,,L_30,L_30,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_12,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_12,True,,3,idle,,13,idle,,L_30,L_30,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_13,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_13,True,,3,idle,,13,idle,,L_30,L_30,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_14,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_14,True,,3,idle,,13,idle,,13,130,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_15,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_15,True,,3,idle,,13,idle,,L_30,3,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_16,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_16,True,,3,idle,,13,idle,,3,3,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_17,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_17,True,,3,idle,,13,idle,,130,13,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_18,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_18,True,,3,idle,,13,idle,,13,13,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_19,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_19,True,,3,idle,,13,idle,,3,3,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_20,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_20,True,,3,idle,,13,idle,,3,3,1.0,,,ce_02_03,ce_02_03,,,,,
d_nikke_ce_02_03_05_21,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_21,False,,3,idle,,13,idle,,3,L_30,1.0,,,,,ce_02_03,,,,
d_nikke_ce_02_03_05_22,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_22,False,,,,,13,idle,,13,13,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_23,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_23,True,,,,,13,idle,,13,13,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_24,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_24,False,,,,,13,idle,,13,13,1.0,,,,,,,,,
d_nikke_ce_02_03_05_25,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_25,True,,,,,13,idle,,13,130,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_26,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_26,True,,,,,13,idle,,130,130,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_27,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_27,False,,,,,13,idle,,130,130,1.0,sfx_scn_rapturehowl,,,,,Low_2,,,
d_nikke_ce_02_03_05_28,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_28,False,,,,,13,idle,,130,13,0.6,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_29,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_29,True,,,,,13,idle,,13,13,1.0,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_30,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_30,False,,,,,13,idle,,13,13,1.0,sfx_scn_2rapturestep,,,,,Low_2,,,
d_nikke_ce_02_03_05_31,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_31,False,,,,,13,idle,,13,1300,1.4,,,massproduction01,massproduction01,,,,,
d_nikke_ce_02_03_05_32,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_32,False,,,,,13,idle,,black,black,1.0,,,,,,,,,
d_nikke_ce_02_03_05_33,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_33,False,,,,,13,idle,,black,black,1.0,sfx_scn_regeneration,,,,,,,,
d_nikke_ce_02_03_05_34,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_34,False,,,,,13,idle,,black,black,1.0,,,,,,,,,
d_nikke_ce_02_03_05_35,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_35,False,,,,,13,idle,,black,black,1.0,,,,,,,,,
d_nikke_ce_02_03_05_36,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_36,False,,,,,13,idle,,black,black,1.0,,,,,,,,,
d_nikke_ce_02_03_05_37,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_37,False,,,,,13,idle,,black,black,1.0,,,,,,,,,
d_nikke_ce_02_03_05_38,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_38,False,,,,,13,idle,,black,black,1.0,,,,,,,,,
d_nikke_ce_02_03_05_39,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_39,True,,,,,13,idle,,1300,1300,1.0,,,massproduction01,massproduction01,,,Vignetting,,
d_nikke_ce_02_03_05_40,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_40,True,,,,,13,idle,,1300,1300,1.0,,,massproduction01,massproduction01,,,Vignetting,,
d_nikke_ce_02_03_05_41,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_41,False,,,,,13,idle,black,1300,1300,1.0,,,massproduction01,massproduction01,,,Vignetting,,
d_nikke_ce_02_03_05_42,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_42,False,,,,,13,idle,,1300,1300,1.0,,,,,,,,,
d_nikke_ce_02_03_05_43,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_43,False,,,,,13,idle,White,1300,1300,1.0,,,,,,,,massproduction01,
d_nikke_ce_02_03_05_44,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_44,False,,,,,,,WasteLand_02,1300,130,1.0,,,,,,,,,
d_nikke_ce_02_03_05_45,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_45,False,,,,,,,,3,3,1.0,,none,,,,,,,black
d_nikke_ce_02_03_05_46,d_nikke_ce_02_03_05,Narration,Locale_NikkeEpisode:d_nikke_ce_02_03_05_46,False,ce_02_03,3,idle,,,,,3,3,1.0,,,,,,,,,
d_nikke_ce_02_03_05_47,d_nikke_ce_02_03_05,Speech,Locale_NikkeEpisode:d_nikke_ce_02_03_05_47,True,,3,idle,,,,,3,L_30,1.0,,event_bgm_ce002_story_3,ce_02_03,ce_02_03,,,,,
