id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_camera_shake,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_maxwell_01_1,d_nikke_maxwell_01,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_01_1,True,CommanderRoom,50,10,1.0,bgm_story_epicjazzymoods,,,,,,maxwell,1,idle,
d_nikke_maxwell_01_2,d_nikke_maxwell_01,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_01_2,True,,10,10,1.0,,,,,,,,1,idle,
d_nikke_maxwell_01_3,d_nikke_maxwell_01,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_01_3,,,10,10,1.0,,,,,,,,1,idle,
d_nikke_maxwell_01_4,d_nikke_maxwell_01,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_01_4,True,,10,10,1.0,,,,,,,,1,delight,
d_nikke_maxwell_01_5,d_nikke_maxwell_01,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_01_5,True,,10,10,1.0,,,,,,,,1,idle,
d_nikke_maxwell_01_6,d_nikke_maxwell_01,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_01_6,True,,10,100,0.5,,,,,,,,1,idle,
d_nikke_maxwell_01_7,d_nikke_maxwell_01,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_01_7,True,,100,100,1.0,,,,,,,,1,idle,
d_nikke_maxwell_01_8,d_nikke_maxwell_01,Choice,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_01_8,,,100,100,1.0,,d_nikke_maxwell_01_10,,,,,,1,idle,
d_nikke_maxwell_01_9,d_nikke_maxwell_01,Choice,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_01_9,,,100,100,1.0,,d_nikke_maxwell_01_14,,,,,,1,idle,
d_nikke_maxwell_01_10,d_nikke_maxwell_01,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_01_10,True,,100,10,1.0,,,,,,,,1,idle,
d_nikke_maxwell_01_11,d_nikke_maxwell_01,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_01_11,True,,10,10,1.0,,,,,,,,1,idle,
