id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_rouge_01_1,d_nikke_rouge_01,Narration,blanc,Locale_NikkeEpisode:d_nikke_rouge_01_1,False,CoinRushMainHall,black,black,1.0,none,,,,,rouge,1,idle,blanc,7,idle,,noir,5,idle,
d_nikke_rouge_01_2,d_nikke_rouge_01,Narration,blanc,Locale_NikkeEpisode:d_nikke_rouge_01_2,False,,black,black,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_3,d_nikke_rouge_01,Narration,blanc,Locale_NikkeEpisode:d_nikke_rouge_01_3,False,,black,black,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_4,d_nikke_rouge_01,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_01_4,True,,L_70,L_70,1.0,event_bgm_bunny777,blanc,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_5,d_nikke_rouge_01,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_01_5,True,,L_70,L_70,1.0,,blanc,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_6,d_nikke_rouge_01,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_01_6,True,,L_70,L_50,1.0,,noir,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_7,d_nikke_rouge_01,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_01_7,True,,L_50,L_50,1.0,,noir,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_8,d_nikke_rouge_01,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_01_8,False,,L_50,6,1.0,,audience,sfx_scn_crowdcheer,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_9,d_nikke_rouge_01,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_01_9,False,,6,6,1.0,,,,,,,1,idle,,7,idle,,,5,idle,
d_nikke_rouge_01_10,d_nikke_rouge_01,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_01_10,True,,black,black,1.0,,rouge,,,,,1,idle,,7,idle,,,5,idle,
