id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_yan_01_01,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_01,True,ShoppingMall,1,1,1.0,bgm_story_leisuretime,,,yan,1,idle,,,,,,,
d_nikke_yan_01_02,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_02,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_yan_01_03,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_03,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_yan_01_04,d_nikke_yan_01,Self,yan,Self,Locale_NikkeEpisode:d_nikke_yan_01_04,False,,1,1,1.0,,,,,1,idle,,,,,,,
d_nikke_yan_01_05,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_05,True,,1,S_10,2.0,,,,,1,delight,,,,,,,
d_nikke_yan_01_06,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_06,True,,S_10,S_10,1.0,,,,,1,delight,,,,,,,
d_nikke_yan_01_07,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_07,True,,S_10,S_10,1.0,,,,,1,delight,,,,,,,
d_nikke_yan_01_08,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_08,True,,S_10,S_10,1.0,,,,,1,delight,,,,,,,
d_nikke_yan_01_09,d_nikke_yan_01,Self,yan,Self,Locale_NikkeEpisode:d_nikke_yan_01_09,False,,S_10,S_10,1.0,,,,,1,delight,,,,,,,
d_nikke_yan_01_10,d_nikke_yan_01,Narration,yan,Narration,Locale_NikkeEpisode:d_nikke_yan_01_10,False,,black,black,1.0,,,,,5,idle,,,,,,,
d_nikke_yan_01_11,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_11,True,,5,5,1.0,,,,,5,idle,,,,,,,
d_nikke_yan_01_12,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_12,True,,5,5,1.0,,,,,5,idle,,,,,,,
d_nikke_yan_01_13,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_13,True,,5,5,1.0,,,,,5,idle,,,,,,,
d_nikke_yan_01_14,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_14,True,,5,5,1.0,,,,,5,idle,,,,,,,
d_nikke_yan_01_15,d_nikke_yan_01,Self,yan,Self,Locale_NikkeEpisode:d_nikke_yan_01_15,False,,5,5,1.0,,,,,5,idle,,,,,,,
d_nikke_yan_01_16,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_16,True,,5,S_50,2.0,,,,,5,sad,,,,,,,
d_nikke_yan_01_17,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_17,True,,S_50,S_50,1.0,,,,,5,sad,,,,,,,
d_nikke_yan_01_18,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_18,True,,S_50,S_50,1.0,,,,,5,sad,,,,,,,
d_nikke_yan_01_19,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_19,True,,S_50,S_50,1.0,,,,,5,no,,,,,,,
d_nikke_yan_01_20,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_20,True,,S_50,S_50,1.0,,,,,5,no,,,,,,,
d_nikke_yan_01_21,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_21,True,,S_50,S_50,1.0,,,,,5,no,,,,,,,
d_nikke_yan_01_22,d_nikke_yan_01,Self,yan,Self,Locale_NikkeEpisode:d_nikke_yan_01_22,False,,S_50,S_50,1.0,,,,,5,no,,,,,,,
d_nikke_yan_01_23,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_23,True,,S_50,S_50,1.0,,,,,5,delight,,,,,,,
d_nikke_yan_01_24,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_24,True,,S_50,S_50,1.0,,,,,5,delight,,,,,,,
d_nikke_yan_01_25,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_25,True,,S_50,S_50,1.0,,,,,5,delight,,,,,,,
d_nikke_yan_01_26,d_nikke_yan_01,Choice,yan,,Locale_NikkeEpisode:d_nikke_yan_01_26,False,,S_50,S_50,1.0,,d_nikke_yan_01_28,,,5,delight,,,,,,,
d_nikke_yan_01_27,d_nikke_yan_01,Choice,yan,,Locale_NikkeEpisode:d_nikke_yan_01_27,False,,S_50,S_50,1.0,,d_nikke_yan_01_28,,,5,delight,,,,,,,
d_nikke_yan_01_28,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_28,False,,S_50,S_50,1.0,,,,,5,"expression_0,idle",,,,,,,
d_nikke_yan_01_29,d_nikke_yan_01,Narration,yan,Narration,Locale_NikkeEpisode:d_nikke_yan_01_29,False,,black,black,1.0,,,,,15,idle,,,,,,,
d_nikke_yan_01_30,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_30,True,,15,15,1.0,,,,,15,surprise,,,,,,,
d_nikke_yan_01_31,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_31,True,,15,15,1.0,,,,,15,surprise,,,,,,,
d_nikke_yan_01_32,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_32,True,,15,15,1.0,,,,,15,surprise,,,,,,,
d_nikke_yan_01_33,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_33,True,,15,15,1.0,,,,,15,sad,,,,,,,
d_nikke_yan_01_34,d_nikke_yan_01,Self,yan,Self,Locale_NikkeEpisode:d_nikke_yan_01_34,False,,15,15,1.0,,,,,15,sad,,,,,,,
d_nikke_yan_01_35,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_35,True,,15,15,1.0,,,,,15,no,,,,,,,
d_nikke_yan_01_36,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_36,True,,15,15,1.0,,,,,15,delight,,,,,,,
d_nikke_yan_01_37,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_37,True,,15,15,1.0,,,,,15,delight,,,,,,,
d_nikke_yan_01_38,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_38,True,,15,15,1.0,,,,,15,delight,,,,,,,
d_nikke_yan_01_39,d_nikke_yan_01,Choice,yan,,Locale_NikkeEpisode:d_nikke_yan_01_39,False,,15,15,1.0,,d_nikke_yan_01_41,,,15,delight,,,,,,,
d_nikke_yan_01_40,d_nikke_yan_01,Choice,yan,,Locale_NikkeEpisode:d_nikke_yan_01_40,False,,15,15,1.0,,d_nikke_yan_01_41,,,15,delight,,,,,,,
d_nikke_yan_01_41,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_41,True,,15,S_150,2.0,,,,,15,idle,,,,,,,
d_nikke_yan_01_42,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_42,True,,S_150,S_150,1.0,,,,,15,idle,,,,,,,
d_nikke_yan_01_43,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_43,True,,S_150,S_150,1.0,,,,,15,idle,,,,,,,
d_nikke_yan_01_44,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_44,True,,S_150,S_150,1.0,,,,,15,sad,,,,,,,
d_nikke_yan_01_45,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_45,True,,S_150,S_150,1.0,,,,,15,sad,,,,,,,
d_nikke_yan_01_46,d_nikke_yan_01,Self,yan,Self,Locale_NikkeEpisode:d_nikke_yan_01_46,False,,S_150,S_150,1.0,,,,,15,sad,,,,,,,
d_nikke_yan_01_47,d_nikke_yan_01,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_yan_01_47,True,,S_150,S_150,1.0,,,,,15,etc,,,,,,,
d_nikke_yan_01_48,d_nikke_yan_01,Self,yan,Self,Locale_NikkeEpisode:d_nikke_yan_01_48,False,,S_150,S_150,1.0,,,,,15,etc,,,,,,,
