id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_background,fade,jump_target,set_camera_shake,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_rapunzel_05_1,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_1,True,rapunzel,1,idle,black,black,1.0,bgm_distress,,,,,,,,,,,,
d_nikke_rapunzel_05_2,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_2,True,,1,idle,black,black,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_3,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_3,False,,1,idle,black,black,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_4,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_4,True,,1,idle,black,black,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_5,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_5,True,,1,idle,1,1,1.0,,Desert_04,black,,,,,,,,,,
d_nikke_rapunzel_05_6,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_6,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_7,d_nikke_rapunzel_05,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_05_7,True,,1,idle,1,1,1.0,,,,,,,,,,,,,
d_nikke_rapunzel_05_8,d_nikke_rapunzel_05,Choice,rapunzel,,Locale_NikkeEpisode:d_nikke_rapunzel_05_8,False,,1,idle,1,1,1.0,,,,d_nikke_rapunzel_05_10,,,,,,,,,
d_nikke_rapunzel_05_9,d_nikke_rapunzel_05,Choice,rapunzel,,Locale_NikkeEpisode:d_nikke_rapunzel_05_9,False,,1,idle,1,1,1.0,,,,d_nikke_rapunzel_05_14,,,,,,,,,
d_nikke_rapunzel_05_10,d_nikke_rapunzel_05,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_05_10,False,,1,idle,1,1,1.0,,,,,Low_2,,,,,,,,
