id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_ce_003_03_01_1,d_nikke_ce_003_03_01,Narration,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_1,False,MaidCafe,13,13,1.0,sfx_scn_toyshopbell,none,,cocoa,13,idle,,calmguest,17,idle,,regularguest,19,idle,,ce_003_03,1,idle
d_nikke_ce_003_03_01_2,d_nikke_ce_003_03_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_2,True,,13,13,1.0,,bgm_story_orangepop,cocoa,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_3,d_nikke_ce_003_03_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_3,True,,13,XS_130,1.0,,,cocoa,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_4,d_nikke_ce_003_03_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_4,True,,XS_130,XS_130,1.0,,,cocoa,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_5,d_nikke_ce_003_03_01,Self,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_5,False,,XS_130,XS_130,1.0,,,,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_6,d_nikke_ce_003_03_01,Speech,calmguest,Locale_NikkeEpisode:d_nikke_ce_003_03_01_6,True,,18,18,1.0,,,calmguest,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_7,d_nikke_ce_003_03_01,Speech,calmguest,Locale_NikkeEpisode:d_nikke_ce_003_03_01_7,True,,18,18,1.0,,,calmguest,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_8,d_nikke_ce_003_03_01,Speech,regularguest,Locale_NikkeEpisode:d_nikke_ce_003_03_01_8,True,,18,18,1.0,,,regularguest,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_9,d_nikke_ce_003_03_01,Speech,regularguest,Locale_NikkeEpisode:d_nikke_ce_003_03_01_9,True,,18,18,1.0,,,regularguest,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_10,d_nikke_ce_003_03_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_10,True,,XS_130,XS_130,1.0,,,cocoa,,13,delight,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_11,d_nikke_ce_003_03_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_11,True,,XS_130,XS_130,1.0,,,cocoa,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_12,d_nikke_ce_003_03_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_12,True,,XS_130,13,1.0,,,cocoa,,13,idle,,,17,idle,,,19,idle,,,1,idle
d_nikke_ce_003_03_01_13,d_nikke_ce_003_03_01,Monologue,cocoa,Locale_NikkeEpisode:d_nikke_ce_003_03_01_13,False,,13,1,1.0,sfx_scn_cuteout,,,,15,idle,cocoa,,17,idle,calmguest,,19,idle,regularguest,,1,idle
