id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,jump_target,set_filter_01,set_filter_02,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_julia_02_1,d_nikke_julia_02,Monologue,Locale_NikkeEpisode:d_nikke_julia_02_1,False,black,1,1,1.0,bgm_story_herecomestrouble,,,,,,,,,,,,,,,
d_nikke_julia_02_2,d_nikke_julia_02,Monologue,Locale_NikkeEpisode:d_nikke_julia_02_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_julia_02_3,d_nikke_julia_02,Narration,Locale_NikkeEpisode:d_nikke_julia_02_3,False,CommanderRoom_n,1,1,1.0,,sfx_scn_violin,Low_2,,,,,,,,,,,,,
d_nikke_julia_02_4,d_nikke_julia_02,Self,Locale_NikkeEpisode:d_nikke_julia_02_4,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_julia_02_5,d_nikke_julia_02,Narration,Locale_NikkeEpisode:d_nikke_julia_02_5,False,,1,1,1.0,,sfx_scn_violin,Low_2,,,,,,,,,,,,,
d_nikke_julia_02_6,d_nikke_julia_02,Monologue,Locale_NikkeEpisode:d_nikke_julia_02_6,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_julia_02_7,d_nikke_julia_02,Monologue,Locale_NikkeEpisode:d_nikke_julia_02_7,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_julia_02_8,d_nikke_julia_02,Self,Locale_NikkeEpisode:d_nikke_julia_02_8,False,,1,10,2.0,,,,,,,,,,,,,,,,
d_nikke_julia_02_9,d_nikke_julia_02,Narration,Locale_NikkeEpisode:d_nikke_julia_02_9,False,,10,10,1.0,,sfx_scn_phonevibration,,m_nikke_julia_02,,,,,,,,,,,,
d_nikke_julia_02_10,d_nikke_julia_02,Narration,Locale_NikkeEpisode:d_nikke_julia_02_10,False,,10,10,1.0,,sfx_scn_violin,Low_2,,,,,,,,,,,,,
d_nikke_julia_02_11,d_nikke_julia_02,Self,Locale_NikkeEpisode:d_nikke_julia_02_11,False,,10,10,1.0,,,,,,,,,,,,,,,,
d_nikke_julia_02_12,d_nikke_julia_02,Narration,Locale_NikkeEpisode:d_nikke_julia_02_12,False,none,black,black,1.0,,sfx_scn_knock,,,,,,,,,,,,,,
d_nikke_julia_02_13,d_nikke_julia_02,Self,Locale_NikkeEpisode:d_nikke_julia_02_13,False,NikkeRoom,S_40,S_10,2.0,,,,,julia,1,think,,,,,,,,,
d_nikke_julia_02_14,d_nikke_julia_02,Speech,Locale_NikkeEpisode:d_nikke_julia_02_14,False,,S_10,S_100,0.5,,,,,,1,surprise,julia,julia,,,,,,,
d_nikke_julia_02_15,d_nikke_julia_02,Speech,Locale_NikkeEpisode:d_nikke_julia_02_15,True,,S_100,S_100,1.0,,,,,,1,surprise,julia,julia,,,,,,,
d_nikke_julia_02_16,d_nikke_julia_02,Speech,Locale_NikkeEpisode:d_nikke_julia_02_16,True,,S_100,S_100,1.0,,,,,,1,delight,julia,julia,,,,,,,
d_nikke_julia_02_17,d_nikke_julia_02,Self,Locale_NikkeEpisode:d_nikke_julia_02_17,False,,S_100,S_100,1.0,,,,,,1,delight,julia,,,,,,,,
d_nikke_julia_02_18,d_nikke_julia_02,Speech,Locale_NikkeEpisode:d_nikke_julia_02_18,True,,S_100,S_100,1.0,,,,,,1,idle,julia,julia,,,,,,,
d_nikke_julia_02_19,d_nikke_julia_02,Choice,Locale_NikkeEpisode:d_nikke_julia_02_19,False,,S_100,S_100,1.0,,,,,,1,idle,julia,,d_nikke_julia_02_21,,,,,,
