id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_filter_01,set_filter_02,highlight,speaker,characters/1/hide_char_id,set_camera_shake,characters/0/hide_char_id,jump_target
d_nikke_guilty_03_1,d_nikke_guilty_03,Monologue,Locale_NikkeEpisode:d_nikke_guilty_03_1,False,CommanderRoom,1,1,1.0,none,,,,,,,,,,,,,,,
d_nikke_guilty_03_2,d_nikke_guilty_03,Narration,Locale_NikkeEpisode:d_nikke_guilty_03_2,False,Jail,black,black,1.0,,guilty,1,surprise,prisoner,13,idle,sfx_scn_radiocallend,Vignetting,Grey,,,,,,
d_nikke_guilty_03_3,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_3,True,,130,130,0.5,bgm_belowzero,,1,surprise,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_4,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_4,True,,130,12,2.0,,,1,surprise,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_5,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_5,True,,12,12,2.0,,,1,surprise,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_6,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_6,True,,12,12,1.0,,,1,surprise,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_7,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_7,True,,12,12,1.0,,,1,surprise,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_8,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_8,True,,12,12,1.0,,,1,surprise,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_9,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_9,True,,12,12,1.0,,,1,surprise,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_10,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_10,True,,12,12,1.0,,,1,idle,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_11,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_11,True,,12,12,1.0,,,1,idle,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_12,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_12,True,,12,10,2.0,,,1,idle,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_13,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_13,True,,10,130,1.0,,,1,idle,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_14,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_14,True,,10,100,2.0,,,1,surprise,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_15,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_15,True,,100,100,1.0,,,1,surprise,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_16,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_16,True,,130,1300,0.5,,,1,surprise,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_17,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_17,True,,1300,1300,1.0,,,1,surprise,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_18,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_18,True,,1300,12,1.0,,,1,idle,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_19,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_19,True,,12,12,1.0,,,1,idle,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_20,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_20,True,,12,10,2.0,,,1,shy,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_21,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_21,True,,10,10,2.0,,,1,shy,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
d_nikke_guilty_03_22,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_22,True,,130,130,1.0,,,1,shy,,13,idle,,Vignetting,Grey,prisoner,prisoner,,,,
d_nikke_guilty_03_23,d_nikke_guilty_03,Speech,Locale_NikkeEpisode:d_nikke_guilty_03_23,True,,10,10,1.0,,,1,shy,,13,idle,,Vignetting,Grey,guilty,guilty,,,,
