id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_quency_escapequeen_02_1,d_nikke_quency_escapequeen_02,Speech,quency_e,quency_e,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_1,True,City_d,S_10,S_10,1.0,bgm_story_breakaway,,,,quency_e,1,think
d_nikke_quency_escapequeen_02_2,d_nikke_quency_escapequeen_02,Speech,quency_e,quency_e,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_2,True,,S_10,S_10,1.0,,,,,,1,think
d_nikke_quency_escapequeen_02_3,d_nikke_quency_escapequeen_02,Speech,quency_e,quency_e,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_3,True,,S_10,S_10,1.0,,,,,,1,think
d_nikke_quency_escapequeen_02_4,d_nikke_quency_escapequeen_02,Self,quency_e,,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_4,False,,S_10,S_10,1.0,,,,,,1,think
d_nikke_quency_escapequeen_02_5,d_nikke_quency_escapequeen_02,Speech,quency_e,quency_e,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_5,True,,S_10,S_10,1.0,,,,,,1,think
d_nikke_quency_escapequeen_02_6,d_nikke_quency_escapequeen_02,Self,quency_e,,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_6,False,,S_10,S_10,1.0,,,,,,1,think
d_nikke_quency_escapequeen_02_7,d_nikke_quency_escapequeen_02,Speech,quency_e,quency_e,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_7,True,,S_10,S_10,1.0,,,,,,1,think
d_nikke_quency_escapequeen_02_8,d_nikke_quency_escapequeen_02,Self,quency_e,,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_8,False,,S_10,S_10,1.0,,,,,,1,think
d_nikke_quency_escapequeen_02_9,d_nikke_quency_escapequeen_02,Speech,quency_e,quency_e,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_9,True,,S_10,S_100,1.0,,,,,,1,idle
d_nikke_quency_escapequeen_02_10,d_nikke_quency_escapequeen_02,Speech,quency_e,quency_e,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_10,True,,S_100,S_100,1.0,,,,,,1,idle
d_nikke_quency_escapequeen_02_11,d_nikke_quency_escapequeen_02,Speech,quency_e,quency_e,Locale_NikkeEpisode:d_nikke_quency_escapequeen_02_11,True,,S_100,S_100,1.0,,,,,,1,idle
