id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_dorothy_serendipity_02_1,d_nikke_dorothy_serendipity_02,Monologue,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_1,False,Deck_d,black,black,1.0,bgm_story_milkyway,,,,dorothy_s,1,idle,irregularghost,13,idle
d_nikke_dorothy_serendipity_02_2,d_nikke_dorothy_serendipity_02,Monologue,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_2,False,,black,black,1.0,,,,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_3,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_3,True,,100,100,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_4,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_4,True,,100,10,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_5,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_5,True,,10,10,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_6,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_6,True,,10,10,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_7,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_7,True,,10,113,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_8,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_8,True,,113,113,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_9,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_9,True,,113,113,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_10,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_10,True,,113,113,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_11,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_11,True,,113,113,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_12,d_nikke_dorothy_serendipity_02,Monologue,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_12,False,,black,black,1.0,,dorothy_s,,,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_13,d_nikke_dorothy_serendipity_02,Narration,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_13,False,,black,black,1.0,,dorothy_s,,sfx_scn_fillacup,,1,idle,,13,idle
d_nikke_dorothy_serendipity_02_14,d_nikke_dorothy_serendipity_02,Speech,Locale_NikkeEpisode:d_nikke_dorothy_serendipity_02_14,True,,100,100,1.0,,dorothy_s,dorothy_s,,,1,idle,,13,idle
