id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_sora_03_1,d_nikke_sora_03,Speech,clerk,clerk,Locale_NikkeEpisode:d_nikke_sora_03_1,True,FastFood,100,100,1.0,bgm_story_cottoncandy,,,sora,1,idle
d_nikke_sora_03_2,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_2,True,,100,10,1.0,,,,,1,idle
d_nikke_sora_03_3,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_3,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_4,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_4,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_5,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_5,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_6,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_6,True,,10,10,1.0,,,,,1,sad
d_nikke_sora_03_7,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_7,True,,10,10,1.0,,,,,1,sad
d_nikke_sora_03_8,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_8,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_9,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_9,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_10,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_10,False,,10,100,1.0,,,,,1,idle
d_nikke_sora_03_11,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_11,False,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_12,d_nikke_sora_03,Speech,clerk,clerk,Locale_NikkeEpisode:d_nikke_sora_03_12,True,Park,black,black,1.0,,,,,1,idle
d_nikke_sora_03_13,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_13,False,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_14,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_14,True,,100,100,1.0,,,,,1,delight
d_nikke_sora_03_15,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_15,True,,100,100,1.0,,,,,1,delight
d_nikke_sora_03_16,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_16,False,,100,100,1.0,,,,,1,delight
d_nikke_sora_03_17,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_17,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_18,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_18,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_19,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_19,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_20,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_20,False,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_21,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_21,False,,100,10,1.0,,,,,1,idle
d_nikke_sora_03_22,d_nikke_sora_03,Narration,sora,,Locale_NikkeEpisode:d_nikke_sora_03_22,False,,10,10,1.0,,sfx_scn_buggerbite,,,1,idle
d_nikke_sora_03_23,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_23,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_24,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_24,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_25,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_25,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_26,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_26,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_27,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_27,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_28,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_28,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_29,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_29,True,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_30,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_30,False,,10,10,1.0,,,,,1,idle
d_nikke_sora_03_31,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_31,True,,10,100,1.0,,,,,1,idle
d_nikke_sora_03_32,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_32,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_33,d_nikke_sora_03,Speech,sora,sora,Locale_NikkeEpisode:d_nikke_sora_03_33,True,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_34,d_nikke_sora_03,Self,sora,,Locale_NikkeEpisode:d_nikke_sora_03_34,False,,100,100,1.0,,,,,1,idle
d_nikke_sora_03_35,d_nikke_sora_03,Monologue,sora,,Locale_NikkeEpisode:d_nikke_sora_03_35,False,,100,100,1.0,,,,,1,idle
