id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id
d_nikke_aria_01_1,d_nikke_aria_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_aria_01_1,False,anis,1,idle,neon,13,idle,rapi,15,idle,Corridor,black,black,1.0,none,,,,,,,,,
d_nikke_aria_01_2,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_2,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,,staff,,,,,,,,
d_nikke_aria_01_3,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_3,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,,staff,,,,,,,,
d_nikke_aria_01_4,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_4,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,,staff,,,,,,,,
d_nikke_aria_01_5,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_5,False,,1,idle,,13,idle,,15,idle,,black,black,1.0,,staff,,,,,,,,
d_nikke_aria_01_6,d_nikke_aria_01,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_01_6,True,,1,angry,,13,idle,,15,idle,,1,1,1.0,bgm_story_orangepop,anis,,,,,,,,
d_nikke_aria_01_7,d_nikke_aria_01,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_01_7,True,,1,angry,,13,idle,,15,idle,,1,1,1.0,,anis,,,,,,,,
d_nikke_aria_01_8,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_8,True,,1,angry,,13,idle,,15,idle,,1,1,1.0,,staff,,,,,,,,
d_nikke_aria_01_9,d_nikke_aria_01,Self,Self,Locale_NikkeEpisode:d_nikke_aria_01_9,False,,1,angry,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,,
d_nikke_aria_01_10,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_10,False,,1,angry,,13,idle,,15,idle,,1,1,1.0,,staff,,,,,,,,
d_nikke_aria_01_11,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_11,False,,1,angry,,13,idle,,15,idle,,1,1,1.0,,staff,,,,,,,,
d_nikke_aria_01_12,d_nikke_aria_01,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_01_12,True,,1,angry,,13,idle,,15,idle,,1,113,1.0,,neon,,,,,,,,
d_nikke_aria_01_13,d_nikke_aria_01,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_01_13,True,,1,angry,,13,surprise,,15,idle,,113,113,1.0,,neon,,,,,,,,
d_nikke_aria_01_14,d_nikke_aria_01,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_01_14,True,,1,idle,,13,surprise,,15,idle,,113,113,1.0,,anis,,,,,,,,
d_nikke_aria_01_15,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_15,False,,1,idle,,13,surprise,,15,idle,,113,113,1.0,,staff,,,,,,,,
d_nikke_aria_01_16,d_nikke_aria_01,Speech,unknown,Locale_NikkeEpisode:d_nikke_aria_01_16,False,,1,idle,,13,surprise,,15,idle,,113,113,1.0,none,unknown,aria,3,idle,,,,,
d_nikke_aria_01_17,d_nikke_aria_01,Speech,unknown,Locale_NikkeEpisode:d_nikke_aria_01_17,False,,1,idle,,13,idle,,15,idle,,113,113,1.0,,unknown,,3,idle,,,,,
d_nikke_aria_01_18,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_18,False,,1,idle,,13,idle,,15,idle,,113,3,1.0,bgm_story_backtonormal,staff,,3,idle,,,,,
d_nikke_aria_01_19,d_nikke_aria_01,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_01_19,True,,1,idle,,13,idle,,15,idle,,3,30,1.0,,aria,,3,idle,,,,,
d_nikke_aria_01_20,d_nikke_aria_01,Choice,,Locale_NikkeEpisode:d_nikke_aria_01_20,False,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,3,idle,d_nikke_aria_01_22,,,,
d_nikke_aria_01_21,d_nikke_aria_01,Choice,,Locale_NikkeEpisode:d_nikke_aria_01_21,False,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,3,idle,d_nikke_aria_01_22,,,,
d_nikke_aria_01_22,d_nikke_aria_01,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_01_22,True,,1,idle,,13,idle,,15,idle,,30,10,1.0,,anis,,3,idle,,,,,
d_nikke_aria_01_23,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_23,False,,1,idle,,13,idle,,15,idle,,10,10,1.0,,staff,,3,idle,,,,,
d_nikke_aria_01_24,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_24,False,,1,idle,,13,idle,,15,idle,,10,1,1.0,,staff,,3,idle,,,,,
d_nikke_aria_01_25,d_nikke_aria_01,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_01_25,True,,1,idle,,13,delight,,15,idle,,1,113,1.0,,neon,,3,idle,,,,,
d_nikke_aria_01_26,d_nikke_aria_01,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_01_26,True,,1,idle,,13,delight,,15,idle,,113,113,1.0,,neon,,3,idle,,,,,
d_nikke_aria_01_27,d_nikke_aria_01,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_01_27,True,,1,idle,,13,delight,,15,idle,,113,113,1.0,,anis,,3,idle,,,,,
d_nikke_aria_01_28,d_nikke_aria_01,Speech,staff,Locale_NikkeEpisode:d_nikke_aria_01_28,False,,1,idle,,13,delight,,15,idle,,113,113,1.0,,staff,,3,idle,,,,,
d_nikke_aria_01_29,d_nikke_aria_01,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_01_29,True,,1,idle,,13,surprise,,15,idle,Office,113,113,1.0,,neon,,3,idle,,black,,,
d_nikke_aria_01_30,d_nikke_aria_01,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_01_30,True,,1,idle,,13,surprise,,15,idle,,113,113,1.0,,anis,,3,idle,,,,,
d_nikke_aria_01_31,d_nikke_aria_01,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_01_31,True,,1,idle,,13,surprise,,15,idle,,113,31,1.0,,aria,,3,idle,,,,,
d_nikke_aria_01_32,d_nikke_aria_01,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_01_32,False,,1,idle,,13,surprise,,15,idle,,31,31,1.0,,anis,,3,idle,,,,,
d_nikke_aria_01_33,d_nikke_aria_01,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_01_33,False,,1,idle,,13,surprise,,15,idle,,31,113,1.0,,neon,,3,idle,,,,,
d_nikke_aria_01_34,d_nikke_aria_01,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_01_34,True,,1,idle,,13,surprise,,15,idle,,113,113,1.0,,neon,,3,idle,,,,,
