id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_nikke_kilo_02_1,d_nikke_kilo_02,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_kilo_02_1,False,rapi,9,idle,anis,7,void,neon,5,idle,kilo,3,idle,talos,1,idle,CommanderRoom,17,3,3.0,bgm_story_orangepop,
d_nikke_kilo_02_2,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_2,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,3,3,1.0,,
d_nikke_kilo_02_3,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_3,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,3,3,1.0,,
d_nikke_kilo_02_4,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_4,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,3,3,1.0,,
d_nikke_kilo_02_5,d_nikke_kilo_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_02_5,True,,9,idle,,7,sad,,5,idle,,3,idle,,1,idle,,70,70,1.0,,
d_nikke_kilo_02_6,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_6,True,,9,idle,,7,sad,,5,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,
d_nikke_kilo_02_7,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_7,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,
d_nikke_kilo_02_8,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_8,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,
d_nikke_kilo_02_9,d_nikke_kilo_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_02_9,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,S_30,53,1.0,,
d_nikke_kilo_02_10,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_10,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,53,53,1.0,,
d_nikke_kilo_02_11,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_11,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,53,53,1.0,,
d_nikke_kilo_02_12,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_12,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,53,3,1.0,,
d_nikke_kilo_02_13,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_13,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,3,3,1.0,,
d_nikke_kilo_02_14,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_14,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,3,S_30,1.0,,
d_nikke_kilo_02_15,d_nikke_kilo_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_02_15,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,70,70,1.0,,
d_nikke_kilo_02_16,d_nikke_kilo_02,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_02_16,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,S_30,S_30,1.0,,
