id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_nikke_kilo_01_1,d_nikke_kilo_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_kilo_01_1,False,CityForest_03_d,17,97,1.0,bgm_story_girlstalk,,,rapi,9,idle,,anis,7,void,,neon,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_2,d_nikke_kilo_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_01_2,True,,97,97,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_3,d_nikke_kilo_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_01_3,True,,97,97,1.0,,,,,9,idle,,,7,sad,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_4,d_nikke_kilo_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_01_4,True,,97,75,1.0,,,,,9,idle,,,7,sad,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_5,d_nikke_kilo_01,Self,neon,Self,Locale_NikkeEpisode:d_nikke_kilo_01_5,False,,75,75,1.0,,,,,9,idle,,,7,sad,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_6,d_nikke_kilo_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_01_6,True,,75,75,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_7,d_nikke_kilo_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_01_7,True,,75,75,1.0,,,,,9,idle,,,7,sad,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_8,d_nikke_kilo_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_01_8,True,,75,75,1.0,,,,,9,idle,,,7,sad,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_9,d_nikke_kilo_01,Self,neon,Self,Locale_NikkeEpisode:d_nikke_kilo_01_9,False,,75,75,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_10,d_nikke_kilo_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_01_10,True,,75,97,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_11,d_nikke_kilo_01,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_kilo_01_11,False,,97,97,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,,,
d_nikke_kilo_01_12,d_nikke_kilo_01,Speech,mana_op,mana,Locale_NikkeEpisode:d_nikke_kilo_01_12,True,,97,97,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,mana_op,OP_leftup,idle,
d_nikke_kilo_01_13,d_nikke_kilo_01,Self,mana_op,Self,Locale_NikkeEpisode:d_nikke_kilo_01_13,False,,97,97,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,OP_leftup,idle,
d_nikke_kilo_01_14,d_nikke_kilo_01,Speech,mana_op,mana,Locale_NikkeEpisode:d_nikke_kilo_01_14,True,,97,97,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,OP_leftup,idle,
d_nikke_kilo_01_15,d_nikke_kilo_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_01_15,True,,97,97,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,OP_leftup,idle,
d_nikke_kilo_01_16,d_nikke_kilo_01,Speech,mana_op,mana,Locale_NikkeEpisode:d_nikke_kilo_01_16,True,,97,97,1.0,,,,,9,idle,,,7,void,,,5,idle,,,,,,,,,,OP_leftup,idle,
