id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_soline_03_1,d_nikke_soline_03,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_03_1,True,CommanderRoom,S_10,S_10,1.0,bgm_story_herecomestrouble,,,soline,1,angry,
d_nikke_soline_03_2,d_nikke_soline_03,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_03_2,True,,S_10,S_100,0.5,,,,,1,angry,
d_nikke_soline_03_3,d_nikke_soline_03,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_03_3,True,,S_100,S_100,1.0,,,,,1,angry,
d_nikke_soline_03_4,d_nikke_soline_03,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_03_4,True,,S_100,S_100,1.0,,,,,1,surprise,
d_nikke_soline_03_5,d_nikke_soline_03,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_03_5,True,,S_100,S_10,0.5,,,,,1,angry,
d_nikke_soline_03_6,d_nikke_soline_03,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_03_6,False,,S_10,S_10,1.0,,,,,1,angry,
d_nikke_soline_03_7,d_nikke_soline_03,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_03_7,True,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_soline_03_8,d_nikke_soline_03,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_03_8,True,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_soline_03_9,d_nikke_soline_03,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_03_9,False,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_soline_03_10,d_nikke_soline_03,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_03_10,True,,S_10,S_10,1.0,,,,,1,shy,
